Player,Rank,Age,Elo,    ,HardRaw,ClayRaw,GrassRaw,    ,hElo,cElo,gElo,    ,Peak Match,Peak Age,Peak Elo,yElo
Marie Bouzkova,41,25.5,1829.8,,1736.4,1559.3,1554.8,,1783.1,1694.5,1692.3,,2022 Guadalajara 2 R16,24.2,1941.4,1670.7
Jasmine Paolini,42,28.1,1824.8,,1722.6,1677.7,1311.0,,1773.7,1751.2,1567.9,,2023 BJK Cup Finals SF,27.8,1868.6,1650.2
Donna Vekic,43,27.6,1824.7,,1732.7,1597.2,1632.9,,1778.7,1710.9,1728.8,,2019 Us Open R16,23.1,1950.9,1680.0
Laura Siegemund,44,35.9,1816.5,,1747.0,1614.0,1470.7,,1781.7,1715.2,1643.6,,2016 Madrid R32,28.1,1919.5,1690.0
Irina Camelia Begu,45,33.0,1812.6,,1646.8,1740.3,1456.9,,1729.7,1776.4,1634.7,,2016 Roland Garros R32,25.7,1942.9,
Clara Burel,46,22.8,1812.3,,1732.7,1621.9,1436.9,,1772.5,1717.1,1624.6,,2024 Australian Open R64,22.8,1831.7,1729.9
Katie Boulter,47,27.4,1808.3,,1699.1,1396.3,1652.1,,1753.7,1602.3,1730.2,,2022 Wimbledon R64,25.9,1849.8,1795.6
Camila Giorgi,48,32.0,1808.0,,1723.4,1657.0,1573.3,,1765.7,1732.5,1690.6,,2021 Montreal SF,29.6,1948.2,
Emma Raducanu,49,21.2,1807.4,,1719.6,1510.9,1505.2,,1763.5,1659.1,1656.3,,2021 Us Open F,18.7,2005.1,1639.3
Sloane Stephens,50,30.8,1806.1,,1674.9,1736.8,1522.8,,1740.5,1771.4,1664.4,,2017 US Open F,24.4,2022.8,1642.4
Shelby Rogers,51,31.2,1798.8,,1745.5,1564.2,1465.4,,1772.2,1681.5,1632.1,,2021 Charleston 2 R16,28.4,1874.6,
Ajla Tomljanovic,52,30.7,1798.3,,1656.6,1667.8,1660.4,,1727.5,1733.1,1729.4,,2022 Us Open R16,29.3,1905.2,
Ana Bogdan,53,31.1,1792.5,,1633.1,1747.8,1570.5,,1712.8,1770.1,1681.5,,2023 Lausanne R16,30.6,1820.3,1725.7
Petra Martic,54,33.0,1790.9,,1664.9,1746.0,1549.9,,1727.9,1768.4,1670.4,,2019 Wuhan R16,28.6,1978.4,1617.6
Dayana Yastremska,55,23.7,1787.6,,1725.8,1598.3,1480.2,,1756.7,1693.0,1633.9,,2019 Fed Cup G1 PM,18.7,1991.7,1879.3
Anhelina Kalinina,56,27.0,1787.2,,1696.2,1728.8,1411.5,,1741.7,1758.0,1599.4,,2022 Eastbourne R16,25.3,1871.8,
Lin Zhu,57,30.0,1783.0,,1707.4,1308.2,1358.1,,1745.2,1545.6,1570.5,,2023 Osaka SF,29.6,1804.0,1736.1
Taylor Townsend,58,27.7,1781.3,,1683.2,1680.6,1341.6,,1732.2,1730.9,1561.4,,2014 Cincinnati Qual,18.3,1812.2,
Sara Sorribes Tormo,59,27.3,1774.0,,1662.3,1685.6,1484.9,,1718.2,1729.8,1629.5,,2021 Us Open R64,24.8,1909.3,
Anett Kontaveit,60,27.5,1767.8,,1773.7,1530.2,1487.7,,1770.7,1649.0,1627.7,,2022 Indian Wells R64,26.2,2106.3,
Yulia Putintseva,61,29.0,1765.8,,1674.1,1681.4,1422.0,,1720.0,1723.6,1593.9,,2020 Roland Garros R128,25.7,1913.3,1602.5
Xin Yu Wang,62,22.3,1760.6,,1686.6,1440.8,1536.0,,1723.6,1600.7,1648.3,,2023 Beijing R32,22.0,1828.0,1654.0
Ashlyn Krueger,63,19.7,1760.2,,1661.3,1458.3,1548.4,,1710.8,1609.2,1654.3,,2023 Seoul R32,19.4,1777.2,1722.1
Camila Osorio,64,22.1,1758.2,,1637.0,1687.7,1474.7,,1697.6,1722.9,1616.4,,2023 Roland Garros Qual,21.4,1867.7,1565.5
Clara Tauson,65,21.1,1755.8,,1678.6,1591.8,1424.6,,1717.2,1673.8,1590.2,,2022 Australian Open R64,19.0,1964.7,1691.1
