rank,player,country,birthdate,player_url
1,Aryna Sabalenka,BLR,1998-05-05,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=ArynaSabalenka
2,Coco Gauff,USA,2004-03-13,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=CocoGauff
3,Jessica Pegula,USA,1994-02-24,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=JessicaPegula
4,Iga Swiatek,POL,2001-05-31,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=IgaSwiatek
5,Jasmine Paolini,ITA,1996-01-04,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=JasminePaolini
6,Qinwen Zheng,CHN,2002-10-08,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=QinwenZheng
7,Mirra Andreeva,RUS,2007-04-29,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=MirraAndreeva
8,Madison Keys,USA,1995-02-17,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=MadisonKeys
9,Paula Badosa,ESP,1997-11-15,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=PaulaBadosa
10,Emma Navarro,USA,2001-05-18,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=EmmaNavarro
11,Elena Rybakina,KAZ,1999-06-17,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=ElenaRybakina
12,Amanda Anisimova,USA,2001-08-31,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=AmandaAnisimova
13,Elina Svitolina,UKR,1994-09-12,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=ElinaSvitolina
14,Karolina Muchova,CZE,1996-08-21,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=KarolinaMuchova
15,Diana Shnaider,RUS,2004-04-02,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=DianaShnaider
16,Barbora Krejcikova,CZE,1995-12-18,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=BarboraKrejcikova
17,Ekaterina Alexandrova,RUS,1994-11-15,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=EkaterinaAlexandrova
18,Daria Kasatkina,AUS,1997-05-07,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=DariaKasatkina
19,Liudmila Samsonova,RUS,1998-11-11,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=LiudmilaSamsonova
20,Beatriz Haddad Maia,BRA,1996-05-30,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=BeatrizHaddadMaia
21,Jelena Ostapenko,LAT,1997-06-08,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=JelenaOstapenko
22,Clara Tauson,DEN,2002-12-21,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=ClaraTauson
23,Elise Mertens,BEL,1995-11-17,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=EliseMertens
24,Magdalena Frech,POL,1997-12-15,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=MagdalenaFrech
25,Donna Vekic,CRO,1996-06-28,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=DonnaVekic
26,Marta Kostyuk,UKR,2002-06-28,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=MartaKostyuk
27,Linda Noskova,CZE,2004-11-17,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=LindaNoskova
28,Sofia Kenin,USA,1998-11-14,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=SofiaKenin
29,Magda Linette,POL,1992-02-12,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=MagdaLinette
30,Mccartney Kessler,USA,1999-07-08,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=MccartneyKessler
31,Ashlyn Krueger,USA,2004-05-07,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=AshlynKrueger
32,Xin Yu Wang,CHN,2001-09-26,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=XinYuWang
33,Yulia Putintseva,KAZ,1995-01-07,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=YuliaPutintseva
34,Rebecca Sramkova,SVK,1996-10-19,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=RebeccaSramkova
35,Belinda Bencic,SUI,1997-03-10,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=BelindaBencic
36,Peyton Stearns,USA,2001-10-08,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=PeytonStearns
37,Olga Danilovic,SRB,2001-01-23,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=OlgaDanilovic
38,Leylah Fernandez,CAN,2002-09-06,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=LeylahFernandez
39,Anna Kalinskaya,RUS,1998-12-02,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=AnnaKalinskaya
40,Emma Raducanu,GBR,2002-11-13,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=EmmaRaducanu
41,Maya Joint,AUS,2006-04-16,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=MayaJoint
42,Dayana Yastremska,UKR,2000-05-15,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=DayanaYastremska
43,Katie Boulter,GBR,1996-08-01,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=KatieBoulter
44,Anastasia Potapova,RUS,2001-03-30,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=AnastasiaPotapova
45,Tatjana Maria,GER,1987-08-08,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=TatjanaMaria
46,Veronika Kudermetova,RUS,1997-04-24,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=VeronikaKudermetova
47,Lulu Sun,NZL,2001-04-14,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=LuluSun
48,Marie Bouzkova,CZE,1998-07-21,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=MarieBouzkova
49,Elina Avanesyan,ARM,2002-09-17,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=ElinaAvanesyan
50,Anastasia Pavlyuchenkova,RUS,1991-07-03,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=AnastasiaPavlyuchenkova
51,Sonay Kartal,GBR,2001-10-28,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=SonayKartal
52,Jaqueline Cristian,ROU,1998-06-05,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=JaquelineCristian
53,Naomi Osaka,JPN,1997-10-16,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=NaomiOsaka
54,Danielle Collins,USA,1993-12-13,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=DanielleCollins
55,Hailey Baptiste,USA,2001-11-03,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=HaileyBaptiste
56,Alexandra Eala,PHI,2005-05-23,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=AlexandraEala
57,Camila Osorio,COL,2001-12-22,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=CamilaOsorio
58,Elena Gabriela Ruse,ROU,1997-11-06,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=ElenaGabrielaRuse
59,Ons Jabeur,TUN,1994-08-28,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=OnsJabeur
60,Alycia Parks,USA,2000-12-31,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=AlyciaParks
61,Eva Lys,GER,2002-01-12,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=EvaLys
62,Jessica Bouzas Maneiro,ESP,2002-09-24,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=JessicaBouzasManeiro
63,Lucia Bronzetti,ITA,1998-12-10,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=LuciaBronzetti
64,Polina Kudermetova,RUS,2003-06-04,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=PolinaKudermetova
65,Ann Li,USA,2000-06-26,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=AnnLi
66,Lois Boisson,FRA,2003-05-16,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=LoisBoisson
67,Caroline Dolehide,USA,1998-09-05,https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=CarolineDolehide
