Player,Elo Rank,Age,Elo,    ,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,    ,Peak Elo,Peak Month,    ,ATP Rank,Log diff,yElo
Jannik Sinner,1,23.4,2219.8,,1,2185.5,3,2045.0,3,1978.3,,2324.8,2025-01,,1,0,2002.3
Novak Djokovic,2,37.7,2172.8,,2,2122.1,2,2087.4,2,2041.9,,2470.4,2016-03,,5,-0.92,1849.6
Carlos Alcaraz,3,21.8,2155.9,,3,2090.3,1,2111.8,1,2067.2,,2239.3,2023-08,,3,0,2026.7
Jack Draper,4,23.1,2102.0,,4,2053.9,20,1830.3,4,1892.2,,2102.0,2025-03,,7,-0.56,2136.1
Alexander Zverev,5,27.8,2051.5,,5,2009.7,4,1992.5,7,1869.0,,2161.5,2022-01,,2,0.92,1828.2
Daniil Medvedev,6,29.0,2020.6,,6,1979.1,8,1928.0,5,1891.3,,2191.6,2022-01,,8,-0.29,1912.5
Grigor Dimitrov,7,33.7,2016.9,,7,1968.5,11,1912.2,11,1837.3,,2091.0,2014-08,,15,-0.76,1789.9
Tomas Machac,8,24.3,2006.6,,8,1967.1,18,1857.0,24,1749.5,,2006.6,2025-02,,21,-0.97,1987.8
Taylor Fritz,9,27.3,2000.1,,9,1946.8,10,1913.8,8,1863.9,,2040.8,2023-04,,4,0.81,1813.0
Holger Rune,10,21.8,1980.0,,10,1937.5,9,1915.8,13,1820.1,,2069.4,2023-05,,12,-0.18,1952.4
Tommy Paul,11,27.7,1976.5,,11,1922.6,15,1871.3,6,1873.5,,2010.0,2024-07,,13,-0.17,1917.4
Stefanos Tsitsipas,12,26.5,1956.7,,16,1896.8,5,1978.3,17,1779.5,,2133.3,2021-05,,10,0.18,1928.8
Alex De Minaur,13,26.0,1955.5,,14,1902.6,23,1825.3,14,1806.5,,2038.0,2024-06,,11,0.17,1917.9
Joao Fonseca,14,18.5,1952.8,,13,1913.7,22,1828.6,58,1656.4,,1952.8,2025-03,,60,-1.46,1979.2
Ugo Humbert,15,26.6,1940.2,,12,1915.0,29,1786.8,18,1776.3,,2009.4,2024-03,,20,-0.29,1886.7
Matteo Berrettini,16,28.8,1938.3,,24,1852.7,6,1940.5,10,1848.6,,2072.3,2022-07,,30,-0.63,1808.6
Gael Monfils,17,38.5,1933.8,,15,1901.1,46,1735.0,32,1725.6,,2068.0,2015-04,,46,-1.00,1965.8
Hubert Hurkacz,18,28.0,1933.1,,18,1868.7,14,1878.6,9,1850.7,,2023.2,2024-08,,22,-0.20,1743.3
