Player,Rank,Age,Elo,    ,HardRaw,ClayRaw,GrassRaw,    ,hElo,cElo,gElo,    ,Peak Match,Peak Age,Peak Elo,yElo
Iga Swiatek,1,22.6,2233.6,,2127.1,2098.3,1697.1,,2180.3,2166.0,1965.3,,2022 Wimbledon R64,21.0,2264.6,2246.1
Aryna Sabalenka,2,25.6,2141.4,,2049.9,1921.2,1739.6,,2095.7,2031.3,1940.5,,2024 Australian Open F,25.6,2141.4,2103.1
Cori Gauff,3,19.8,2139.9,,2057.8,1845.9,1643.4,,2098.9,1992.9,1891.6,,2024 Australian Open QF,19.8,2155.0,2169.1
Jessica Pegula,4,29.8,2066.3,,1984.4,1740.3,1587.1,,2025.3,1903.3,1826.7,,2024 United Cup RR,29.8,2093.1,2133.8
Elena Rybakina,5,24.5,2053.6,,1972.7,1778.0,1773.9,,2013.1,1915.8,1913.7,,2023 Miami SF,23.7,2099.2,2058.6
Qinwen Zheng,6,21.2,2038.0,,1964.6,1821.6,1336.6,,2001.3,1929.8,1687.3,,2024 Australian Open SF,21.2,2050.7,2028.8
Ons Jabeur,7,29.3,1996.7,,1841.1,1891.1,1808.3,,1918.9,1943.9,1902.5,,2022 Wimbledon SF,27.8,2106.9,1968.6
Jelena Ostapenko,8,26.6,1979.0,,1872.9,1695.0,1786.3,,1926.0,1837.0,1882.6,,2022 Doha QF,24.7,2035.3,1932.6
Madison Keys,9,28.6,1953.9,,1839.0,1692.0,1759.1,,1896.5,1823.0,1856.5,,2016 Olympics QF,21.4,2091.6,1940.6
Marketa Vondrousova,10,24.5,1951.0,,1795.2,1681.2,1669.5,,1873.1,1816.1,1810.3,,2019 Roland Garros SF,19.9,2060.3,1970.0
Barbora Krejcikova,11,28.0,1930.7,,1864.8,1646.4,1608.3,,1897.8,1788.5,1769.5,,2021 Us Open R16,25.7,2049.0,1918.1
