Player,Elo Rank,Age,Elo,    ,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,    ,Peak Elo,Peak Month,    ,ATP Rank,Log diff,yElo
Jannik Sinner,1,23.4,2214.6,,1,2180.7,3,2041.3,3,1969.0,,2329.6,2025-01,,1,0,2012.2
Novak Djokovic,2,37.8,2172.6,,2,2120.2,2,2092.4,2,2042.8,,2463.2,2016-05,,5,-0.92,1964.4
Carlos Alcaraz,3,21.8,2143.2,,3,2077.3,1,2101.9,1,2063.7,,2243.6,2023-08,,3,0,1990.8
Jack Draper,4,23.2,2072.4,,5,2022.1,28,1816.6,5,1886.0,,2095.2,2025-03,,6,-0.41,2074.1
Alexander Zverev,5,27.9,2066.5,,4,2024.1,4,2003.8,6,1881.9,,2176.5,2022-01,,2,0.92,1899.0
Taylor Fritz,6,27.3,2022.2,,6,1970.0,8,1928.2,7,1878.4,,2054.0,2025-01,,4,0.41,1930.5
Daniil Medvedev,7,29.0,2006.0,,7,1962.5,9,1920.3,4,1899.0,,2201.2,2022-01,,11,-0.45,1877.7
Grigor Dimitrov,8,33.8,1994.0,,8,1945.0,10,1906.8,13,1817.8,,2111.5,2014-08,,18,-0.81,1895.8
Alex De Minaur,9,26.0,1975.1,,12,1923.0,19,1845.5,12,1822.5,,2053.1,2024-06,,10,-0.11,1948.3
Joao Fonseca,10,18.5,1971.8,,9,1932.7,20,1841.5,55,1666.4,,1992.5,2025-03,,59,-1.77,1995.0
Tommy Paul,11,27.8,1969.4,,14,1915.0,18,1868.5,8,1872.8,,2008.2,2024-08,,13,-0.17,1903.9
Tomas Machac,12,24.4,1966.3,,11,1923.9,24,1827.1,25,1747.7,,1970.8,2025-02,,21,-0.56,1975.9
Jakub Mensik,13,19.5,1961.0,,13,1922.0,29,1810.2,49,1682.4,,1961.0,2025-03,,23,-0.57,2042.9
Ugo Humbert,14,26.7,1954.0,,10,1925.1,30,1802.0,19,1786.9,,2017.7,2024-03,,20,-0.36,1886.3
Stefanos Tsitsipas,15,26.5,1953.7,,17,1890.3,5,1984.0,20,1780.9,,2145.1,2021-05,,8,0.63,1896.8
Holger Rune,16,21.8,1951.7,,15,1906.5,12,1895.4,14,1805.8,,2082.0,2023-05,,12,0.29,1891.3
Matteo Berrettini,17,28.9,1948.6,,21,1871.1,6,1948.6,9,1870.3,,2065.7,2022-07,,34,-0.69,1904.1
Casper Ruud,18,26.2,1934.0,,24,1869.2,7,1948.4,45,1690.2,,2071.9,2022-05,,7,0.94,1880.7
Gael Monfils,19,38.5,1931.3,,16,1894.3,55,1739.5,34,1724.4,,2087.1,2016-10,,44,-0.84,1953.8
Hubert Hurkacz,20,28.0,1930.6,,22,1870.3,14,1881.5,11,1833.0,,2022.5,2024-06,,26,-0.26,1790.1
Arthur Fils,21,20.7,1927.0,,18,1874.1,17,1870.1,15,1799.6,,1955.5,2024-10,,15,0.34,1906.9
Lorenzo Musetti,22,23.0,1924.1,,31,1830.3,11,1901.6,10,1853.4,,1980.1,2024-08,,16,0.32,1864.2
Ben Shelton,23,22.4,1919.7,,20,1871.6,34,1774.6,30,1730.4,,1975.5,2024-10,,14,0.50,1840.3
Tallon Griekspoor,24,28.7,1919.1,,23,1870.1,25,1821.6,17,1790.3,,1936.3,2025-03,,35,-0.38,1943.6
Francisco Cerundolo,25,26.5,1917.3,,27,1860.5,15,1880.5,36,1717.3,,1948.1,2023-07,,22,0.13,1966.2
Denis Shapovalov,26,25.9,1916.9,,19,1872.9,27,1818.1,26,1742.8,,1983.2,2020-01,,29,-0.11,1948.5
Felix Auger Aliassime,27,24.6,1915.7,,28,1859.1,16,1873.4,27,1741.3,,2062.7,2022-10,,19,0.35,1888.2
Jiri Lehecka,28,23.3,1912.2,,26,1861.9,38,1771.4,41,1706.1,,1966.5,2025-02,,28,0,1887.4
Andrey Rublev,29,27.4,1910.8,,25,1868.2,13,1893.2,16,1794.2,,2122.1,2021-04,,9,1.17,1819.9
Sebastian Korda,30,24.6,1910.7,,29,1856.1,45,1758.8,18,1787.5,,2020.7,2023-01,,24,0.22,1794.3
Karen Khachanov,31,28.8,1883.3,,30,1837.3,23,1831.6,43,1704.7,,2029.5,2018-10,,25,0.22,1698.8
Jenson Brooksby,32,24.4,1882.1,,38,1806.2,22,1834.5,38,1710.4,,2005.3,2022-03,,172,-1.68,1868.7
Thanasi Kokkinakis,33,28.7,1872.6,,33,1822.4,39,1771.4,65,1643.4,,1890.3,2015-06,,92,-1.03,1739.8
Rafael Nadal,34,38.4,1868.6,,43,1775.2,21,1835.9,47,1684.3,,2361.9,2009-05,,,,
Jordan Thompson,35,30.9,1866.2,,32,1828.7,112,1628.4,21,1771.9,,1891.2,2024-12,,38,-0.08,1730.6
Frances Tiafoe,36,27.1,1861.7,,35,1810.6,35,1773.6,23,1752.2,,1974.0,2023-06,,17,0.75,1812.4
Alejandro Davidovich Fokina,37,25.7,1859.1,,34,1818.8,32,1783.3,68,1641.9,,1931.2,2021-05,,42,-0.13,1862.2
Brandon Nakashima,38,23.6,1853.6,,39,1805.8,43,1760.5,28,1732.9,,1909.5,2024-09,,31,0.20,1859.0
Marcos Giron,39,31.6,1853.4,,36,1807.4,73,1695.4,22,1765.6,,1874.1,2025-03,,45,-0.14,1825.7
Alex Michelsen,40,20.5,1852.9,,37,1806.5,113,1627.6,37,1716.1,,1904.8,2025-01,,37,0.08,1800.6
Zizou Bergs,41,25.7,1849.0,,40,1797.0,44,1759.1,40,1706.3,,1859.2,2025-03,,50,-0.20,1860.4
Matteo Arnaldi,42,24.0,1838.5,,41,1794.5,31,1797.4,57,1661.0,,1902.9,2024-06,,40,0.05,1800.9
