Player,Rank,Age,Elo,    ,HardRaw,ClayRaw,GrassRaw,    ,hElo,cElo,gElo,    ,Peak Match,Peak Age,Peak Elo,yElo
Carlos Alcaraz,1,19.0,2209.3,,2028.5,2039.5,1441.4,,2118.9,2124.4,1825.3,,2022 Madrid F,19.0,2209.3,2259.5
Novak Djokovic,2,35.0,2170.7,,2054.9,2021.7,1942.4,,2112.8,2096.2,2056.5,,2016 Miami F,28.8,2470.0,2069.9
Alexander Zverev,3,25.1,2107.5,,2012.7,2008.5,1671.4,,2060.1,2058.0,1889.4,,2022 Atp Cup RR,24.7,2158.4,2042.8
Stefanos Tsitsipas,4,23.7,2096.0,,1899.1,2057.6,1543.4,,1997.5,2076.8,1819.7,,2021 Roland Garros SF,22.8,2133.0,2133.7
Jannik Sinner,5,20.7,2060.0,,1969.9,1871.2,1312.8,,2015.0,1965.6,1686.4,,2022 Madrid R32,20.7,2079.0,2052.3
Rafael Nadal,6,35.9,2058.8,,1934.9,1915.6,1500.0,,1996.8,1987.2,1779.4,,2009 Madrid SF,22.9,2370.0,2124.8
Casper Ruud,7,23.4,2024.9,,1874.5,1938.2,1465.9,,1949.7,1981.5,1745.4,,2022 Miami SF,23.2,2041.4,2016.5
Daniil Medvedev,8,26.3,2023.9,,1959.3,1593.4,1623.4,,1991.6,1808.7,1823.7,,2022 Australian Open SF,25.9,2189.2,1942.8
Andrey Rublev,9,24.6,2017.0,,1926.3,1849.3,1652.8,,1971.7,1933.2,1834.9,,2021 Monte Carlo SF,23.5,2105.7,2023.8
Matteo Berrettini,10,25.9,2003.7,,1833.4,1894.7,1853.0,,1918.6,1949.2,1928.3,,2021 Wimbledon SF,25.2,2045.7,1876.4
Cameron Norrie,11,26.7,1989.6,,1867.7,1852.2,1575.1,,1928.7,1920.9,1782.4,,2022 Indian Wells R16,26.5,1999.7,2004.4
Taylor Fritz,12,24.5,1959.8,,1885.2,1708.2,1600.7,,1922.5,1834.0,1780.2,,2022 Miami R32,24.4,1983.8,1971.4
Felix Auger Aliassime,13,21.7,1959.8,,1886.7,1751.2,1784.0,,1923.2,1855.5,1871.9,,2022 Marseille SF,21.5,2035.7,1944.0
Hubert Hurkacz,14,25.2,1952.8,,1876.5,1700.3,1689.8,,1914.6,1826.6,1821.3,,2022 Madrid R16,25.2,1976.3,1956.4
Jenson Brooksby,15,21.5,1931.6,,1885.1,1645.8,1655.9,,1908.4,1788.7,1793.8,,2022 Miami R32,21.4,1995.9,1870.2
Diego Schwartzman,16,29.7,1928.4,,1807.0,1865.8,1526.0,,1867.7,1897.1,1727.2,,2020 Paris R16,28.2,1972.9,1898.5
Nick Kyrgios,17,26.9,1908.2,,1790.9,1555.0,1580.3,,1849.6,1731.6,1744.2,,2017 Cincinnati SF,22.3,2088.8,1928.2
Pablo Carreno Busta,18,30.8,1905.6,,1792.8,1844.2,1439.8,,1849.2,1874.9,1672.7,,2021 Winston-Salem R16,30.1,2001.4,1818.6
Grigor Dimitrov,19,31.0,1903.1,,1787.9,1789.4,1521.5,,1845.5,1846.2,1712.3,,2014 Canada QF,23.2,2090.3,1893.6
Kei Nishikori,20,31.8,1900.5,,1811.3,1805.2,1628.4,,1855.9,1852.8,1764.4,,2016 US Open QF,26.7,2210.4,
Sebastian Baez,21,21.4,1898.5,,1476.9,1870.5,1368.2,,1687.7,1884.5,1633.3,,2022 Lyon R16,21.4,1914.1,1921.3
Reilly Opelka,22,24.7,1897.3,,1825.0,1698.2,1391.6,,1861.2,1797.7,1644.4,,2022 Houston F,24.6,1940.3,1901.3
Alex De Minaur,23,23.2,1894.7,,1772.6,1631.0,1650.0,,1833.7,1762.9,1772.4,,2020 Atp Cup RR,20.9,1992.8,1919.3
Sebastian Korda,24,21.8,1891.5,,1786.3,1684.6,1670.2,,1838.9,1788.0,1780.8,,2022 Australian Open R64,21.5,1944.8,1833.5
Roberto Bautista Agut,25,34.0,1884.7,,1804.6,1677.0,1678.4,,1844.7,1780.9,1781.5,,2016 Rotterdam R16,27.8,2014.5,1896.5
Botic Van De Zandschulp,26,26.6,1883.7,,1732.2,1751.5,1413.9,,1807.9,1817.6,1648.8,,2022 Madrid R64,26.6,1897.0,1888.3
Denis Shapovalov,27,23.1,1880.7,,1765.6,1742.6,1667.6,,1823.1,1811.7,1774.1,,2020 Auckland R16,20.7,1973.2,1855.6
Miomir Kecmanovic,28,22.7,1873.6,,1774.0,1725.7,1521.0,,1823.8,1799.6,1697.3,,2022 Munich QF,22.7,1895.0,1946.7
Gael Monfils,29,35.7,1870.7,,1825.6,1538.7,1419.8,,1848.1,1704.7,1645.3,,2015 Monte Carlo QF,28.6,2067.7,1884.0
Holger Rune,30,19.0,1869.0,,1668.1,1782.8,1500.0,,1768.6,1825.9,1684.5,,2022 Lyon QF,19.0,1882.0,1899.9
Marin Cilic,31,33.6,1859.7,,1748.3,1737.2,1796.0,,1804.0,1798.4,1827.8,,2010 Dubai R16,21.4,2094.4,1784.8
