Player,Rank,Age,Elo,    ,HardRaw,ClayRaw,GrassRaw,    ,hElo,cElo,gElo,    ,Peak Match,Peak Age,Peak Elo,yElo
Iga Swiatek,1,23.1,2253.7,,2138.7,2137.3,1690.1,,2196.2,2195.5,1971.9,,2024 Wimbledon R64,23.0,2290.6,2222.3
Elena Rybakina,2,25.0,2126.9,,2035.0,1891.5,1796.5,,2081.0,2009.2,1961.7,,2024 Madrid QF,24.8,2152.1,2134.1
Aryna Sabalenka,3,26.2,2118.7,,1989.1,1967.0,1757.0,,2053.9,2042.9,1937.9,,2024 Australian Open F,25.6,2141.6,2099.9
Coco Gauff,4,20.3,2049.8,,1992.8,1880.6,1652.4,,2021.3,1965.2,1851.1,,2024 Australian Open QF,19.8,2155.1,1986.1
Danielle Collins,5,30.6,2039.0,,1929.3,1851.3,1534.3,,1984.1,1945.1,1786.7,,2024 Strasbourg SF,30.4,2069.4,2072.0
Qinwen Zheng,6,21.8,2038.6,,1894.5,1947.9,1337.4,,1966.5,1993.2,1688.0,,2024 Australian Open SF,21.2,2050.9,2059.4
Madison Keys,7,29.3,1967.2,,1749.7,1810.1,1664.6,,1858.5,1888.7,1815.9,,2016 Olympics QF,21.4,2091.6,2044.7
Paula Badosa,8,26.7,1959.9,,1797.7,1778.0,1613.7,,1878.8,1868.9,1786.8,,2022 Australian Open R32,24.1,2084.4,2005.9
Jasmine Paolini,9,28.5,1959.3,,1811.0,1782.2,1579.5,,1885.2,1870.7,1769.4,,2024 Wimbledon SF,28.4,1980.1,2005.1
Ons Jabeur,10,29.8,1950.6,,1782.1,1832.7,1779.2,,1866.3,1891.7,1864.9,,2022 Wimbledon SF,27.8,2106.9,1904.8
Emma Navarro,11,23.1,1944.9,,1876.3,1731.1,1610.8,,1910.6,1838.0,1777.9,,2024 Wimbledon R16,23.1,1962.9,1957.2
Marketa Vondrousova,12,25.0,1942.1,,1804.6,1761.3,1630.5,,1873.4,1851.7,1786.3,,2019 Roland Garros SF,19.9,2060.3,1878.9
Victoria Azarenka,13,34.9,1934.0,,1863.5,1675.9,1528.5,,1898.7,1804.9,1731.2,,2013 Indian Wells R16,23.5,2331.4,1958.7
Barbora Krejcikova,14,28.6,1932.1,,1835.2,1590.7,1781.8,,1883.6,1761.4,1856.9,,2021 Us Open R16,25.7,2049.0,1965.7
Jessica Pegula,15,30.4,1931.2,,1851.0,1651.2,1604.4,,1891.1,1791.2,1767.8,,2024 United Cup RR,29.8,2092.9,1895.5
Daria Kasatkina,16,27.2,1929.9,,1774.7,1768.3,1692.5,,1852.3,1849.1,1811.2,,2018 Indian Wells SF,20.8,2047.4,1925.0
