Player,Elo Rank,Age,Elo,    ,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,    ,Peak Elo,Peak Month,    ,ATP Rank,Log diff,yElo
Jannik Sinner,1,23.4,2209.6,,1,2175.7,3,2036.3,3,1964.0,,2329.6,2025-01,,1,0,2012.2
Carlos Alcaraz,2,21.9,2165.9,,3,2088.7,1,2126.0,1,2075.0,,2243.6,2023-08,,3,-0.41,2110.5
Novak Djokovic,3,37.9,2147.8,,2,2107.8,2,2060.2,2,2030.4,,2463.2,2016-05,,6,-0.69,1864.2
Jack Draper,4,23.3,2084.8,,4,2028.3,9,1931.1,5,1892.2,,2103.8,2025-04,,5,-0.22,2098.1
Alexander Zverev,5,28.0,2069.7,,5,2025.8,4,2010.2,7,1883.5,,2176.5,2022-01,,2,0.92,1992.6
Taylor Fritz,6,27.4,2017.2,,6,1967.5,10,1925.2,9,1875.9,,2054.0,2025-01,,4,0.41,1930.6
Daniil Medvedev,7,29.1,2002.1,,7,1960.6,12,1922.5,4,1897.0,,2201.2,2022-01,,11,-0.45,1911.9
Alex De Minaur,8,26.1,1999.3,,9,1935.2,16,1901.8,11,1834.6,,2053.1,2024-06,,8,0,2011.7
Lorenzo Musetti,9,23.1,1999.0,,23,1867.7,6,1972.0,6,1890.8,,2007.8,2025-04,,9,0,2070.4
Grigor Dimitrov,10,33.9,1989.5,,8,1942.7,15,1905.4,13,1815.6,,2111.5,2014-08,,15,-0.41,1914.9
Casper Ruud,11,26.3,1988.1,,16,1896.2,5,1984.3,36,1717.3,,2071.9,2022-05,,7,0.45,2072.4
Tommy Paul,12,27.9,1980.2,,10,1920.4,17,1879.9,8,1878.2,,2008.2,2024-08,,12,0,1950.1
Holger Rune,13,21.9,1967.6,,12,1914.5,11,1922.9,14,1813.7,,2082.0,2023-05,,10,0.26,1957.0
Stefanos Tsitsipas,14,26.6,1956.6,,18,1891.8,7,1966.6,18,1782.3,,2145.1,2021-05,,19,-0.31,1926.8
Matteo Berrettini,15,29.0,1956.4,,21,1875.0,8,1940.1,10,1874.2,,2065.7,2022-07,,30,-0.69,1938.0
Arthur Fils,16,20.8,1953.9,,19,1887.5,13,1913.0,15,1813.0,,1985.4,2025-04,,14,0.13,1959.9
Jakub Mensik,17,19.6,1951.1,,11,1917.0,24,1821.8,52,1677.4,,1968.7,2025-04,,21,-0.21,2001.3
Francisco Cerundolo,18,26.6,1949.9,,20,1876.8,14,1912.1,27,1733.6,,1961.6,2025-04,,18,0,2008.7
Tomas Machac,19,24.5,1943.7,,13,1912.6,27,1805.6,26,1736.4,,1972.7,2025-04,,20,-0.05,1911.9
Gael Monfils,20,38.6,1931.3,,17,1894.3,44,1753.6,31,1724.4,,2087.1,2016-10,,43,-0.77,1948.1
Joao Fonseca,21,18.6,1926.9,,14,1910.3,28,1804.3,66,1644.0,,1992.5,2025-03,,65,-1.13,1921.4
Ben Shelton,22,22.5,1925.7,,22,1874.6,23,1827.1,28,1733.4,,1975.5,2024-10,,13,0.53,1892.3
Hubert Hurkacz,23,28.1,1914.6,,25,1862.3,19,1856.7,12,1825.0,,2022.5,2024-06,,31,-0.30,1744.8
Ugo Humbert,24,26.8,1912.8,,15,1904.5,38,1764.1,21,1766.3,,2017.7,2024-03,,22,0.09,1784.2
Tallon Griekspoor,25,28.8,1912.6,,24,1866.9,25,1811.8,16,1787.1,,1936.3,2025-03,,35,-0.34,1917.6
Alejandro Davidovich Fokina,26,25.8,1911.8,,29,1845.1,20,1848.0,56,1668.3,,1931.2,2021-05,,26,0,1965.0
Andrey Rublev,27,27.5,1894.6,,26,1860.1,18,1860.5,17,1786.1,,2122.1,2021-04,,17,0.46,1792.4
Jiri Lehecka,28,23.4,1894.4,,28,1853.0,39,1761.1,42,1697.2,,1966.5,2025-02,,38,-0.31,1846.1
Karen Khachanov,29,28.9,1892.1,,31,1841.7,21,1841.4,39,1709.1,,2029.5,2018-10,,24,0.19,1817.5
Sebastian Korda,30,24.7,1884.3,,30,1842.9,48,1748.0,19,1774.3,,2020.7,2023-01,,23,0.27,1779.3
Denis Shapovalov,31,26.0,1883.6,,27,1856.3,37,1766.5,30,1726.2,,1983.2,2020-01,,28,0.10,1844.8
Thanasi Kokkinakis,32,28.7,1872.6,,34,1822.4,34,1771.4,67,1643.4,,1890.3,2015-06,,112,-1.25,1739.8
