Player,Rank,Age,Elo,    ,HardRaw,ClayRaw,GrassRaw,    ,hElo,cElo,gElo,    ,Peak Match,Peak Age,Peak Elo,yElo
Ashleigh Barty,1,25.3,2196.9,,2057.4,1991.2,1873.1,,2127.2,2094.1,2035.0,,2021 Us Open R64,25.3,2219.6,2194.8
Naomi Osaka,2,23.9,2094.4,,2056.8,1670.1,1552.5,,2075.6,1882.3,1823.5,,2021 Miami R16,23.4,2199.4,1929.6
Anett Kontaveit,3,25.9,2072.5,,2001.7,1720.3,1517.7,,2037.1,1896.4,1795.1,,2021 Guadalajara Finals RR,25.9,2072.5,2142.9
Garbine Muguruza,4,28.1,2042.5,,1968.5,1861.2,1671.5,,2005.5,1951.8,1857.0,,2017 US Open R32,23.9,2109.7,2057.7
Aryna Sabalenka,5,23.5,2034.7,,1924.1,1806.4,1699.8,,1979.4,1920.6,1867.3,,2021 Rome R32,23.0,2127.5,1998.7
Paula Badosa,6,24.0,2032.6,,1871.2,1844.6,1505.5,,1951.9,1938.6,1769.1,,2021 Guadalajara Finals RR,24.0,2032.6,2096.3
Victoria Azarenka,7,32.2,2017.3,,1931.9,1678.3,1563.2,,1974.6,1847.8,1790.3,,2013 Indian Wells R16,23.6,2325.9,2060.2
Maria Sakkari,8,26.3,2016.9,,1922.2,1787.5,1500.8,,1969.6,1902.2,1758.9,,2021 Us Open QF,26.1,2019.7,2039.9
Ons Jabeur,9,27.1,2011.3,,1888.3,1710.2,1745.5,,1949.8,1860.7,1878.4,,2021 Indian Wells QF,27.1,2040.4,2029.4
Simona Halep,10,30.1,2009.2,,1900.2,1868.5,1702.6,,1954.7,1938.8,1855.9,,2015 Stuttgart QF,23.6,2177.8,2011.1
Karolina Pliskova,11,29.6,2009.1,,1894.9,1851.7,1772.0,,1952.0,1930.4,1890.6,,2019 Wimbledon R32,27.3,2087.5,2031.4
Petra Kvitova,12,31.6,1993.2,,1902.3,1857.8,1699.3,,1947.7,1925.5,1846.2,,2012 Sydney QF,21.8,2174.6,1930.9
Iga Swiatek,13,20.4,1991.4,,1825.8,1959.8,1583.6,,1908.6,1975.6,1787.5,,2021 Roland Garros R16,20.0,2092.4,1971.0
Danielle Rose Collins,14,27.9,1991.1,,1890.8,1714.7,1476.5,,1941.0,1852.9,1733.8,,2021 Linz QF,27.9,1991.1,2047.8
Elina Svitolina,15,27.1,1978.6,,1895.7,1842.0,1535.0,,1937.1,1910.3,1756.8,,2018 Roland Garros R64,23.7,2113.3,1953.5
Serena Williams,16,39.7,1964.3,,1887.3,1627.4,1595.2,,1925.8,1795.9,1779.8,,2003 Charleston SF,21.5,2507.7,1907.2
Jennifer Brady,17,26.3,1963.8,,1877.3,1600.8,1498.4,,1920.5,1782.3,1731.1,,2021 Australian Open SF,25.8,1994.6,1931.1
Barbora Krejcikova,18,25.9,1962.8,,1802.8,1849.6,1448.1,,1882.8,1906.2,1705.5,,2021 Us Open R16,25.7,2048.4,1961.6
Jessica Pegula,19,27.6,1961.5,,1894.5,1519.1,1410.0,,1928.0,1740.3,1685.8,,2021 Rome R16,27.2,1981.4,1982.3
Belinda Bencic,20,24.7,1956.0,,1890.9,1636.5,1659.3,,1923.5,1796.2,1807.6,,2016 St. Petersburg SF,18.9,2121.2,1987.7
Angelique Kerber,21,33.8,1955.9,,1827.5,1726.3,1839.2,,1891.7,1841.1,1897.5,,2016 Singapore SF,28.8,2144.6,2003.6
Marketa Vondrousova,22,22.4,1952.1,,1894.2,1723.7,1314.1,,1923.1,1837.9,1633.1,,2019 Roland Garros SF,19.9,2059.6,1997.1
Cori Gauff,23,17.6,1947.7,,1771.6,1817.9,1682.4,,1859.7,1882.8,1815.1,,2021 Roland Garros R16,17.2,2041.5,1937.3
Jelena Ostapenko,24,24.3,1938.9,,1796.9,1681.5,1761.1,,1867.9,1810.2,1850.0,,2017 Wuhan QF,20.3,2021.3,1975.8
Elena Rybakina,25,22.3,1933.3,,1819.4,1694.5,1666.8,,1876.4,1813.9,1800.1,,2020 Dubai SF,20.7,2032.0,1930.1
Karolina Muchova,26,25.0,1919.5,,1803.0,1643.9,1635.6,,1861.3,1781.7,1777.6,,2021 Australian Open QF,24.5,1996.8,1933.8
Leylah Annie Fernandez,27,19.1,1917.6,,1868.6,1439.6,1397.5,,1893.1,1678.6,1657.6,,2021 Indian Wells R32,19.1,1943.2,1946.4
Clara Tauson,28,18.8,1914.3,,1874.3,1547.7,1342.1,,1894.3,1731.0,1628.2,,2021 Courmayeur SF,18.8,1943.0,1933.4
Elise Mertens,29,26.0,1913.7,,1853.6,1777.7,1535.1,,1883.7,1845.7,1724.4,,2021 Madrid R16,25.4,2044.9,1831.8
Darya Kasatkina,30,24.5,1899.7,,1821.2,1667.0,1626.3,,1860.4,1783.4,1763.0,,2018 Indian Wells SF,20.8,2046.6,1883.9
Anastasia Pavlyuchenkova,31,30.3,1899.5,,1790.9,1768.1,1481.5,,1845.2,1833.8,1690.5,,2011 Roland Garros R16,19.9,2063.6,1888.4
Sofia Kenin,32,22.6,1898.0,,1843.9,1651.4,1605.2,,1870.9,1774.7,1751.6,,2020 Fed Cup QLS R1,21.2,2049.2,1710.4
Camila Giorgi,33,29.8,1897.1,,1772.3,1622.0,1643.1,,1834.7,1759.5,1770.1,,2021 Montreal SF,29.6,1946.3,1919.3
Ludmilla Samsonova,34,23.0,1894.9,,1796.2,1424.7,1718.0,,1845.6,1659.8,1806.4,,2021 Wimbledon R32,22.6,1895.8,1919.7
Kiki Bertens,35,29.6,1894.5,,1833.8,1835.1,1579.2,,1864.1,1864.8,1736.8,,2020 Doha R32,28.2,2046.3,
Emma Raducanu,36,19.0,1890.1,,1800.8,1230.0,1468.2,,1845.4,1560.0,1679.1,,2021 Us Open F,18.8,2004.4,1924.5
Bianca Andreescu,37,21.3,1875.6,,1857.2,1549.1,1391.5,,1866.4,1712.3,1633.5,,2019 Beijing R16,19.3,2157.9,1823.1
Madison Keys,38,26.6,1859.8,,1781.0,1718.3,1639.5,,1820.4,1789.1,1749.7,,2016 Olympics QF,21.5,2091.0,1709.9
Yulia Putintseva,39,26.7,1856.5,,1763.4,1697.1,1456.0,,1810.0,1776.8,1656.3,,2020 Roland Garros R128,25.7,1912.8,1863.5
Veronika Kudermetova,40,24.5,1855.6,,1746.3,1788.8,1515.2,,1801.0,1822.2,1685.4,,2021 Roland Garros R128,24.1,1971.1,1820.5
Johanna Konta,41,30.3,1848.4,,1727.4,1631.5,1687.4,,1787.9,1740.0,1767.9,,2017 Fed Cup WG2 R1,25.9,2087.2,1834.6
Sara Sorribes Tormo,42,25.1,1847.1,,1759.7,1653.2,1523.1,,1803.4,1750.1,1685.1,,2021 Us Open R64,24.9,1907.3,1830.6
Ekaterina Alexandrova,43,27.0,1839.8,,1746.7,1581.3,1533.0,,1793.3,1710.6,1686.4,,2020 St. Petersburg R16,25.2,1974.5,1792.8
Amanda Anisimova,44,20.1,1839.6,,1767.1,1674.3,1421.4,,1803.3,1756.9,1630.5,,2019 Mallorca R16,17.8,1928.6,1833.8
Katerina Siniakova,45,25.4,1838.5,,1657.2,1712.0,1609.7,,1747.9,1775.2,1724.1,,2017 Shenzhen F,20.6,1934.7,1845.2
Jil Belen Teichmann,46,24.3,1825.6,,1769.0,1631.1,1275.0,,1797.3,1728.3,1550.3,,2021 Chicago 2 R32,24.2,1887.0,1825.2
Ajla Tomljanovic,47,28.5,1824.8,,1692.8,1628.0,1618.5,,1758.8,1726.4,1721.7,,2019 Rabat QF,26.0,1864.2,1855.4
Ann Li,48,21.3,1824.7,,1779.1,1485.4,1222.7,,1801.9,1655.0,1523.7,,2021 Monterrey QF,20.7,1882.8,1839.9
Marta Kostyuk,49,19.3,1822.0,,1694.8,1692.5,1464.1,,1758.4,1757.3,1643.0,,2021 Chicago 1 R16,19.2,1860.1,1818.1
Shelby Rogers,50,29.1,1820.7,,1760.6,1566.0,1506.7,,1790.6,1693.3,1663.7,,2021 Charleston 2 R16,28.5,1871.6,1821.5
Donna Vekic,51,25.3,1814.6,,1736.5,1621.0,1587.9,,1775.5,1717.8,1701.2,,2019 Us Open R16,23.2,1950.3,1851.1
Vera Zvonareva,52,37.2,1813.1,,1702.5,1607.8,1592.3,,1757.8,1710.5,1702.7,,2009 Miami R64,24.5,2186.6,1802.0
Tereza Martincova,53,27.0,1811.7,,1718.5,1432.4,1568.4,,1765.1,1622.0,1690.1,,2021 Chicago 2 R32,26.9,1826.6,1849.5
Sloane Stephens,54,28.6,1808.4,,1638.4,1768.2,1620.3,,1723.4,1788.3,1714.3,,2017 US Open F,24.4,2022.0,1825.7
Alison Riske,55,31.4,1807.8,,1722.4,1427.3,1687.6,,1765.1,1617.5,1747.7,,2020 Australian Open R32,29.5,1911.6,1800.5
Svetlana Kuznetsova,56,36.0,1805.5,,1763.3,1612.7,1443.7,,1784.4,1709.1,1624.6,,2007 Stuttgart QF,22.3,2205.4,1604.8
Anastasija Sevastova,57,31.5,1805.5,,1659.4,1707.1,1593.9,,1732.4,1756.3,1699.7,,2018 Moscow QF,28.5,1992.0,1788.0
Sorana Cirstea,58,31.5,1803.4,,1690.2,1650.0,1445.0,,1746.8,1726.7,1624.2,,2013 US Open R128,23.4,1907.7,1780.7
Alize Cornet,59,31.8,1800.8,,1700.3,1595.2,1521.3,,1750.6,1698.0,1661.0,,2008 New Haven QF,18.6,2025.6,1776.4
Irina Camelia Begu,60,31.2,1796.9,,1712.0,1641.6,1401.0,,1754.5,1719.3,1599.0,,2016 Roland Garros R32,25.7,1942.3,1771.5
Laura Siegemund,61,33.4,1793.2,,1698.0,1667.9,1389.2,,1745.6,1730.5,1591.2,,2016 Madrid R32,28.2,1918.9,1710.3
Kaia Kanepi,62,36.3,1790.6,,1734.8,1619.1,1456.3,,1762.7,1704.8,1623.5,,2010 Beijing R64,25.3,1992.5,1693.5
Viktorija Golubic,63,29.1,1790.1,,1669.8,1541.6,1603.9,,1729.9,1665.8,1697.0,,2021 Tokyo Olympics R64,28.8,1829.3,1796.9
Qiang Wang,64,29.5,1788.7,,1699.0,1610.4,1449.4,,1743.9,1699.6,1619.1,,2018 Hong Kong SF,26.7,1984.3,1734.7
Jasmine Paolini,65,25.8,1785.5,,1674.2,1628.6,1225.3,,1729.9,1707.0,1505.4,,2021 Linz R16,25.8,1791.8,1834.7
Maria Camila Osorio Serrano,66,19.8,1782.7,,1580.0,1646.9,1596.2,,1681.3,1714.8,1689.5,,2021 Wimbledon Qual,19.5,1804.9,1805.0
Magda Linette,67,29.6,1782.5,,1711.2,1455.2,1475.2,,1746.8,1618.8,1628.8,,2020 Lexington R32,28.5,1827.3,1782.0
Tsvetana Pironkova,68,34.0,1780.7,,1706.4,1516.9,1574.5,,1743.5,1648.8,1677.6,,2006 Bratislava 75K R16,19.1,1854.3,1698.3
Anna Kalinskaya,69,22.9,1779.5,,1723.9,1457.6,1487.3,,1751.7,1618.5,1633.4,,2021 Courmayeur R16,22.9,1791.4,1833.7
Alison Van Uytvanck,70,27.6,1777.2,,1700.0,1503.4,1607.9,,1738.6,1640.3,1692.5,,2018 Montreal R64,24.4,1854.7,1798.1
Lesia Tsurenko,71,32.5,1776.8,,1693.0,1592.3,1540.0,,1734.9,1684.5,1658.4,,2018 Brisbane SF,29.6,1943.7,1772.7
Venus Williams,72,41.2,1774.0,,1715.8,1492.7,1558.0,,1744.9,1633.3,1666.0,,2002 US Open SF,22.2,2453.8,
Ana Konjuh,73,23.8,1772.7,,1656.2,1656.6,1606.6,,1714.5,1714.7,1689.7,,2017 Dubai R16,19.2,1897.4,1756.9
Aliaksandra Sasnovich,74,27.6,1769.4,,1703.4,1557.3,1398.8,,1736.4,1663.4,1584.1,,2019 Australian Open R64,24.8,1943.3,1773.0
Tamara Zidansek,75,23.8,1769.1,,1515.3,1788.6,1392.6,,1642.2,1778.9,1580.8,,2019 Eastbourne R64,21.5,1853.3,1768.1
Petra Martic,76,30.8,1766.1,,1642.2,1733.4,1546.4,,1704.2,1749.7,1656.2,,2019 Wuhan R16,28.7,1977.8,1644.6
Rebecca Peterson,77,26.3,1761.7,,1702.0,1587.2,1411.2,,1731.9,1674.4,1586.5,,2019 Tianjin F,24.2,1902.0,1791.5
