Player,Rank,Age,Elo,    ,HardRaw,ClayRaw,GrassRaw,    ,hElo,cElo,gElo,    ,Peak Match,Peak Age,Peak Elo,yElo
Iga Swiatek,1,22.8,2227.6,,2138.7,2071.6,1697.1,,2183.2,2149.6,1962.4,,2022 Wimbledon R64,21.0,2264.7,2120.0
Elena Rybakina,2,24.8,2142.8,,2035.0,1868.1,1773.9,,2088.9,2005.5,1958.4,,2024 Stuttgart F,24.8,2142.8,2190.9
Aryna Sabalenka,3,25.9,2083.6,,1999.4,1890.7,1739.6,,2041.5,1987.2,1911.6,,2024 Australian Open F,25.6,2141.6,1940.0
Coco Gauff,4,20.0,2066.9,,1992.8,1816.7,1643.4,,2029.9,1941.8,1855.2,,2024 Australian Open QF,19.8,2155.1,1918.9
Danielle Collins,5,30.2,2047.8,,1929.3,1793.0,1428.9,,1988.6,1920.4,1738.3,,2022 Australian Open SF,28.0,2048.5,2157.0
Jessica Pegula,6,30.1,2039.9,,1951.0,1760.7,1587.1,,1995.4,1900.3,1813.5,,2024 United Cup RR,29.8,2092.9,1892.1
Marta Kostyuk,7,21.7,1982.7,,1859.8,1705.9,1496.2,,1921.3,1844.3,1739.5,,2024 Stuttgart SF,21.7,1990.6,2078.2
Qinwen Zheng,8,21.5,1972.5,,1894.5,1794.8,1336.6,,1933.5,1883.6,1654.5,,2024 Australian Open SF,21.2,2050.9,1857.2
Marketa Vondrousova,9,24.7,1970.9,,1804.6,1728.4,1669.5,,1887.8,1849.7,1820.2,,2019 Roland Garros SF,19.9,2060.3,1889.4
Maria Sakkari,10,28.6,1954.8,,1880.8,1796.4,1551.3,,1917.8,1875.6,1753.1,,2022 Indian Wells SF,26.6,2070.6,1965.2
Jelena Ostapenko,11,26.8,1952.0,,1859.0,1669.6,1786.3,,1905.5,1810.8,1869.2,,2022 Doha QF,24.7,2035.3,1876.8
Anna Kalinskaya,12,25.3,1935.9,,1868.8,1593.3,1474.2,,1902.4,1764.6,1705.1,,2024 Dubai SF,25.2,1959.6,1969.0
Emma Navarro,13,22.9,1933.4,,1876.3,1633.1,1528.3,,1904.9,1783.3,1730.9,,2024 Miami R32,22.8,1960.2,1956.6
Ons Jabeur,14,29.6,1932.9,,1782.1,1845.7,1808.3,,1857.5,1889.3,1870.6,,2022 Wimbledon SF,27.8,2106.9,1607.4
Victoria Azarenka,15,34.6,1931.3,,1860.6,1626.5,1509.3,,1896.0,1778.9,1720.3,,2013 Indian Wells R16,23.5,2331.4,1992.6
Daria Kasatkina,16,26.9,1925.1,,1793.9,1807.6,1617.9,,1859.5,1866.4,1771.5,,2018 Indian Wells SF,20.8,2047.4,1900.2
Linda Noskova,17,19.4,1912.5,,1848.2,1588.7,1338.2,,1880.4,1750.6,1625.4,,2024 Stuttgart R32,19.4,1933.4,1908.9
Jasmine Paolini,18,28.2,1907.0,,1811.0,1701.7,1311.0,,1859.0,1804.3,1609.0,,2024 Stuttgart R16,28.2,1912.5,1943.8
