Player,Rank,Age,Elo,    ,HardRaw,ClayRaw,GrassRaw,    ,hElo,cElo,gElo,    ,Peak Match,Peak Age,Peak Elo,yElo
Iga Swiatek,1,22.2,2191.8,,2062.0,2098.3,1697.1,,2126.9,2145.1,1944.4,,2022 Wimbledon R64,21.0,2264.6,2159.1
Cori Gauff,2,19.4,2123.7,,2057.3,1845.9,1643.4,,2090.5,1984.8,1883.5,,2023 Us Open F,19.4,2123.7,2191.2
Aryna Sabalenka,3,25.3,2104.8,,1999.5,1921.2,1739.6,,2052.1,2013.0,1922.2,,2021 Rome R32,23.0,2128.4,2117.5
Elena Rybakina,4,24.1,2061.3,,1989.4,1778.0,1773.9,,2025.4,1919.7,1917.6,,2023 Miami SF,23.7,2099.2,2070.9
Jessica Pegula,5,29.5,2048.6,,1972.6,1740.3,1587.1,,2010.6,1894.4,1817.8,,2023 Cincinnati R32,29.4,2065.2,2059.6
Marketa Vondrousova,6,24.1,2040.4,,1887.4,1681.2,1669.5,,1963.9,1860.8,1855.0,,2019 Roland Garros SF,19.9,2060.3,2087.9
Karolina Muchova,7,27.0,2013.7,,1916.4,1822.3,1518.2,,1965.0,1918.0,1765.9,,2023 Us Open QF,27.0,2024.9,2065.5
Ons Jabeur,8,29.0,2003.3,,1834.0,1891.1,1808.3,,1918.6,1947.2,1905.8,,2022 Wimbledon SF,27.8,2106.9,1934.8
Petra Kvitova,9,33.4,1990.7,,1903.6,1755.7,1803.8,,1947.1,1873.2,1897.3,,2012 Sydney QF,21.8,2175.5,1963.4
Madison Keys,10,28.5,1979.3,,1868.8,1692.0,1759.1,,1924.0,1835.7,1869.2,,2016 Olympics QF,21.4,2091.6,2007.0
Jelena Ostapenko,11,26.2,1956.9,,1824.5,1695.0,1786.3,,1890.7,1825.9,1871.6,,2022 Doha QF,24.7,2035.3,1973.9
Maria Sakkari,12,28.1,1944.8,,1883.3,1781.2,1551.3,,1914.0,1863.0,1748.0,,2022 Indian Wells SF,26.6,2070.6,1929.8
Qinwen Zheng,13,20.8,1942.4,,1867.6,1821.6,1336.6,,1905.0,1882.0,1639.5,,2023 Us Open R16,20.8,1952.8,1957.3
Liudmila Samsonova,14,24.7,1935.3,,1891.4,1550.1,1541.2,,1913.3,1742.7,1738.2,,2022 Guadalajara 2 R32,23.9,1974.0,1941.9
Barbora Krejcikova,15,27.7,1928.1,,1884.4,1646.4,1608.3,,1906.2,1787.2,1768.2,,2021 Us Open R16,25.7,2049.0,1925.8
Daria Kasatkina,16,26.3,1926.5,,1812.1,1780.8,1617.9,,1869.3,1853.7,1772.2,,2018 Indian Wells SF,20.8,2047.4,1944.2
Elina Svitolina,17,28.9,1908.2,,1798.0,1787.3,1610.1,,1853.1,1847.7,1759.1,,2018 Roland Garros R64,23.7,2114.0,1946.7
Belinda Bencic,18,26.5,1904.1,,1806.3,1647.9,1617.5,,1855.2,1776.0,1760.8,,2016 St. Petersburg SF,18.9,2121.8,1893.2
Beatriz Haddad Maia,19,27.2,1901.0,,1763.6,1738.6,1698.6,,1832.3,1819.8,1799.8,,2023 Montreal R64,27.1,1930.2,1900.8
Ekaterina Alexandrova,20,28.8,1895.0,,1736.6,1644.3,1702.6,,1815.8,1769.7,1798.8,,2020 St. Petersburg R16,25.2,1975.0,1895.9
Paula Badosa,21,25.6,1894.8,,1739.4,1770.3,1542.0,,1817.1,1832.5,1718.4,,2022 Australian Open R32,24.1,2084.4,2008.8
Lesia Tsurenko,22,34.2,1893.1,,1753.8,1733.9,1625.5,,1823.5,1813.5,1759.3,,2018 Brisbane SF,29.5,1944.5,1902.9
Danielle Collins,23,29.7,1888.2,,1833.6,1610.1,1428.9,,1860.9,1749.1,1658.6,,2022 Australian Open SF,28.0,2048.5,1856.5
Caroline Garcia,24,29.9,1880.3,,1789.7,1745.4,1677.3,,1835.0,1812.9,1778.8,,2017 Singapore RR,24.0,2044.2,1814.7
Victoria Azarenka,25,34.1,1878.3,,1818.9,1593.1,1509.3,,1848.6,1735.7,1693.8,,2013 Indian Wells R16,23.5,2328.4,1838.2
Veronika Kudermetova,26,26.4,1877.6,,1744.8,1781.9,1631.9,,1811.2,1829.7,1754.7,,2023 Rome QF,26.0,1973.8,1803.4
Sorana Cirstea,27,33.3,1876.2,,1817.6,1621.1,1558.3,,1846.9,1748.7,1717.3,,2013 US Open R128,23.3,1908.3,1940.4
Donna Vekic,28,27.1,1870.2,,1789.4,1597.2,1632.9,,1829.8,1733.7,1751.5,,2019 Us Open R16,23.1,1950.9,1855.2
Marie Bouzkova,29,25.1,1867.9,,1775.6,1559.3,1554.8,,1821.7,1713.6,1711.3,,2022 Guadalajara 2 R16,24.2,1941.4,1894.8
Mirra Andreeva,30,16.3,1855.7,,1561.7,1726.6,1561.1,,1708.7,1791.2,1708.4,,2023 Wimbledon R32,16.1,1945.1,1862.8
Anastasia Potapova,31,22.4,1852.1,,1708.3,1755.1,1588.9,,1780.2,1803.6,1720.5,,2023 Birmingham QF,22.2,1914.4,1832.1
Ajla Tomljanovic,32,30.3,1849.3,,1726.5,1617.3,1660.4,,1787.9,1733.3,1754.8,,2022 Us Open R16,29.3,1905.2,
Camila Giorgi,33,31.7,1844.6,,1770.0,1657.0,1573.3,,1807.3,1750.8,1709.0,,2021 Montreal SF,29.6,1948.2,1837.3
Emma Raducanu,34,20.4,1843.2,,1760.7,1510.9,1505.2,,1801.9,1677.0,1674.2,,2021 Us Open F,18.7,2005.1,1755.8
Anna Kalinskaya,35,24.7,1838.6,,1706.8,1614.2,1474.2,,1772.7,1726.4,1656.4,,2023 Us Open R128,24.7,1881.7,1819.6
Bianca Andreescu,36,23.1,1832.4,,1818.3,1633.2,1467.4,,1825.4,1732.8,1649.9,,2019 Beijing R16,19.2,2158.7,1747.9
Karolina Pliskova,37,31.4,1831.4,,1779.5,1729.2,1645.3,,1805.5,1780.3,1738.3,,2019 Wimbledon R32,27.2,2088.2,1686.0
Elise Mertens,38,27.8,1831.4,,1752.1,1734.1,1537.1,,1791.7,1782.7,1684.2,,2021 Madrid R16,25.4,2045.7,1803.1
