Player,Rank,Age,Elo,    ,HardRaw,ClayRaw,GrassRaw,    ,hElo,cElo,gElo,    ,Peak Match,Peak Age,Peak Elo,yElo
Carlos Alcaraz,1,19.9,2159.5,,2037.0,2014.7,1500.0,,2098.2,2087.1,1829.8,,2022 Roland Garros R16,19.0,2224.5,2176.1
Novak Djokovic,2,35.9,2151.9,,2075.4,1891.4,1871.6,,2113.7,2021.6,2011.7,,2016 Miami F,28.8,2470.1,2016.9
Daniil Medvedev,3,27.1,2132.8,,2060.8,1730.7,1731.8,,2096.8,1931.7,1932.3,,2022 Australian Open SF,25.9,2191.8,2204.1
Jannik Sinner,4,21.6,2101.4,,1996.4,1965.4,1543.3,,2048.9,2033.4,1822.4,,2023 Miami SF,21.5,2110.0,2119.0
Stefanos Tsitsipas,5,24.6,2047.0,,1922.4,2017.8,1711.0,,1984.7,2032.4,1879.0,,2021 Roland Garros SF,22.8,2133.3,1991.0
Holger Rune,6,19.9,2040.0,,1906.6,1860.2,1351.8,,1973.3,1950.1,1695.9,,2023 Munich F,19.9,2040.0,2038.1
Andrey Rublev,7,25.4,2026.8,,1912.7,1904.6,1611.8,,1969.8,1965.7,1819.3,,2021 Monte Carlo SF,23.4,2106.1,2050.4
Taylor Fritz,8,25.4,2022.7,,1930.7,1767.7,1663.6,,1976.7,1895.2,1843.1,,2023 Monte Carlo QF,25.4,2041.2,2028.0
Felix Auger Aliassime,9,22.6,1991.8,,1896.0,1785.1,1687.8,,1943.9,1888.5,1839.8,,2022 Paris QF,22.2,2053.0,1868.3
Matteo Berrettini,10,26.9,1960.4,,1764.7,1902.0,1953.9,,1862.6,1931.2,1957.2,,2022 Gstaad SF,26.2,2072.5,1762.4
Cameron Norrie,11,27.6,1955.0,,1851.4,1884.4,1660.7,,1903.2,1919.7,1807.8,,2022 Cincinnati QF,26.9,2018.3,1893.6
Hubert Hurkacz,12,26.1,1945.2,,1859.6,1740.4,1753.3,,1902.4,1842.8,1849.3,,2022 Canada SF,25.4,1998.0,1894.1
Frances Tiafoe,13,25.2,1940.4,,1854.1,1724.4,1604.0,,1897.3,1832.4,1772.2,,2023 Houston F,25.1,1955.1,1914.8
Karen Khachanov,14,26.9,1939.8,,1833.3,1801.9,1689.1,,1886.6,1870.8,1814.4,,2018 Paris F,22.4,2015.2,1925.4
Casper Ruud,15,24.3,1935.0,,1780.4,1949.5,1426.5,,1857.7,1942.2,1680.7,,2022 Roland Garros SF,23.4,2063.9,1822.9
Tommy Paul,16,25.8,1927.9,,1867.1,1573.1,1629.1,,1897.5,1750.5,1778.5,,2023 Miami R32,25.8,1953.2,1904.4
Alex De Minaur,17,24.1,1927.0,,1843.9,1636.1,1651.9,,1885.5,1781.6,1789.5,,2020 Atp Cup RR,20.8,1993.4,1829.5
Rafael Nadal,18,36.6,1923.7,,1756.2,1853.4,1505.2,,1840.0,1888.6,1714.5,,2009 Madrid SF,22.9,2370.1,
Alexander Zverev,19,25.9,1915.1,,1796.2,1877.9,1546.2,,1855.7,1896.5,1730.7,,2022 Atp Cup RR,24.7,2161.6,1786.0
Nick Kyrgios,20,27.4,1907.9,,1762.1,1500.0,1631.0,,1835.0,1703.9,1769.4,,2017 Cincinnati SF,22.2,2089.3,
Jack Draper,21,21.2,1903.8,,1833.4,1419.2,1527.4,,1868.6,1661.5,1715.6,,2023 Monte Carlo R64,21.2,1921.6,1877.5
Grigor Dimitrov,22,31.9,1903.1,,1798.9,1771.5,1517.5,,1851.0,1837.3,1710.3,,2014 Canada QF,23.2,2090.5,1851.8
Sebastian Korda,23,22.5,1890.6,,1803.3,1603.5,1500.0,,1847.0,1747.1,1695.3,,2023 Australian Open R16,22.5,2005.6,1983.7
Jiri Lehecka,24,21.4,1881.2,,1765.3,1726.6,1370.7,,1823.3,1803.9,1626.0,,2023 Doha QF,21.2,1901.1,1908.8
