Player,Rank,Age,Elo,    ,HardRaw,ClayRaw,GrassRaw,    ,hElo,cElo,gElo,    ,Peak Match,Peak Age,Peak Elo,yElo
Novak Djokovic,1,36.3,2212.5,,2116.5,1960.1,1898.1,,2164.5,2086.3,2055.3,,2016 Miami F,28.8,2470.3,2290.9
Carlos Alcaraz,2,20.4,2181.1,,2012.9,2039.0,1909.3,,2097.0,2110.0,2045.2,,2023 Canada R16,20.2,2239.7,2179.4
Daniil Medvedev,3,27.6,2110.5,,2045.5,1850.0,1751.2,,2078.0,1980.3,1930.9,,2022 Australian Open SF,25.9,2191.9,2113.2
Jannik Sinner,4,22.1,2105.8,,2026.8,1913.5,1733.0,,2066.3,2009.7,1919.4,,2023 Shanghai R32,22.1,2127.4,2122.3
Andrey Rublev,5,25.9,2024.1,,1916.3,1918.9,1757.6,,1970.2,1971.5,1890.9,,2021 Monte Carlo SF,23.4,2106.2,2027.0
Alexander Zverev,6,26.4,2021.7,,1884.6,1917.9,1619.4,,1953.1,1969.8,1820.6,,2022 Atp Cup RR,24.7,2161.7,2071.9
Hubert Hurkacz,7,26.6,1979.4,,1913.2,1717.5,1723.7,,1946.3,1848.4,1851.5,,2022 Canada SF,25.4,1998.1,2021.3
Grigor Dimitrov,8,32.3,1976.4,,1842.2,1802.7,1611.6,,1909.3,1889.6,1794.0,,2014 Canada QF,23.2,2090.6,2031.5
Taylor Fritz,9,25.9,1965.3,,1930.3,1757.6,1598.7,,1947.8,1861.4,1782.0,,2023 Monte Carlo QF,25.4,2041.3,1947.1
Stefanos Tsitsipas,10,25.1,1954.3,,1853.8,2005.1,1650.8,,1904.0,1979.7,1802.5,,2021 Roland Garros SF,22.8,2133.4,1854.8
Holger Rune,11,20.4,1952.9,,1775.3,1897.3,1631.9,,1864.1,1925.1,1792.4,,2023 Roland Garros R16,20.0,2070.1,1891.6
