Player,Rank,Age,Elo,    ,HardRaw,ClayRaw,GrassRaw,    ,hElo,cElo,gElo,    ,Peak Match,Peak Age,Peak Elo,yElo
Iga Swiatek,1,21.0,2235.8,,2110.9,2075.2,1587.6,,2173.4,2155.5,1911.7,,2022 Wimbledon R64,21.0,2264.2,2306.2
Ashleigh Barty,2,25.7,2180.6,,2071.5,1891.5,1773.1,,2126.0,2036.0,1976.9,,2021 Us Open R64,25.3,2219.8,2114.7
Ons Jabeur,3,27.8,2091.5,,1898.0,1858.6,1820.1,,1994.8,1975.1,1955.8,,2022 Wimbledon SF,27.8,2106.4,2132.6
Simona Halep,4,30.7,2044.9,,1919.8,1843.6,1778.8,,1982.4,1944.2,1911.8,,2015 Stuttgart QF,23.5,2177.7,2061.5
Paula Badosa,5,24.6,2021.9,,1949.4,1837.7,1540.0,,1985.7,1929.8,1780.9,,2022 Australian Open R32,24.1,2083.9,1974.3
Anett Kontaveit,6,26.5,2016.4,,1990.6,1690.8,1506.0,,2003.5,1853.6,1761.2,,2022 Indian Wells R64,26.2,2105.8,1869.3
Victoria Azarenka,7,32.8,2005.0,,1917.6,1720.2,1563.2,,1961.3,1862.6,1784.1,,2013 Indian Wells R16,23.5,2325.6,1917.4
Naomi Osaka,8,24.5,2004.5,,1978.0,1579.6,1500.0,,1991.3,1792.1,1752.3,,2021 Miami R16,23.4,2199.5,1923.5
Cori Gauff,9,18.2,2001.5,,1814.2,1867.1,1704.6,,1907.8,1934.3,1853.0,,2021 Roland Garros R16,17.2,2043.9,2008.1
Amanda Anisimova,10,20.8,1995.3,,1810.7,1787.5,1626.7,,1903.0,1891.4,1811.0,,2022 Wimbledon R16,20.8,2008.6,2027.6
Belinda Bencic,11,25.2,1992.2,,1874.4,1749.1,1677.5,,1933.3,1870.7,1834.8,,2016 St. Petersburg SF,18.9,2121.2,2001.4
Maria Sakkari,12,26.9,1982.7,,1948.8,1776.9,1554.8,,1965.8,1879.8,1768.7,,2022 Indian Wells SF,26.6,2070.1,1901.4
Elena Rybakina,13,23.0,1981.9,,1868.8,1708.7,1796.8,,1925.3,1845.3,1889.3,,2020 Dubai SF,20.6,2032.0,2008.6
Marketa Vondrousova,14,22.8,1980.2,,1912.2,1713.2,1314.1,,1946.2,1846.7,1647.1,,2019 Roland Garros SF,19.9,2059.6,1946.9
Jessica Pegula,15,28.3,1973.6,,1853.3,1719.8,1468.1,,1913.4,1846.7,1720.8,,2022 Wimbledon R64,28.3,1990.8,1976.4
Daria Kasatkina,16,25.1,1973.4,,1812.4,1795.8,1620.7,,1892.9,1884.6,1797.1,,2018 Indian Wells SF,20.8,2046.6,2003.9
Aryna Sabalenka,17,24.1,1970.8,,1843.8,1804.8,1681.7,,1907.3,1887.8,1826.3,,2021 Rome R32,23.0,2127.9,1917.6
Danielle Collins,18,28.5,1970.1,,1935.7,1691.3,1432.3,,1952.9,1830.7,1701.2,,2022 Australian Open SF,28.0,2048.0,1846.3
Petra Kvitova,19,32.3,1961.4,,1876.5,1798.9,1744.6,,1919.0,1880.1,1853.0,,2012 Sydney QF,21.8,2174.7,1935.9
Jelena Ostapenko,20,25.0,1939.5,,1880.9,1623.9,1740.6,,1910.2,1781.7,1840.1,,2022 Doha QF,24.7,2034.8,1890.3
Leylah Fernandez,21,19.7,1939.2,,1871.1,1656.7,1397.5,,1905.1,1797.9,1668.3,,2022 Indian Wells R32,19.4,1974.0,1917.7
Ekaterina Alexandrova,22,27.5,1931.8,,1724.8,1707.1,1645.5,,1828.3,1819.5,1788.7,,2020 St. Petersburg R16,25.2,1974.5,1989.5
Veronika Kudermetova,23,25.1,1917.2,,1821.6,1752.2,1604.1,,1869.4,1834.7,1760.7,,2021 Roland Garros R128,24.1,1971.7,1926.1
Karolina Pliskova,24,30.2,1915.5,,1860.9,1747.4,1721.0,,1888.2,1831.4,1818.2,,2019 Wimbledon R32,27.2,2087.5,1724.8
Angelique Kerber,25,34.4,1909.9,,1810.9,1706.8,1791.6,,1860.4,1808.3,1850.8,,2016 Singapore SF,28.7,2144.5,1804.5
Madison Keys,26,27.3,1907.6,,1833.4,1699.7,1655.4,,1870.5,1803.7,1781.5,,2016 Olympics QF,21.4,2091.0,1894.8
Clara Tauson,27,19.3,1902.8,,1863.0,1528.9,1342.1,,1882.9,1715.8,1622.4,,2022 Australian Open R64,19.0,1964.3,1785.9
Garbine Muguruza,28,28.7,1898.6,,1906.1,1767.3,1584.4,,1902.3,1832.9,1741.5,,2017 US Open R32,23.8,2109.7,1613.9
Bianca Andreescu,29,22.0,1895.2,,1857.8,1666.5,1500.4,,1876.5,1780.9,1697.8,,2019 Beijing R16,19.2,2158.1,1839.4
Karolina Muchova,30,25.8,1891.1,,1816.7,1651.7,1541.4,,1853.9,1771.4,1716.2,,2021 Australian Open QF,24.4,1997.0,1766.6
Elina Svitolina,31,27.5,1883.0,,1783.5,1842.2,1535.0,,1833.3,1862.6,1709.0,,2018 Roland Garros R64,23.7,2113.3,1552.1
Marie Bouzkova,32,23.9,1882.3,,1762.0,1539.6,1575.4,,1822.2,1711.0,1728.9,,2022 Wimbledon R16,23.9,1888.4,1963.5
Anastasia Pavlyuchenkova,33,30.8,1877.1,,1787.1,1719.6,1481.4,,1832.1,1798.4,1679.3,,2011 Roland Garros R16,19.8,2062.6,
Beatriz Haddad Maia,34,26.0,1869.0,,1719.5,1613.5,1691.8,,1794.3,1741.2,1780.4,,2022 Eastbourne R16,26.0,1896.6,1949.2
Camila Giorgi,35,30.4,1860.3,,1760.0,1634.8,1625.0,,1810.1,1747.5,1742.6,,2021 Montreal SF,29.6,1947.7,1785.6
Yulia Putintseva,36,27.4,1860.0,,1737.5,1728.8,1434.6,,1798.8,1794.4,1647.3,,2020 Roland Garros R128,25.7,1912.8,1836.7
Jil Teichmann,37,24.9,1858.3,,1736.8,1764.3,1219.7,,1797.5,1811.3,1539.0,,2022 Roland Garros R32,24.8,1937.3,1839.5
Anhelina Kalinina,38,25.3,1853.3,,1672.2,1716.8,1437.9,,1762.8,1785.1,1645.6,,2022 Eastbourne R16,25.3,1871.4,1876.7
Elise Mertens,39,26.6,1848.2,,1805.7,1760.4,1549.2,,1827.0,1804.3,1698.7,,2021 Madrid R16,25.4,2045.2,1745.6
Sara Sorribes Tormo,40,25.7,1842.2,,1722.2,1701.9,1492.5,,1782.2,1772.0,1667.4,,2021 Us Open R64,24.8,1908.8,1818.6
Aliaksandra Sasnovich,41,28.2,1838.5,,1773.8,1631.8,1434.7,,1806.1,1735.1,1636.6,,2019 Australian Open R64,24.8,1943.3,1850.0
Irina Camelia Begu,42,31.8,1838.0,,1717.5,1672.8,1459.0,,1777.8,1755.4,1648.5,,2016 Roland Garros R32,25.7,1942.3,1855.3
Caroline Garcia,43,28.6,1831.6,,1676.8,1690.2,1666.4,,1754.2,1760.9,1749.0,,2017 Singapore RR,24.0,2043.5,1911.9
Emma Raducanu,44,19.6,1829.6,,1688.1,1541.0,1505.3,,1758.9,1685.3,1667.4,,2021 Us Open F,18.7,2004.7,1764.8
Barbora Krejcikova,45,26.5,1828.1,,1736.2,1709.5,1478.6,,1782.2,1768.8,1653.3,,2021 Us Open R16,25.7,2048.5,1791.7
Katie Boulter,46,25.9,1826.7,,1663.1,1390.9,1668.9,,1744.9,1608.8,1747.8,,2022 Wimbledon R64,25.9,1849.4,1868.7
Kaia Kanepi,47,37.0,1825.9,,1770.3,1658.9,1437.5,,1798.1,1742.4,1631.7,,2010 Beijing R64,25.3,1992.9,1796.8
Alison Riske,48,31.9,1825.5,,1762.2,1458.2,1640.7,,1793.8,1641.8,1733.1,,2020 Australian Open R32,29.5,1911.6,1802.1
Qinwen Zheng,49,19.7,1824.2,,1675.0,1747.1,1410.0,,1749.6,1785.6,1617.1,,2022 Valencia 125 F,19.6,1886.0,1835.4
Lesia Tsurenko,50,33.0,1824.0,,1675.5,1635.0,1629.4,,1749.8,1729.5,1726.7,,2018 Brisbane SF,29.5,1943.7,1883.2
Jule Niemeier,51,22.8,1822.5,,1469.3,1730.1,1604.0,,1645.9,1776.3,1713.2,,2022 Wimbledon R16,22.8,1852.6,1851.8
Katerina Siniakova,52,26.1,1817.2,,1689.6,1714.6,1509.2,,1753.4,1765.9,1663.2,,2017 Shenzhen F,20.6,1934.8,1714.4
