Player,Rank,Age,Elo,    ,HardRaw,ClayRaw,GrassRaw,    ,hElo,cElo,gElo,    ,Peak Match,Peak Age,Peak Elo,yElo
Iga Swiatek,1,21.8,2195.1,,2072.7,2059.8,1587.2,,2133.9,2127.5,1891.2,,2022 Wimbledon R64,21.0,2264.3,2135.0
Aryna Sabalenka,2,24.9,2126.7,,1991.0,1949.4,1681.7,,2058.8,2038.0,1904.2,,2021 Rome R32,23.0,2128.0,2204.8
Elena Rybakina,3,23.8,2068.6,,2005.5,1705.6,1796.8,,2037.0,1887.1,1932.7,,2023 Miami SF,23.7,2098.9,2117.7
Ons Jabeur,4,28.6,2046.1,,1850.6,1910.3,1820.1,,1948.3,1978.2,1933.1,,2022 Wimbledon SF,27.8,2106.5,1956.3
Jessica Pegula,5,29.1,2039.7,,1946.4,1772.0,1468.1,,1993.0,1905.9,1753.9,,2023 Madrid R16,29.1,2054.3,2028.6
Belinda Bencic,6,26.0,2028.3,,1920.8,1776.1,1677.5,,1974.5,1902.2,1852.9,,2016 St. Petersburg SF,18.9,2121.3,2013.5
Simona Halep,7,30.9,2028.3,,1908.6,1808.6,1743.9,,1968.4,1918.4,1886.1,,2015 Stuttgart QF,23.5,2177.8,
Petra Kvitova,8,33.1,1999.6,,1929.1,1776.1,1744.6,,1964.3,1887.8,1872.1,,2012 Sydney QF,21.8,2174.8,2008.4
Maria Sakkari,9,27.7,1978.0,,1892.8,1818.0,1554.8,,1935.4,1898.0,1766.4,,2022 Indian Wells SF,26.6,2070.2,1973.2
Cori Gauff,10,19.1,1967.1,,1881.3,1825.8,1704.6,,1924.2,1896.5,1835.9,,2022 Us Open R16,18.4,2055.1,1911.6
Paula Badosa,11,25.4,1964.0,,1839.5,1855.1,1540.6,,1901.7,1909.6,1752.3,,2022 Australian Open R32,24.1,2084.0,1940.8
Barbora Krejcikova,12,27.3,1951.9,,1909.8,1681.5,1478.6,,1930.9,1816.7,1715.2,,2021 Us Open R16,25.7,2048.6,1969.7
Karolina Pliskova,13,31.0,1939.5,,1848.6,1770.1,1721.0,,1894.0,1854.8,1830.2,,2019 Wimbledon R32,27.2,2087.8,1989.3
Veronika Kudermetova,14,25.9,1937.8,,1826.6,1788.7,1604.1,,1882.2,1863.2,1771.0,,2021 Roland Garros R128,24.1,1971.8,1917.4
Caroline Garcia,15,29.5,1936.9,,1835.7,1765.0,1666.4,,1886.3,1851.0,1801.7,,2017 Singapore RR,24.0,2043.8,1848.4
Marketa Vondrousova,16,23.8,1934.9,,1850.9,1643.9,1314.1,,1892.9,1789.4,1624.5,,2019 Roland Garros SF,19.9,2059.8,1929.3
Madison Keys,17,28.1,1934.7,,1850.4,1714.5,1655.4,,1892.6,1824.6,1795.0,,2016 Olympics QF,21.4,2091.1,1902.2
Liudmila Samsonova,18,24.4,1907.3,,1829.7,1534.5,1568.9,,1868.5,1720.9,1738.1,,2022 Guadalajara 2 R32,23.9,1973.6,1821.3
Bianca Andreescu,19,22.8,1905.7,,1859.2,1622.4,1500.4,,1882.4,1764.0,1703.0,,2019 Beijing R16,19.2,2158.2,1825.5
Qinwen Zheng,20,20.5,1902.7,,1832.3,1685.9,1410.0,,1867.5,1794.3,1656.4,,2023 Miami R32,20.4,1939.2,1872.1
Karolina Muchova,21,26.6,1900.1,,1830.6,1651.1,1541.4,,1865.3,1775.6,1720.7,,2021 Australian Open QF,24.4,1997.1,1926.1
Victoria Azarenka,22,33.7,1896.6,,1825.3,1588.2,1500.0,,1861.0,1742.4,1698.3,,2013 Indian Wells R16,23.5,2327.7,1788.2
Jelena Ostapenko,23,25.8,1896.2,,1812.5,1631.3,1740.6,,1854.3,1763.8,1818.4,,2022 Doha QF,24.7,2034.9,1863.8
Daria Kasatkina,24,25.9,1892.8,,1754.9,1788.7,1620.7,,1823.9,1840.7,1756.8,,2018 Indian Wells SF,20.8,2046.9,1816.8
Anastasia Potapova,25,22.0,1888.8,,1763.9,1739.3,1455.8,,1826.4,1814.1,1672.3,,2023 Stuttgart QF,22.0,1905.4,1956.0
Lesia Tsurenko,26,33.9,1880.7,,1776.4,1671.0,1629.8,,1828.6,1775.8,1755.3,,2018 Brisbane SF,29.5,1944.0,1902.6
Sorana Cirstea,27,33.0,1875.7,,1784.6,1661.0,1526.6,,1830.1,1768.3,1701.1,,2013 US Open R128,23.3,1907.7,2014.8
Danielle Collins,28,29.3,1875.4,,1824.7,1626.1,1432.3,,1850.1,1750.7,1653.9,,2022 Australian Open SF,28.0,2048.1,1737.8
Mirra Andreeva,29,15.9,1875.3,,1521.9,1738.2,-,,1698.6,1806.7,1612.7,,2023 Madrid R32,15.9,1890.8,1907.4
Donna Vekic,30,26.8,1861.4,,1806.9,1579.2,1579.5,,1834.2,1720.3,1720.5,,2019 Us Open R16,23.1,1950.5,1848.2
Ekaterina Alexandrova,31,28.4,1860.2,,1727.0,1654.3,1545.6,,1793.6,1757.3,1702.9,,2020 St. Petersburg R16,25.2,1974.6,1838.3
Ajla Tomljanovic,32,29.5,1859.2,,1739.4,1617.5,1660.5,,1799.3,1738.3,1759.8,,2022 Us Open R16,29.3,1904.9,
Beatriz Haddad Maia,33,26.8,1852.8,,1776.2,1609.6,1692.1,,1814.5,1731.2,1772.4,,2022 Toronto SF,26.1,1926.6,1767.5
Irina Camelia Begu,34,32.6,1850.7,,1677.5,1747.6,1459.0,,1764.1,1799.2,1654.9,,2016 Roland Garros R32,25.7,1942.4,1844.8
Anna Kalinskaya,35,24.3,1849.7,,1741.7,1554.1,1474.3,,1795.7,1701.9,1662.0,,2023 Madrid R64,24.3,1865.2,1857.0
Marta Kostyuk,36,20.8,1846.4,,1772.4,1595.7,1502.1,,1809.4,1721.1,1674.2,,2023 Austin F,20.6,1880.9,1834.1
Shelby Rogers,37,30.5,1844.8,,1758.8,1590.0,1499.5,,1801.8,1717.4,1672.2,,2021 Charleston 2 R16,28.4,1874.2,1835.4
Garbine Muguruza,38,29.3,1844.7,,1816.8,1767.3,1584.4,,1830.8,1806.0,1714.6,,2017 US Open R32,23.8,2109.9,
Elise Mertens,39,27.4,1843.9,,1784.0,1736.5,1549.2,,1813.9,1790.2,1696.5,,2021 Madrid R16,25.4,2045.3,1813.9
Emma Raducanu,40,20.4,1842.9,,1760.7,1511.0,1505.3,,1801.8,1676.9,1674.1,,2021 Us Open F,18.7,2004.8,1755.5
Camila Giorgi,41,31.3,1837.5,,1754.5,1624.2,1625.1,,1796.0,1730.9,1731.3,,2021 Montreal SF,29.6,1947.8,1777.1
Linda Noskova,42,18.3,1834.1,,1736.5,1620.1,-,,1785.3,1727.1,1592.0,,2023 Lyon R16,18.2,1863.0,1856.2
Petra Martic,43,32.2,1828.1,,1675.2,1774.1,1531.7,,1751.6,1801.1,1679.9,,2019 Wuhan R16,28.6,1978.0,1848.3
Magda Linette,44,31.1,1823.3,,1754.8,1548.5,1504.5,,1789.1,1685.9,1663.9,,2023 Merida R32,31.0,1859.0,1800.2
Marie Bouzkova,45,24.7,1811.0,,1728.8,1550.1,1575.4,,1769.9,1680.5,1693.2,,2022 Guadalajara 2 R16,24.2,1941.1,1675.6
Anastasia Pavlyuchenkova,46,31.8,1810.7,,1730.2,1691.3,1481.4,,1770.5,1751.0,1646.1,,2011 Roland Garros R16,19.8,2062.7,1551.0
Katerina Siniakova,47,26.8,1808.3,,1700.2,1688.9,1509.2,,1754.3,1748.6,1658.8,,2017 Shenzhen F,20.6,1934.9,1685.1
Leylah Fernandez,48,20.6,1802.7,,1726.0,1542.5,1397.5,,1764.3,1672.6,1600.1,,2022 Indian Wells R32,19.4,1974.1,1794.7
Camila Osorio,49,21.3,1798.3,,1694.2,1640.6,1451.5,,1746.3,1719.4,1624.9,,2022 Monterrey SF,20.1,1837.6,1789.2
Anhelina Kalinina,50,26.2,1794.9,,1721.9,1673.1,1437.9,,1758.4,1734.0,1616.4,,2022 Eastbourne R16,25.3,1871.5,1690.6
Mayar Sherif,51,26.9,1794.4,,1414.6,1832.8,1471.0,,1604.5,1813.6,1632.7,,2023 Adelaide 1 Qual,26.6,1824.7,1777.2
Yulia Putintseva,52,28.2,1791.2,,1668.0,1715.9,1434.6,,1729.6,1753.5,1612.9,,2020 Roland Garros R128,25.7,1912.9,1764.7
Anett Kontaveit,53,27.3,1790.5,,1773.8,1556.4,1500.0,,1782.1,1673.5,1645.3,,2022 Indian Wells R64,26.2,2105.9,1556.8
Rebeka Masarova,54,23.7,1789.1,,1666.2,1600.1,1284.4,,1727.6,1694.6,1536.8,,2023 Madrid R64,23.7,1799.5,1827.2
Sara Sorribes Tormo,55,26.5,1785.2,,1685.9,1682.6,1492.5,,1735.5,1733.9,1638.9,,2021 Us Open R64,24.8,1908.9,1618.3
Lauren Davis,56,29.5,1785.0,,1707.7,1575.0,1488.4,,1746.3,1680.0,1636.7,,2017 Indian Wells R32,23.4,1901.8,1817.1
Clara Tauson,57,20.3,1784.2,,1671.1,1553.2,1342.1,,1727.6,1668.7,1563.1,,2022 Australian Open R64,19.0,1964.4,1729.1
Elisabetta Cocciaretto,58,22.2,1784.0,,1641.6,1677.9,1446.0,,1712.8,1731.0,1615.0,,2020 Prague SF,19.5,1802.1,1775.8
Amanda Anisimova,59,21.6,1783.8,,1666.7,1647.2,1526.7,,1725.3,1715.5,1655.3,,2022 San Jose R16,20.9,2009.7,1593.1
Varvara Gracheva,60,22.7,1781.4,,1757.0,1418.4,1291.9,,1769.2,1599.9,1536.7,,2023 Charleston R64,22.6,1815.9,1856.2
Sloane Stephens,61,30.1,1774.8,,1663.6,1712.1,1528.7,,1719.2,1743.4,1651.7,,2017 US Open F,24.4,2022.3,1720.0
