Player,Rank,Age,Elo,    ,HardRaw,ClayRaw,GrassRaw,    ,hElo,cElo,gElo,    ,Peak Match,Peak Age,Peak Elo,yElo
Novak Djokovic,1,36.6,2216.8,,2119.1,1960.1,1898.1,,2167.9,2088.5,2057.4,,2016 Miami F,28.8,2470.3,2295.9
Jannik Sinner,2,22.2,2196.7,,2124.6,1913.5,1733.0,,2160.7,2055.1,1964.9,,2023 Davis Cup Finals F,22.2,2196.7,2254.8
Carlos Alcaraz,3,20.5,2148.8,,1983.1,2039.0,1909.3,,2065.9,2093.9,2029.0,,2023 Canada R16,20.2,2239.7,2131.9
Daniil Medvedev,4,27.7,2104.4,,2026.2,1850.0,1751.2,,2065.3,1977.2,1927.8,,2022 Australian Open SF,25.9,2191.9,2098.3
Alexander Zverev,5,26.6,2037.4,,1916.3,1917.9,1619.4,,1976.9,1977.6,1828.4,,2022 Atp Cup RR,24.7,2161.7,2060.4
Andrey Rublev,6,26.1,2035.4,,1930.2,1918.9,1757.6,,1982.8,1977.1,1896.5,,2021 Monte Carlo SF,23.4,2106.2,2011.6
Grigor Dimitrov,7,32.6,2032.0,,1912.0,1802.7,1611.6,,1972.0,1917.4,1821.8,,2014 Canada QF,23.2,2090.6,2093.0
Hubert Hurkacz,8,26.8,1974.4,,1887.1,1717.5,1723.7,,1930.8,1846.0,1849.1,,2023 Paris R16,26.7,1998.8,2011.1
Alex De Minaur,9,24.8,1974.3,,1899.3,1622.5,1679.5,,1936.8,1798.4,1826.9,,2020 Atp Cup RR,20.8,1993.5,1947.8
Stefanos Tsitsipas,10,25.3,1966.1,,1868.6,2005.1,1650.8,,1917.4,1985.6,1808.5,,2021 Roland Garros SF,22.8,2133.4,1941.6
Holger Rune,11,20.6,1954.0,,1816.5,1897.3,1631.9,,1885.2,1925.6,1792.9,,2023 Roland Garros R16,20.0,2070.1,1891.0
Taylor Fritz,12,26.1,1943.0,,1895.5,1757.6,1598.7,,1919.3,1850.3,1770.9,,2023 Monte Carlo QF,25.4,2041.3,1912.9
Ugo Humbert,13,25.5,1934.9,,1850.7,1656.7,1582.4,,1892.8,1795.8,1758.7,,2024 Brisbane R32,25.5,1934.9,1992.1
Casper Ruud,14,25.0,1922.5,,1772.6,1940.5,1412.8,,1847.6,1931.5,1667.7,,2022 Roland Garros SF,23.4,2064.0,1835.3
Jack Draper,15,22.0,1907.7,,1824.8,1500.0,1500.0,,1866.3,1703.9,1703.9,,2024 Adelaide SF,22.0,1929.0,1899.0
Matteo Berrettini,16,27.3,1899.7,,1693.2,1801.9,1822.2,,1796.4,1850.8,1860.9,,2022 Gstaad SF,26.2,2072.6,1876.1
Roman Safiullin,17,26.4,1883.3,,1739.2,1631.6,1642.7,,1811.3,1757.5,1763.0,,2024 Brisbane QF,26.4,1894.4,1897.3
Felix Auger Aliassime,18,23.4,1881.1,,1813.7,1729.0,1639.1,,1847.4,1805.1,1760.1,,2022 Paris QF,22.2,2053.1,1853.7
Alejandro Davidovich Fokina,19,24.5,1880.4,,1781.8,1753.5,1502.0,,1831.1,1817.0,1691.2,,2021 Roland Garros R16,21.9,1928.4,1850.1
Nicolas Jarry,20,28.2,1875.1,,1697.9,1800.3,1555.1,,1786.5,1837.7,1715.1,,2023 Basel R32,28.0,1893.0,1913.5
Tommy Paul,21,26.6,1871.1,,1810.6,1598.1,1618.1,,1840.9,1734.6,1744.6,,2023 Miami R32,25.8,1953.3,1857.0
Ben Shelton,22,21.2,1866.6,,1784.9,1393.9,1375.9,,1825.7,1630.2,1621.2,,2023 Tokyo F,21.0,1924.3,1918.3
Gael Monfils,23,37.3,1863.1,,1811.6,1527.1,1419.8,,1837.3,1695.1,1641.4,,2015 Monte Carlo QF,28.6,2068.0,1881.5
Karen Khachanov,24,27.6,1858.0,,1745.5,1715.5,1579.1,,1801.8,1786.8,1718.6,,2018 Paris F,22.4,2015.3,1914.4
Sebastian Korda,25,23.5,1856.2,,1759.7,1541.8,1590.4,,1807.9,1699.0,1723.3,,2023 Australian Open R16,22.5,2005.7,1885.5
Frances Tiafoe,26,25.9,1855.2,,1749.5,1747.7,1667.7,,1802.3,1801.4,1761.5,,2023 Queen's Club R32,25.4,1960.6,1782.1
Jiri Lehecka,27,22.1,1853.2,,1744.4,1661.6,1622.1,,1798.8,1757.4,1737.6,,2023 Doha QF,21.2,1901.1,1770.1
Matteo Arnaldi,28,22.8,1851.1,,1680.8,1784.3,1482.1,,1766.0,1817.7,1666.6,,2023 Shanghai R64,22.6,1880.7,1865.0
Andy Murray,29,36.6,1850.5,,1714.7,1752.5,1740.6,,1782.6,1801.5,1795.5,,2017 Doha SF,29.6,2347.2,1805.0
Emil Ruusuvuori,30,24.7,1848.7,,1771.7,1600.6,1499.5,,1810.2,1724.6,1674.1,,2023 s Hertogenbosch QF,24.1,1881.1,1796.1
Tallon Griekspoor,31,27.4,1845.2,,1730.1,1707.1,1703.0,,1787.7,1776.1,1774.1,,2022 Australian Open R128,25.5,1924.9,1883.2
Adrian Mannarino,32,35.5,1843.3,,1757.1,1401.4,1709.7,,1800.2,1622.4,1776.5,,2018 Australian Open R64,29.5,1884.7,1931.3
Borna Coric,33,27.1,1835.8,,1764.9,1789.5,1520.2,,1800.3,1812.6,1678.0,,2019 Australian Open R32,22.1,1999.2,1757.0
Arthur Fils,34,19.5,1830.6,,1721.8,1693.9,1522.7,,1776.2,1762.3,1676.6,,2024 Auckland R16,19.5,1856.9,1823.9
