Player,Rank,Age,Elo,    ,HardRaw,ClayRaw,GrassRaw,    ,hElo,cElo,gElo,    ,Peak Match,Peak Age,Peak Elo,yElo
Carlos Alcaraz,1,19.4,2125.6,,2012.7,2017.0,1572.5,,2069.1,2071.3,1849.1,,2022 Roland Garros R16,19.0,2223.6,2116.6
Novak Djokovic,2,35.4,2118.6,,2000.2,1918.5,1871.6,,2059.4,2018.6,1995.1,,2016 Miami F,28.8,2470.0,2205.6
Daniil Medvedev,3,26.7,2049.3,,1979.3,1694.2,1735.2,,2014.3,1871.7,1892.2,,2022 Australian Open SF,25.9,2192.4,2058.2
Felix Auger Aliassime,4,22.2,2039.1,,1979.7,1785.2,1687.9,,2009.4,1912.2,1863.5,,2022 Paris QF,22.2,2053.6,2088.0
Nick Kyrgios,5,27.4,2037.9,,1893.1,1534.2,1758.1,,1965.5,1786.1,1898.0,,2017 Cincinnati SF,22.2,2088.8,2099.0
Jannik Sinner,6,21.2,2026.9,,1895.6,1958.0,1543.4,,1961.3,1992.4,1785.2,,2022 Canada R32,20.9,2104.4,1996.8
Stefanos Tsitsipas,7,24.2,2026.5,,1910.4,2040.6,1672.8,,1968.5,2033.6,1849.7,,2021 Roland Garros SF,22.8,2135.0,2007.5
Holger Rune,8,19.5,2020.7,,1980.6,1758.4,1351.2,,2000.7,1889.6,1686.0,,2022 Paris F,19.5,2020.7,2078.8
Matteo Berrettini,9,26.5,2018.8,,1824.4,1885.6,1954.0,,1921.6,1952.2,1986.4,,2022 Gstaad SF,26.2,2073.1,1994.8
Alexander Zverev,10,25.0,2008.9,,1890.4,1919.4,1546.4,,1949.7,1964.1,1777.6,,2022 Atp Cup RR,24.7,2162.2,2122.7
Andrey Rublev,11,25.0,1994.4,,1924.2,1843.4,1612.0,,1959.3,1918.9,1803.2,,2021 Monte Carlo SF,23.4,2106.7,1992.3
Rafael Nadal,12,36.4,1987.8,,1811.8,1878.7,1530.2,,1899.8,1933.2,1759.0,,2009 Madrid SF,22.9,2370.1,2110.4
Casper Ruud,13,23.8,1985.3,,1841.7,1966.7,1426.7,,1913.5,1976.0,1706.0,,2022 Roland Garros SF,23.4,2064.4,1942.7
Taylor Fritz,14,25.0,1954.4,,1877.1,1686.7,1663.6,,1915.7,1820.5,1809.0,,2022 Cincinnati R16,24.7,1985.9,1952.4
Hubert Hurkacz,15,25.7,1948.8,,1854.1,1743.4,1753.4,,1901.5,1846.1,1851.1,,2022 Canada SF,25.4,1998.6,1936.0
Alex De Minaur,16,23.7,1933.5,,1841.3,1600.4,1652.0,,1887.4,1766.9,1792.7,,2020 Atp Cup RR,20.8,1993.3,1951.1
Cameron Norrie,17,27.1,1933.0,,1825.1,1834.7,1660.8,,1879.1,1883.8,1796.9,,2022 Cincinnati QF,26.9,2018.8,1891.4
Frances Tiafoe,18,24.7,1932.4,,1855.3,1696.5,1604.1,,1893.8,1814.4,1768.2,,2022 Tokyo SF,24.7,1943.8,1971.5
Sebastian Korda,19,22.3,1925.1,,1834.0,1718.3,1580.6,,1879.6,1821.7,1752.8,,2022 Antwerp SF,22.2,1955.5,1931.4
Pablo Carreno Busta,20,31.3,1919.8,,1829.2,1821.8,1480.6,,1874.5,1870.8,1700.2,,2021 Winston-Salem R16,30.1,2002.1,1912.7
Lorenzo Musetti,21,20.6,1918.0,,1767.4,1864.8,1310.1,,1842.7,1891.4,1614.0,,2022 Paris R16,20.6,1925.3,1956.4
Karen Khachanov,22,26.4,1913.3,,1797.6,1802.5,1689.2,,1855.5,1857.9,1801.3,,2018 Paris F,22.4,2015.0,1927.5
Borna Coric,23,25.9,1911.4,,1849.0,1731.3,1620.4,,1880.2,1821.4,1765.9,,2019 Australian Open R32,22.1,1999.0,1953.9
Marin Cilic,24,34.0,1903.3,,1772.1,1782.0,1785.1,,1837.7,1842.7,1844.2,,2010 Dubai R16,21.4,2094.4,1898.4
Roberto Bautista Agut,25,34.5,1901.2,,1799.3,1697.4,1753.4,,1850.2,1799.3,1827.3,,2016 Rotterdam R16,27.8,2014.6,1890.7
Tommy Paul,26,25.4,1892.5,,1813.1,1590.8,1629.3,,1852.8,1741.6,1760.9,,2022 Miami R64,24.8,1908.1,1902.9
Denis Shapovalov,27,23.5,1888.2,,1821.0,1722.2,1565.1,,1854.6,1805.2,1726.7,,2020 Auckland R16,20.7,1970.1,1912.9
Grigor Dimitrov,28,31.4,1888.1,,1777.0,1792.4,1517.6,,1832.6,1840.2,1702.9,,2014 Canada QF,23.2,2090.3,1878.5
