Player,Rank,Age,Elo,    ,HardRaw,ClayRaw,GrassRaw,    ,hElo,cElo,gElo,    ,Peak Match,Peak Age,Peak Elo,yElo
Jannik Sinner,1,22.5,2263.2,,2190.9,1913.5,1733.0,,2227.1,2088.4,1998.1,,2024 Miami F,22.5,2263.2,2226.9
Novak Djokovic,2,36.7,2202.9,,2103.3,1960.2,1898.1,,2153.1,2081.5,2050.5,,2016 Miami F,28.8,2470.3,1854.9
Carlos Alcaraz,3,20.8,2162.7,,2046.2,2018.9,1909.3,,2104.4,2090.8,2036.0,,2023 Canada R16,20.2,2239.7,2071.6
Daniil Medvedev,4,28.0,2135.5,,2053.5,1850.0,1751.2,,2094.5,1992.7,1943.3,,2022 Australian Open SF,25.9,2191.9,2096.1
Grigor Dimitrov,5,32.8,2056.3,,1949.7,1802.7,1611.6,,2003.0,1929.5,1833.9,,2014 Canada QF,23.2,2090.6,2088.0
Alexander Zverev,6,26.9,2049.5,,1938.2,1917.9,1619.4,,1993.8,1983.7,1834.4,,2022 Atp Cup RR,24.7,2161.7,2024.6
Alex De Minaur,7,25.0,2009.1,,1926.2,1622.5,1679.5,,1967.6,1815.8,1844.3,,2024 Indian Wells R32,25.0,2028.5,2004.6
Andrey Rublev,8,26.4,2001.0,,1892.5,1918.9,1757.6,,1946.8,1959.9,1879.3,,2021 Monte Carlo SF,23.4,2106.2,1858.6
Ugo Humbert,9,25.7,1982.0,,1899.3,1656.7,1582.4,,1940.7,1819.4,1782.2,,2024 Indian Wells R64,25.6,2009.8,1978.7
Hubert Hurkacz,10,27.0,1968.1,,1877.4,1717.5,1723.7,,1922.7,1842.8,1845.9,,2024 Marseille QF,26.9,1999.4,1898.3
Taylor Fritz,11,26.3,1956.6,,1889.9,1757.6,1598.7,,1923.2,1857.1,1777.7,,2023 Monte Carlo QF,25.4,2041.3,1874.4
Casper Ruud,12,25.2,1956.6,,1843.9,1940.6,1412.8,,1900.3,1948.6,1684.7,,2022 Roland Garros SF,23.4,2064.0,1965.1
Stefanos Tsitsipas,13,25.5,1949.0,,1850.5,2005.2,1650.8,,1899.8,1977.1,1799.9,,2021 Roland Garros SF,22.8,2133.4,1814.6
Tommy Paul,14,26.7,1940.3,,1877.1,1598.1,1618.1,,1908.7,1769.2,1779.2,,2023 Miami R32,25.8,1953.3,1979.6
Holger Rune,15,20.8,1939.5,,1817.3,1897.3,1631.9,,1878.4,1918.4,1785.7,,2023 Roland Garros R16,20.0,2070.1,1877.3
Karen Khachanov,16,27.8,1891.7,,1781.5,1715.5,1579.1,,1836.6,1803.6,1735.4,,2018 Paris F,22.4,2015.3,1864.4
Tallon Griekspoor,17,27.7,1891.5,,1794.0,1707.1,1703.0,,1842.7,1799.3,1797.3,,2022 Australian Open R128,25.5,1924.9,1863.1
Ben Shelton,18,21.4,1890.7,,1799.9,1393.9,1375.9,,1845.3,1642.3,1633.3,,2023 Tokyo F,21.0,1924.3,1844.6
Matteo Berrettini,19,27.9,1890.1,,1709.5,1801.9,1822.2,,1799.8,1846.0,1856.1,,2022 Gstaad SF,26.2,2072.6,1688.7
Gael Monfils,20,37.5,1885.0,,1820.6,1527.1,1419.8,,1852.8,1706.0,1652.4,,2015 Monte Carlo QF,28.6,2068.0,1886.1
Jack Draper,21,22.2,1881.7,,1794.6,1500.0,1500.0,,1838.2,1690.9,1690.9,,2024 Adelaide SF,22.0,1929.0,1807.0
Jiri Lehecka,22,22.3,1880.7,,1780.9,1661.6,1622.1,,1830.8,1771.1,1751.4,,2024 Indian Wells R16,22.3,1902.6,1912.5
Sebastian Korda,23,23.7,1877.6,,1781.8,1541.8,1590.4,,1829.7,1709.7,1734.0,,2023 Australian Open R16,22.5,2005.7,1838.1
Tomas Machac,24,23.4,1876.4,,1794.6,1572.8,1491.1,,1835.5,1724.6,1683.7,,2024 Miami R16,23.4,1879.3,1897.6
Alexander Bublik,25,26.7,1862.5,,1749.2,1536.7,1755.7,,1805.8,1699.6,1809.1,,2024 Indian Wells R64,26.7,1881.0,1881.1
Felix Auger Aliassime,26,23.6,1859.1,,1778.9,1729.0,1639.1,,1819.0,1794.1,1749.1,,2022 Paris QF,22.2,2053.1,1732.6
Sebastian Baez,27,23.2,1857.9,,1585.2,1877.1,1413.5,,1721.6,1867.5,1635.7,,2022 Bastad SF,21.5,1934.6,1868.0
Matteo Arnaldi,28,23.0,1854.8,,1729.5,1784.3,1482.1,,1792.2,1819.5,1668.4,,2023 Shanghai R64,22.6,1880.7,1820.0
Nicolas Jarry,29,28.4,1850.5,,1688.7,1786.2,1555.1,,1769.6,1818.3,1702.8,,2023 Basel R32,28.0,1893.0,1777.1
Fabian Marozsan,30,24.4,1846.4,,1752.4,1624.7,1442.9,,1799.4,1735.5,1644.6,,2024 Miami R16,24.4,1854.7,1903.3
Emil Ruusuvuori,31,24.9,1842.7,,1754.4,1600.6,1499.5,,1798.5,1721.7,1671.1,,2023 s Hertogenbosch QF,24.1,1881.1,1799.6
Jakub Mensik,32,18.5,1840.7,,1760.3,1565.8,-,,1800.5,1703.2,1620.4,,2024 Indian Wells R128,18.5,1882.7,1867.3
