Player,Rank,Age,Elo,    ,HardRaw,ClayRaw,GrassRaw,    ,hElo,cElo,gElo,    ,Peak Match,Peak Age,Peak Elo,yElo
Ashleigh Barty,1,25.3,2197.0,,2057.4,1991.2,1873.1,,2127.2,2094.1,2035.0,,2021 Us Open R64,25.3,2219.7,2194.8
Naomi Osaka,2,23.9,2094.5,,2056.9,1670.1,1552.4,,2075.7,1882.3,1823.5,,2021 Miami R16,23.4,2199.5,1929.6
Anett Kontaveit,3,25.9,2072.5,,2001.8,1720.2,1517.7,,2037.2,1896.4,1795.1,,2021 Guadalajara Finals RR,25.9,2072.5,2143.0
Garbine Muguruza,4,28.1,2042.6,,1968.6,1861.1,1671.4,,2005.6,1951.8,1857.0,,2017 US Open R32,23.9,2109.7,2057.8
Aryna Sabalenka,5,23.5,2034.7,,1924.1,1806.4,1699.8,,1979.4,1920.6,1867.3,,2021 Rome R32,23.0,2127.6,1998.8
Paula Badosa,6,24.0,2032.7,,1871.3,1844.6,1505.5,,1952.0,1938.6,1769.1,,2021 Guadalajara Finals RR,24.0,2032.7,2096.4
Victoria Azarenka,7,32.2,2017.4,,1931.9,1678.2,1563.2,,1974.6,1847.8,1790.3,,2013 Indian Wells R16,23.6,2326.1,2060.2
Maria Sakkari,8,26.3,2017.0,,1922.3,1787.5,1500.7,,1969.6,1902.2,1758.9,,2021 Us Open QF,26.1,2019.8,2040.0
Ons Jabeur,9,27.1,2011.3,,1888.4,1710.1,1745.5,,1949.9,1860.7,1878.4,,2021 Indian Wells QF,27.1,2040.5,2029.4
Simona Halep,10,30.1,2009.3,,1900.2,1868.4,1702.5,,1954.7,1938.8,1855.9,,2015 Stuttgart QF,23.6,2177.9,2011.1
Karolina Pliskova,11,29.6,2009.2,,1895.0,1851.7,1772.0,,1952.1,1930.4,1890.6,,2019 Wimbledon R32,27.3,2087.6,2031.5
Petra Kvitova,12,31.6,1993.2,,1902.4,1857.7,1699.2,,1947.8,1925.5,1846.2,,2012 Sydney QF,21.8,2174.7,1931.0
Iga Swiatek,13,20.4,1991.5,,1825.8,1959.8,1583.6,,1908.7,1975.6,1787.5,,2021 Roland Garros R16,20.0,2092.5,1971.1
Danielle Rose Collins,14,27.9,1991.2,,1890.9,1714.7,1476.5,,1941.0,1852.9,1733.8,,2021 Linz QF,27.9,1991.2,2047.8
Elina Svitolina,15,27.1,1978.7,,1895.7,1842.0,1535.0,,1937.2,1910.3,1756.8,,2018 Roland Garros R64,23.7,2113.4,1953.6
Serena Williams,16,39.7,1964.4,,1887.4,1627.3,1595.1,,1925.9,1795.9,1779.7,,2003 Charleston SF,21.5,2507.3,1907.2
Jennifer Brady,17,26.3,1963.8,,1877.3,1600.7,1498.3,,1920.6,1782.3,1731.1,,2021 Australian Open SF,25.8,1994.7,1931.2
Barbora Krejcikova,18,25.9,1962.9,,1802.9,1849.5,1448.1,,1882.9,1906.2,1705.5,,2021 Us Open R16,25.7,2048.4,1961.6
Jessica Pegula,19,27.6,1961.5,,1894.5,1519.1,1410.0,,1928.0,1740.3,1685.8,,2021 Rome R16,27.2,1981.5,1982.4
Belinda Bencic,20,24.7,1956.1,,1891.0,1636.4,1659.2,,1923.5,1796.3,1807.6,,2016 St. Petersburg SF,18.9,2121.3,1987.7
Angelique Kerber,21,33.8,1955.9,,1827.5,1726.2,1839.1,,1891.7,1841.1,1897.5,,2016 Singapore SF,28.8,2144.6,2003.6
Marketa Vondrousova,22,22.4,1952.1,,1894.3,1723.6,1314.0,,1923.2,1837.9,1633.1,,2019 Roland Garros SF,19.9,2059.7,1997.2
Cori Gauff,23,17.6,1947.8,,1771.7,1817.9,1682.4,,1859.7,1882.8,1815.1,,2021 Roland Garros R16,17.2,2041.6,1937.4
Jelena Ostapenko,24,24.3,1939.0,,1797.0,1681.5,1761.0,,1868.0,1810.2,1850.0,,2017 Wuhan QF,20.3,2021.3,1975.9
Elena Rybakina,25,22.3,1933.4,,1819.5,1694.5,1666.7,,1876.5,1813.9,1800.1,,2020 Dubai SF,20.7,2032.0,1930.2
Karolina Muchova,26,25.0,1919.6,,1803.1,1643.9,1635.6,,1861.3,1781.7,1777.6,,2021 Australian Open QF,24.5,1996.9,1933.8
Leylah Annie Fernandez,27,19.1,1917.7,,1868.6,1439.6,1397.4,,1893.2,1678.7,1657.6,,2021 Indian Wells R32,19.1,1943.3,1946.5
Clara Tauson,28,18.8,1914.3,,1874.3,1547.6,1342.1,,1894.3,1731.0,1628.2,,2021 Courmayeur SF,18.8,1943.1,1933.4
Elise Mertens,29,26.0,1913.8,,1853.7,1777.7,1535.1,,1883.7,1845.7,1724.4,,2021 Madrid R16,25.4,2045.0,1831.9
Darya Kasatkina,30,24.5,1899.8,,1821.2,1667.0,1626.3,,1860.5,1783.4,1763.0,,2018 Indian Wells SF,20.8,2046.7,1884.0
Anastasia Pavlyuchenkova,31,30.3,1899.6,,1791.0,1768.0,1481.4,,1845.3,1833.8,1690.5,,2011 Roland Garros R16,19.9,2063.7,1888.5
Sofia Kenin,32,22.6,1898.1,,1844.0,1651.4,1605.2,,1871.0,1774.7,1751.6,,2020 Fed Cup QLS R1,21.2,2049.2,1710.5
