Player,Rank,Age,Elo,    ,HardRaw,ClayRaw,GrassRaw,    ,hElo,cElo,gElo,    ,Peak Match,Peak Age,Peak Elo,yElo
Ashleigh Barty,1,25.7,2180.5,,2071.7,1891.0,1773.1,,2126.1,2035.7,1976.8,,2021 Us Open R64,25.3,2219.7,2114.6
Paula Badosa,2,24.2,2063.5,,1929.0,1844.3,1505.5,,1996.2,1953.9,1784.5,,2022 Australian Open R32,24.2,2083.8,1940.7
Anett Kontaveit,3,26.1,2053.4,,1975.1,1720.0,1517.7,,2014.3,1886.7,1785.5,,2022 Sydney R16,26.0,2079.1,1712.9
Danielle Rose Collins,4,28.1,2038.3,,1947.9,1714.7,1476.5,,1993.1,1876.5,1757.4,,2022 Australian Open SF,28.1,2047.9,1921.7
Iga Swiatek,5,20.6,2037.8,,1917.8,1959.8,1583.6,,1977.8,1998.8,1810.7,,2021 Roland Garros R16,20.0,2093.6,1940.9
Ons Jabeur,6,27.4,2023.9,,1906.5,1709.6,1745.5,,1965.2,1866.7,1884.7,,2021 Indian Wells QF,27.1,2040.9,
Victoria Azarenka,7,32.5,2021.5,,1932.0,1677.6,1563.2,,1976.7,1849.6,1792.4,,2013 Indian Wells R16,23.6,2325.5,1804.6
Garbine Muguruza,8,28.3,2019.7,,1940.4,1860.6,1671.4,,1980.1,1940.2,1845.5,,2017 US Open R32,23.9,2109.6,
Simona Halep,9,30.3,2018.6,,1912.3,1868.0,1702.5,,1965.5,1943.3,1860.6,,2015 Stuttgart QF,23.6,2177.6,1842.3
Karolina Pliskova,10,29.6,2009.7,,1896.3,1851.2,1772.0,,1953.0,1930.5,1890.9,,2019 Wimbledon R32,27.3,2087.4,
Maria Sakkari,11,26.5,2005.0,,1907.0,1787.1,1500.8,,1956.0,1896.1,1752.9,,2022 Adelaide 1 R32,26.4,2022.2,1750.5
Naomi Osaka,12,24.3,2004.2,,1958.1,1569.7,1500.0,,1981.1,1787.0,1752.1,,2021 Miami R16,23.4,2199.5,1803.8
Barbora Krejcikova,13,26.1,1999.6,,1867.6,1849.3,1448.1,,1933.6,1924.4,1723.8,,2021 Us Open R16,25.7,2048.4,1909.9
