Player,Elo Rank,Age,Elo,    ,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,    ,Peak Elo,Peak Month,    ,ATP Rank,Log diff,yElo
Jannik Sinner,1,23.7,2220.4,,1,2183.6,2,2090.4,3,1971.9,,2329.6,2025-01,,1,0,2103.1
Carlos Alcaraz,2,22.0,2204.2,,3,2107.8,1,2165.1,1,2094.2,,2243.6,2023-08,,2,0,2215.1
Novak Djokovic,3,37.9,2156.5,,2,2112.2,3,2075.4,2,2034.8,,2463.2,2016-05,,6,-0.69,1979.0
Jack Draper,4,23.3,2085.2,,4,2028.5,8,1957.0,7,1892.4,,2103.8,2025-04,,5,-0.22,2095.2
Alexander Zverev,5,28.0,2057.2,,5,2019.5,5,1997.3,8,1877.2,,2176.5,2022-01,,3,0.51,1971.3
Lorenzo Musetti,6,23.1,2026.3,,20,1881.3,4,1997.7,4,1904.4,,2033.1,2025-05,,7,-0.15,2114.5
Tommy Paul,7,27.9,2008.7,,9,1934.7,12,1920.8,6,1892.5,,2013.3,2025-05,,12,-0.54,2036.7
Daniil Medvedev,8,29.2,2001.7,,6,1960.4,11,1927.5,5,1896.8,,2201.2,2022-01,,11,-0.32,1927.9
Casper Ruud,9,26.3,2001.7,,13,1903.0,6,1992.4,29,1724.1,,2071.9,2022-05,,8,0.12,2090.5
Taylor Fritz,10,27.5,1995.6,,7,1956.7,17,1893.4,10,1865.1,,2054.0,2025-01,,4,0.92,1880.9
Alex De Minaur,11,26.2,1993.8,,10,1932.4,16,1897.0,12,1831.9,,2053.1,2024-06,,9,0.20,1994.0
Grigor Dimitrov,12,33.9,1975.4,,8,1935.7,18,1887.6,14,1808.6,,2111.5,2014-08,,17,-0.35,1862.7
Arthur Fils,13,20.8,1970.7,,17,1896.0,10,1932.3,13,1821.4,,1985.4,2025-04,,14,-0.07,1990.7
Matteo Berrettini,14,29.0,1954.1,,23,1873.9,9,1934.1,9,1873.1,,2065.7,2022-07,,30,-0.76,1933.4
Holger Rune,15,22.0,1953.9,,12,1907.6,13,1906.7,15,1806.9,,2082.0,2023-05,,10,0.41,1922.9
Stefanos Tsitsipas,16,26.7,1952.5,,19,1889.7,7,1957.8,18,1780.2,,2145.1,2021-05,,20,-0.22,1916.7
Hubert Hurkacz,17,28.2,1951.6,,21,1880.8,15,1897.7,11,1843.5,,2022.5,2024-06,,28,-0.50,1933.9
Jakub Mensik,18,19.6,1948.6,,11,1915.8,21,1831.3,50,1676.2,,1968.7,2025-04,,19,-0.05,1987.0
Francisco Cerundolo,19,26.7,1945.8,,22,1874.8,14,1902.1,27,1731.5,,1961.6,2025-04,,18,0.05,1983.0
Gael Monfils,20,38.7,1922.5,,18,1889.9,41,1745.8,32,1720.0,,2087.1,2016-10,,42,-0.74,1910.0
Tomas Machac,21,24.5,1922.2,,14,1901.8,30,1783.2,28,1725.7,,1972.7,2025-04,,22,-0.05,1862.7
Ben Shelton,22,22.5,1903.5,,24,1863.5,28,1798.4,31,1722.3,,1975.5,2024-10,,13,0.53,1846.8
Joao Fonseca,23,18.7,1900.7,,15,1897.1,31,1776.5,70,1630.9,,1992.5,2025-03,,65,-1.04,1881.5
Tallon Griekspoor,24,28.8,1899.8,,25,1860.4,27,1802.4,17,1780.7,,1936.3,2025-03,,35,-0.38,1881.1
Ugo Humbert,25,26.8,1896.7,,16,1896.5,42,1745.0,21,1758.3,,2017.7,2024-03,,21,0.17,1745.5
