Player,Rank,Age,Elo,    ,HardRaw,ClayRaw,GrassRaw,    ,hElo,cElo,gElo,    ,Peak Match,Peak Age,Peak Elo,yElo
Novak Djokovic,1,34.9,2158.1,,2054.9,1993.4,1942.4,,2106.5,2075.7,2050.2,,2016 Miami F,28.8,2470.0,
Daniil Medvedev,2,26.1,2142.2,,2059.3,1714.1,1723.4,,2100.7,1928.1,1932.8,,2022 Australian Open SF,25.9,2189.2,1995.7
Carlos Alcaraz,3,18.9,2117.0,,2028.5,1892.3,1441.4,,2072.7,2004.7,1779.2,,2022 Miami F,18.9,2144.8,2103.1
Alexander Zverev,4,25.0,2111.0,,2012.7,2014.1,1671.4,,2061.9,2062.6,1891.2,,2022 Atp Cup RR,24.7,2158.4,1991.9
Rafael Nadal,5,35.8,2093.8,,1959.9,1951.2,1500.0,,2026.8,2022.5,1796.9,,2009 Madrid SF,22.9,2370.0,2187.0
Jannik Sinner,6,20.7,2063.6,,1969.9,1845.9,1312.8,,2016.8,1954.8,1688.2,,2022 Monte Carlo R16,20.7,2077.0,2060.4
Stefanos Tsitsipas,7,23.7,2060.0,,1899.1,2058.4,1543.4,,1979.5,2059.2,1801.7,,2021 Roland Garros SF,22.8,2133.0,2059.6
Roger Federer,8,39.9,2043.0,,1936.7,1749.6,1813.4,,1989.9,1896.3,1928.2,,2007 Dubai F,25.6,2382.0,
Casper Ruud,9,23.3,2020.4,,1874.5,1962.8,1465.9,,1947.4,1991.6,1743.1,,2022 Miami SF,23.2,2041.4,1953.9
Andrey Rublev,10,24.5,2007.4,,1926.3,1813.8,1652.8,,1966.8,1910.6,1830.1,,2021 Monte Carlo SF,23.5,2105.7,2009.1
Matteo Berrettini,11,25.9,2003.7,,1833.4,1894.7,1853.0,,1918.6,1949.2,1928.3,,2021 Wimbledon SF,25.2,2045.7,1876.4
Cameron Norrie,12,26.6,1967.8,,1867.7,1780.7,1575.1,,1917.7,1874.3,1771.5,,2022 Indian Wells R16,26.5,1999.7,1938.4
Taylor Fritz,13,24.5,1959.8,,1885.2,1708.2,1600.7,,1922.5,1834.0,1780.2,,2022 Miami R32,24.4,1983.8,1971.4
Hubert Hurkacz,14,25.2,1956.9,,1876.5,1646.9,1689.8,,1916.7,1801.9,1823.4,,2022 Monte Carlo R16,25.2,1972.3,1975.8
Jenson Brooksby,15,21.4,1952.0,,1885.1,1586.1,1655.9,,1918.6,1769.1,1803.9,,2022 Miami R32,21.4,1995.9,1881.2
Felix Auger Aliassime,16,21.7,1942.7,,1886.7,1651.6,1784.0,,1914.7,1797.1,1863.3,,2022 Marseille SF,21.5,2035.7,1868.4
Reilly Opelka,17,24.6,1940.3,,1825.0,1742.1,1391.6,,1882.7,1841.2,1666.0,,2022 Houston F,24.6,1940.3,2020.2
Diego Schwartzman,18,29.7,1931.3,,1807.0,1886.2,1526.0,,1869.2,1908.8,1728.7,,2020 Paris R16,28.2,1972.9,1902.9
Sebastian Korda,19,21.8,1925.0,,1786.3,1697.8,1670.2,,1855.7,1811.4,1797.6,,2022 Australian Open R64,21.5,1944.8,1866.2
Pablo Carreno Busta,20,30.7,1911.9,,1792.8,1856.9,1439.8,,1852.4,1884.4,1675.9,,2021 Winston-Salem R16,30.1,2001.4,1791.4
Nick Kyrgios,21,26.9,1908.2,,1790.9,1555.0,1580.3,,1849.6,1731.6,1744.2,,2017 Cincinnati SF,22.3,2088.8,1928.2
