Player,Elo Rank,Age,Elo,    ,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,    ,Peak Elo,Peak Month,    ,ATP Rank,Log diff,yElo
Carlos Alcaraz,1,22.3,2294.4,,1,2203.7,1,2227.5,1,2150.6,,2294.4,2025-08,,1,0,2366.7
Jannik Sinner,2,24.0,2243.4,,2,2191.2,2,2129.0,2,2050.1,,2329.6,2025-01,,2,0,2233.4
Novak Djokovic,3,38.2,2080.5,,3,2031.2,4,1992.7,3,1945.5,,2463.2,2016-05,,4,-0.29,2124.7
Alexander Zverev,4,28.3,2058.9,,4,2022.1,3,2002.1,5,1884.4,,2176.5,2022-01,,3,0.29,2032.8
Taylor Fritz,5,27.8,2035.3,,5,1977.9,10,1900.1,4,1941.8,,2054.0,2025-01,,5,0,2039.4
Ben Shelton,6,22.8,1996.3,,6,1951.2,14,1864.4,11,1813.7,,2024.4,2025-08,,6,0,2026.9
Lorenzo Musetti,7,23.4,1992.0,,16,1869.7,5,1990.4,6,1862.0,,2050.5,2025-05,,9,-0.25,1995.7
Alex De Minaur,8,26.5,1988.4,,7,1939.7,12,1891.4,10,1830.1,,2053.1,2024-06,,8,0,1980.6
Tommy Paul,9,28.2,1971.8,,9,1904.1,7,1923.9,9,1838.3,,2028.8,2025-05,,15,-0.51,1929.9
Jack Draper,10,23.6,1957.4,,8,1915.1,19,1841.6,16,1778.5,,2103.8,2025-04,,7,0.36,2032.4
Alexander Bublik,11,28.1,1955.8,,26,1831.1,9,1901.8,7,1846.9,,1959.1,2025-08,,19,-0.55,2096.9
Jiri Lehecka,12,23.7,1954.8,,10,1901.4,26,1814.2,12,1809.9,,1966.5,2025-02,,16,-0.29,1980.4
Casper Ruud,13,26.6,1943.7,,18,1859.7,6,1943.9,43,1695.1,,2071.9,2022-05,,12,0.08,1908.0
Karen Khachanov,14,29.2,1935.7,,14,1879.9,16,1863.8,14,1796.0,,2029.5,2018-10,,10,0.34,1960.3
Daniil Medvedev,15,29.5,1929.3,,11,1898.0,13,1879.3,8,1843.7,,2201.2,2022-01,,18,-0.18,1792.9
Holger Rune,16,22.3,1924.4,,12,1886.0,11,1897.2,19,1772.2,,2082.0,2023-05,,11,0.37,1882.9
Andrey Rublev,17,27.8,1912.3,,15,1873.9,15,1864.4,13,1805.6,,2122.1,2021-04,,14,0.19,1920.7
Felix Auger Aliassime,18,25.0,1908.5,,13,1884.2,22,1825.2,20,1755.6,,2062.7,2022-10,,13,0.33,1949.1
Alejandro Davidovich Fokina,19,26.2,1897.8,,22,1843.7,24,1818.2,32,1726.7,,1934.8,2025-07,,20,-0.05,1896.0
Sebastian Korda,20,25.1,1886.0,,21,1846.0,34,1766.1,17,1775.2,,2020.7,2023-01,,78,-1.36,1841.7
Francisco Cerundolo,21,27.0,1876.1,,23,1837.7,17,1846.4,60,1660.3,,1961.6,2025-04,,21,0,1837.2
Stefanos Tsitsipas,22,27.0,1873.4,,29,1823.8,8,1908.1,35,1710.7,,2145.1,2021-05,,27,-0.20,1736.6
Arthur Fils,23,21.1,1872.7,,35,1795.6,18,1842.4,33,1722.4,,1985.4,2025-04,,23,0,1987.0
Thanasi Kokkinakis,24,28.7,1872.6,,30,1822.4,33,1771.4,66,1643.4,,1890.3,2015-06,,296,-2.51,1739.8
Flavio Cobolli,25,23.3,1872.5,,40,1772.5,21,1828.0,21,1748.5,,1895.6,2025-07,,25,0,1886.8
Tomas Machac,26,24.8,1871.4,,17,1862.7,42,1745.7,37,1708.6,,1972.7,2025-04,,22,0.17,1801.1
Joao Fonseca,27,19.0,1863.3,,20,1848.1,30,1776.0,52,1672.8,,1992.5,2025-03,,42,-0.44,1842.3
Grigor Dimitrov,28,34.1,1862.3,,28,1824.2,36,1763.9,36,1710.4,,2111.5,2014-08,,28,0,1891.0
Tallon Griekspoor,29,29.1,1860.0,,33,1802.3,29,1791.7,15,1787.1,,1951.8,2025-06,,31,-0.07,1786.6
Gael Monfils,30,38.9,1859.9,,24,1836.5,62,1718.8,48,1680.0,,2087.1,2016-10,,53,-0.57,1708.6
Frances Tiafoe,31,27.5,1857.0,,31,1817.7,27,1793.6,30,1729.4,,1974.0,2023-06,,29,0.07,1852.4
Gabriel Diallo,32,23.9,1851.5,,44,1763.9,41,1751.8,28,1731.0,,1890.0,2025-06,,35,-0.09,1859.1
Jakub Mensik,33,19.9,1847.4,,25,1833.5,38,1754.2,45,1685.0,,1968.7,2025-04,,17,0.66,1818.1
Ugo Humbert,34,27.1,1842.2,,19,1852.7,61,1718.9,38,1707.2,,2017.7,2024-03,,24,0.35,1713.7
Cameron Norrie,35,30.0,1841.5,,42,1768.6,23,1821.5,23,1741.4,,2028.6,2022-08,,34,0.03,1877.8
Jordan Thompson,36,31.3,1841.1,,32,1804.6,109,1639.0,22,1743.0,,1891.2,2024-12,,77,-0.76,1756.8
Alexei Popyrin,37,26.0,1839.2,,36,1792.7,28,1793.6,58,1663.8,,1902.2,2024-10,,40,-0.08,1814.5
Denis Shapovalov,38,26.3,1837.1,,27,1830.4,48,1733.8,57,1664.1,,1983.2,2020-01,,26,0.38,1788.1
Luciano Darderi,39,23.5,1837.1,,118,1628.9,20,1834.1,84,1619.7,,1857.0,2024-06,,30,0.26,1889.7
Brandon Nakashima,40,24.0,1835.9,,34,1795.9,52,1731.5,24,1740.3,,1909.5,2024-09,,33,0.19,1832.8
Hubert Hurkacz,41,28.3,1830.8,,45,1762.9,35,1766.1,26,1737.3,,2022.5,2024-06,,72,-0.56,1920.5
Matteo Berrettini,42,29.2,1826.4,,46,1755.0,25,1815.2,27,1734.0,,2065.7,2022-07,,58,-0.32,1882.6
Corentin Moutet,43,26.3,1824.4,,48,1750.8,44,1739.6,31,1728.5,,1848.0,2025-07,,39,0.10,1848.4
Alex Michelsen,44,20.9,1817.0,,38,1776.9,96,1658.3,40,1706.1,,1904.8,2025-01,,32,0.32,1793.8
Marton Fucsovics,45,33.5,1816.7,,41,1770.0,46,1738.1,25,1740.1,,1924.2,2021-03,,59,-0.27,1849.1
Jenson Brooksby,46,24.8,1808.2,,47,1752.8,54,1730.3,34,1711.5,,2005.3,2022-03,,85,-0.61,1792.0
Marin Cilic,47,36.9,1805.4,,51,1744.8,51,1731.7,18,1773.6,,2100.4,2010-02,,60,-0.24,1820.7
Hamad Medjedovic,48,22.1,1803.3,,39,1774.2,45,1738.2,72,1634.4,,1844.3,2025-04,,66,-0.32,1800.3
Jaume Munar,49,28.3,1794.6,,56,1725.7,49,1732.2,75,1632.1,,1819.0,2021-04,,37,0.28,1835.5
Learner Tien,50,19.7,1794.2,,37,1777.5,175,1549.4,67,1639.4,,1888.2,2025-02,,49,0.02,1793.3
Reilly Opelka,51,27.9,1792.8,,43,1764.2,69,1703.5,63,1656.5,,1927.5,2022-04,,63,-0.21,1802.7
Matteo Arnaldi,52,24.5,1791.9,,49,1750.3,31,1773.6,101,1597.2,,1902.9,2024-06,,73,-0.34,1737.3
Roberto Bautista Agut,53,37.3,1790.9,,57,1724.8,53,1730.8,29,1729.5,,2033.8,2016-02,,48,0.10,1756.4
Ignacio Buse,54,21.4,1788.4,,123,1623.6,39,1754.2,119,1567.7,,1788.4,2025-09,,112,-0.73,1824.0
Fabian Marozsan,55,25.8,1783.9,,59,1723.4,50,1732.0,104,1593.1,,1867.2,2024-04,,56,-0.02,1763.5
Dino Prizmic,56,20.0,1782.9,,64,1713.1,43,1741.5,107,1587.6,,1782.9,2025-08,,119,-0.75,1819.6
Marcos Giron,57,32.0,1780.6,,54,1733.5,94,1662.0,39,1707.2,,1874.1,2025-03,,51,0.11,1692.2
Kamil Majchrzak,58,29.6,1780.1,,50,1745.8,58,1725.4,49,1675.7,,1810.1,2025-04,,62,-0.07,1805.5
Laslo Djere,59,30.1,1775.9,,79,1687.4,32,1772.5,91,1610.5,,1854.6,2023-09,,76,-0.25,1763.1
Arthur Rinderknech,60,30.0,1772.9,,65,1712.4,74,1696.3,55,1666.7,,1869.2,2022-10,,57,0.05,1820.8
Kei Nishikori,61,35.5,1772.5,,53,1733.8,99,1650.2,83,1620.4,,2194.2,2016-08,,93,-0.42,1735.4
Jan Lennard Struff,62,35.3,1769.2,,73,1696.2,60,1721.0,61,1657.9,,1935.1,2024-07,,98,-0.46,1799.2
Botic Van De Zandschulp,63,29.8,1768.4,,52,1740.3,70,1699.9,93,1605.1,,1938.0,2022-09,,82,-0.26,1793.4
Nuno Borges,64,28.5,1766.4,,58,1723.8,47,1734.3,85,1617.5,,1843.6,2025-03,,52,0.21,1725.2
