Player,Elo Rank,Age,Elo,    ,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,    ,Peak Elo,Peak Month,    ,ATP Rank,Log diff,yElo
Jannik Sinner,1,23.4,2324.8,,1,2290.5,1,2150.0,1,2083.3,,2324.8,2025-01,,1,0,2002.3
Novak Djokovic,2,37.6,2197.5,,2,2150.0,3,2099.8,3,2054.2,,2470.4,2016-03,,6,-1.10,1962.4
Carlos Alcaraz,3,21.6,2151.6,,3,2079.9,2,2109.6,2,2065.1,,2239.3,2023-08,,3,0,1746.8
Alexander Zverev,4,27.7,2101.7,,4,2049.9,4,2035.1,5,1894.2,,2161.5,2022-01,,2,0.69,1947.0
Daniil Medvedev,5,28.9,2027.7,,5,1991.0,8,1931.5,4,1894.8,,2191.6,2022-01,,7,-0.34,
Taylor Fritz,6,27.2,2027.3,,6,1974.9,9,1927.4,6,1877.5,,2040.8,2023-04,,4,0.41,1797.0
Grigor Dimitrov,7,33.6,2022.9,,7,1974.8,11,1915.2,11,1840.3,,2091.0,2014-08,,11,-0.45,
Jack Draper,8,23.0,2021.0,,8,1967.0,24,1789.8,9,1851.7,,2021.0,2025-01,,16,-0.69,1753.6
Tomas Machac,9,24.2,1973.5,,9,1931.3,18,1840.5,28,1732.9,,1979.4,2025-01,,25,-1.02,1779.5
Holger Rune,10,21.7,1972.6,,10,1915.9,10,1923.8,13,1816.4,,2069.4,2023-05,,12,-0.18,1741.4
Tommy Paul,11,27.6,1972.4,,11,1914.4,15,1869.3,7,1871.5,,2010.0,2024-07,,9,0.20,1837.5
Alex De Minaur,12,25.9,1953.5,,13,1900.4,21,1824.3,14,1805.5,,2038.0,2024-06,,8,0.41,1874.1
Hubert Hurkacz,13,27.9,1944.7,,16,1879.6,13,1884.4,8,1856.5,,2023.2,2024-08,,21,-0.48,1652.0
Gael Monfils,14,38.3,1935.5,,12,1907.5,49,1735.9,31,1726.4,,2068.0,2015-04,,32,-0.83,1994.9
Matteo Berrettini,15,28.7,1932.3,,27,1832.6,6,1937.5,10,1845.6,,2072.3,2022-07,,33,-0.79,
Ben Shelton,16,22.2,1928.1,,15,1887.2,35,1763.8,29,1731.6,,1960.4,2024-10,,14,0.13,1803.1
Stefanos Tsitsipas,17,26.4,1928.1,,18,1861.2,5,1964.0,17,1765.2,,2133.3,2021-05,,13,0.27,
Casper Ruud,18,26.0,1918.2,,22,1849.4,7,1935.0,51,1677.3,,2063.7,2022-05,,5,1.28,1732.5
Ugo Humbert,19,26.5,1911.2,,14,1890.1,28,1772.3,19,1761.7,,2009.4,2024-03,,15,0.24,1653.8
Felix Auger Aliassime,20,24.4,1904.7,,23,1845.0,16,1856.7,26,1746.4,,2052.8,2022-10,,23,-0.14,1861.0
Lorenzo Musetti,21,22.8,1900.4,,32,1800.3,12,1888.6,12,1829.5,,1972.5,2024-08,,17,0.21,1700.8
Sebastian Korda,22,24.5,1899.2,,24,1840.7,43,1748.9,16,1779.2,,2005.0,2023-01,,22,0,1669.4
Karen Khachanov,23,28.6,1897.6,,19,1854.8,19,1833.3,37,1700.4,,2015.2,2018-10,,20,0.14,
Thanasi Kokkinakis,24,28.7,1897.1,,21,1851.9,26,1774.9,58,1666.3,,1905.3,2025-01,,72,-1.10,1738.1
Andrey Rublev,25,27.2,1893.3,,20,1853.4,14,1877.8,15,1779.8,,2106.1,2021-04,,10,0.92,
Arthur Fils,26,20.5,1885.9,,28,1828.7,20,1832.6,24,1749.9,,1920.0,2024-10,,19,0.31,1705.4
Joao Fonseca,27,18.3,1885.7,,17,1863.7,55,1721.5,74,1622.9,,1896.6,2025-01,,99,-1.30,1856.5
Jordan Thompson,28,30.7,1876.3,,25,1837.5,99,1646.5,18,1763.2,,1887.7,2025-01,,28,0,1720.3
Jiri Lehecka,29,23.1,1875.0,,29,1823.0,46,1742.1,40,1690.9,,1908.4,2024-04,,24,0.19,1834.6
Alex Michelsen,30,20.3,1868.4,,26,1833.3,114,1614.2,33,1720.7,,1881.9,2025-01,,36,-0.18,1806.8
Jan Lennard Struff,31,34.7,1864.3,,50,1759.4,17,1847.4,25,1747.0,,1925.7,2024-07,,45,-0.37,
Jakub Mensik,32,19.3,1856.7,,31,1812.3,32,1768.3,73,1629.4,,1912.2,2024-10,,48,-0.41,1787.0
Rafael Nadal,33,38.4,1855.2,,47,1765.7,23,1817.7,50,1677.6,,2370.4,2009-05,,173,-1.66,
Flavio Cobolli,34,22.6,1855.0,,30,1822.9,38,1758.8,72,1630.8,,1881.7,2024-12,,34,0,
Tallon Griekspoor,35,28.5,1846.2,,35,1792.3,30,1770.4,22,1752.5,,1925.2,2022-01,,46,-0.27,
Alexei Popyrin,36,25.4,1843.8,,37,1790.8,34,1764.1,42,1689.8,,1893.4,2024-08,,26,0.33,
Marcos Giron,37,31.4,1840.8,,34,1796.4,80,1678.9,21,1755.3,,1842.9,2021-11,,43,-0.15,1771.9
Jacob Fearnley,38,23.4,1839.1,,33,1799.1,179,1529.6,36,1712.2,,1900.4,2024-10,,77,-0.71,1748.0
Frances Tiafoe,39,26.9,1835.3,,36,1791.1,42,1749.7,23,1750.1,,1959.8,2023-06,,18,0.77,
Giovanni Mpetshi Perricard,40,21.5,1830.7,,39,1780.6,60,1711.7,32,1722.4,,1865.0,2024-12,,30,0.29,1703.0
Nuno Borges,41,27.8,1828.8,,41,1780.1,29,1770.8,95,1596.6,,1832.3,2025-01,,37,0.10,1821.2
Denis Shapovalov,42,25.7,1827.6,,40,1780.2,31,1768.6,38,1695.0,,1970.2,2020-01,,53,-0.23,
Nishesh Basavareddy,43,19.7,1825.2,,38,1788.5,185,1522.6,82,1612.6,,1847.9,2025-01,,107,-0.91,1834.4
Juncheng Shang,44,19.9,1823.4,,42,1778.1,79,1679.5,44,1686.9,,1902.7,2024-09,,54,-0.20,1717.4
Francisco Cerundolo,45,26.4,1822.4,,54,1752.0,22,1819.8,55,1668.4,,1938.1,2023-07,,29,0.44,
Alejandro Davidovich Fokina,46,25.6,1815.4,,43,1774.5,39,1755.9,68,1636.3,,1928.3,2021-05,,59,-0.25,1709.9
Learner Tien,47,19.1,1812.3,,45,1771.0,215,1483.1,89,1606.1,,1812.3,2025-01,,80,-0.53,1776.2
Zizou Bergs,48,25.6,1806.0,,55,1750.7,50,1729.6,47,1680.1,,1836.0,2025-01,,60,-0.22,1755.2
Roberto Bautista Agut,49,36.7,1801.3,,58,1745.8,45,1742.1,27,1742.4,,2014.6,2016-02,,52,-0.06,
Miomir Kecmanovic,50,25.3,1799.7,,59,1739.7,41,1750.0,56,1666.6,,1895.2,2022-04,,55,-0.10,1820.7
Reilly Opelka,51,27.3,1799.0,,46,1768.1,47,1739.0,66,1637.7,,1936.4,2022-04,,145,-1.04,1815.3
Andy Murray,52,37.0,1796.8,,56,1747.4,44,1742.8,20,1759.7,,2347.3,2017-01,,,,
Lorenzo Sonego,53,29.6,1796.2,,52,1758.2,57,1718.8,57,1666.5,,1887.9,2021-05,,35,0.41,1825.8
Yoshihito Nishioka,54,29.2,1794.8,,51,1759.0,74,1688.2,67,1637.5,,1891.8,2023-01,,67,-0.22,1662.2
Benjamin Bonzi,55,28.5,1791.5,,49,1762.2,108,1626.7,53,1671.9,,1816.2,2022-06,,62,-0.12,1724.9
Matteo Arnaldi,56,23.8,1787.9,,60,1738.9,33,1766.0,70,1633.3,,1886.8,2024-06,,40,0.34,
Pablo Carreno Busta,57,33.5,1785.7,,57,1746.9,25,1779.5,83,1611.2,,2001.9,2021-08,,151,-0.97,
Yibing Wu,58,24.9,1785.4,,44,1771.0,104,1635.7,104,1578.2,,1874.7,2023-03,,411,-1.96,
Fabian Marozsan,59,25.2,1785.0,,53,1758.2,72,1690.5,96,1591.2,,1854.4,2024-03,,58,0.02,1744.4
Roman Safiullin,60,27.4,1784.1,,62,1735.1,59,1712.5,43,1687.2,,1894.2,2024-01,,68,-0.13,
Brandon Nakashima,61,23.4,1783.3,,63,1733.3,58,1717.2,45,1684.0,,1897.5,2021-11,,41,0.40,
Emil Ruusuvuori,62,25.3,1779.2,,48,1762.9,91,1661.5,60,1661.2,,1880.8,2023-06,,141,-0.82,
Tomas Martin Etcheverry,63,25.4,1776.3,,66,1723.1,40,1753.3,133,1548.2,,1845.3,2023-05,,42,0.41,1642.2
David Goffin,64,34.1,1776.2,,64,1730.5,53,1722.2,34,1716.9,,2038.8,2017-05,,56,0.13,
Kei Nishikori,65,35.0,1771.9,,61,1736.1,98,1649.5,77,1618.9,,2210.8,2016-08,,70,-0.07,1736.2
Nicolas Jarry,66,29.2,1770.1,,76,1700.7,37,1760.9,63,1646.4,,1892.7,2023-10,,38,0.55,
