Player,Elo Rank,Age,Elo,    ,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,    ,Peak Elo,Peak Month,    ,WTA Rank,Log diff,yElo
Aryna Sabalenka,1,27.0,2192.0,,1,2138.7,1,2102.7,1,1953.3,,2206.4,2025-05,,1,0,2189.9
Iga Swiatek,2,23.9,2115.5,,2,2079.6,2,2047.0,3,1851.2,,2291.0,2024-07,,5,-0.92,2020.3
Coco Gauff,3,21.1,2113.2,,4,2050.1,3,2031.2,2,1894.7,,2155.7,2024-01,,2,0.41,2093.7
Mirra Andreeva,4,18.0,2097.2,,3,2076.6,5,1971.5,11,1795.5,,2159.2,2025-03,,6,-0.41,2099.1
Qinwen Zheng,5,22.5,2044.7,,5,1989.4,4,1986.4,39,1691.1,,2098.3,2024-11,,8,-0.47,1974.6
Jasmine Paolini,6,29.3,2025.9,,10,1938.7,6,1951.8,5,1833.5,,2025.9,2025-05,,4,0.41,2092.1
Jessica Pegula,7,31.1,2023.1,,6,1984.6,10,1870.6,7,1818.2,,2094.9,2024-01,,3,0.85,2001.3
Madison Keys,8,30.2,2021.7,,7,1961.2,8,1911.8,6,1824.0,,2090.1,2016-08,,7,0.13,2041.9
Elina Svitolina,9,30.6,1993.7,,11,1919.2,7,1913.9,9,1800.3,,2120.6,2018-05,,13,-0.37,2078.3
Elena Rybakina,10,25.8,1987.0,,8,1947.0,9,1884.2,4,1834.4,,2155.6,2024-04,,12,-0.18,1911.9
Karolina Muchova,11,28.5,1980.8,,9,1938.9,19,1832.8,18,1752.9,,2029.1,2023-08,,14,-0.24,1903.7
Paula Badosa,12,27.3,1950.0,,12,1898.7,12,1848.5,16,1761.1,,2078.1,2022-01,,10,0.18,1895.1
Marta Kostyuk,13,22.8,1928.9,,15,1869.0,13,1846.6,32,1711.8,,1986.1,2024-04,,26,-0.69,1950.0
Belinda Bencic,14,28.1,1916.7,,13,1881.8,37,1755.4,34,1708.3,,2100.0,2015-09,,39,-1.02,1955.0
Elise Mertens,15,29.4,1913.9,,17,1860.6,15,1842.8,35,1696.4,,2042.7,2021-04,,24,-0.47,1971.8
Peyton Stearns,16,23.5,1912.6,,35,1811.6,11,1853.8,76,1609.0,,1925.1,2025-05,,28,-0.56,1956.8
Ekaterina Alexandrova,17,30.4,1911.4,,21,1844.9,23,1804.7,10,1795.9,,1977.2,2020-02,,20,-0.16,1978.7
Emma Raducanu,18,22.4,1906.9,,20,1847.1,28,1783.6,19,1749.9,,1998.0,2021-08,,43,-0.87,1880.1
Emma Navarro,19,23.9,1901.9,,16,1865.5,21,1807.0,14,1777.3,,2002.7,2024-08,,9,0.75,1836.9
Diana Shnaider,20,21.0,1897.7,,27,1823.3,17,1835.0,13,1784.2,,1976.1,2024-08,,11,0.60,1877.0
Amanda Anisimova,21,23.6,1897.5,,14,1876.9,33,1764.0,42,1685.6,,2013.4,2022-08,,16,0.27,1845.1
Jelena Ostapenko,22,27.9,1896.1,,26,1825.6,16,1839.8,8,1812.7,,2029.5,2017-10,,21,0.05,1906.3
Anastasia Potapova,23,24.1,1894.2,,28,1822.4,18,1833.6,31,1712.4,,1920.5,2023-06,,36,-0.45,1936.7
Danielle Collins,24,31.3,1892.4,,32,1815.6,14,1843.0,37,1696.2,,2061.1,2024-05,,46,-0.65,1882.5
Clara Tauson,25,22.3,1886.6,,18,1856.6,32,1770.5,86,1590.9,,1934.9,2022-01,,22,0.13,1935.3
Naomi Osaka,26,27.5,1885.0,,23,1832.5,26,1789.6,43,1684.3,,2193.3,2021-03,,49,-0.63,1901.7
Sofia Kenin,27,26.4,1882.1,,34,1814.7,27,1783.8,36,1696.4,,2057.0,2020-02,,31,-0.14,1970.6
Victoria Azarenka,28,35.7,1878.7,,22,1839.1,30,1775.1,26,1722.8,,2312.3,2013-03,,73,-0.96,1682.9
Linda Noskova,29,20.4,1872.2,,19,1847.8,41,1742.1,59,1639.6,,1946.1,2025-02,,29,0,1836.0
Daria Kasatkina,30,27.9,1871.9,,30,1821.2,24,1796.8,12,1789.7,,2036.5,2018-03,,17,0.57,1736.2
Yulia Putintseva,31,30.3,1862.9,,38,1799.7,25,1789.7,20,1746.9,,1933.4,2025-01,,32,-0.03,1748.6
Ashlyn Krueger,32,20.9,1861.7,,25,1829.4,59,1710.7,40,1687.1,,1896.7,2025-02,,37,-0.15,1856.5
Katie Boulter,33,28.7,1860.2,,31,1815.9,45,1736.5,15,1766.3,,1894.3,2024-03,,38,-0.14,1827.7
Maria Sakkari,34,29.7,1858.8,,33,1815.2,20,1812.8,44,1681.5,,2067.5,2022-03,,92,-1.00,1835.2
Olga Danilovic,35,24.2,1858.0,,52,1753.7,22,1806.0,62,1637.0,,1865.8,2025-05,,34,0.03,1863.8
Ons Jabeur,36,30.6,1849.6,,40,1796.9,31,1770.5,21,1745.5,,2110.5,2022-06,,35,0.03,1783.1
Anastasia Pavlyuchenkova,37,33.8,1847.9,,29,1822.1,39,1750.2,55,1646.7,,2058.1,2011-05,,51,-0.32,1716.9
Magda Linette,38,33.2,1846.0,,44,1782.7,29,1781.7,50,1661.0,,1866.6,2023-02,,33,0.14,1874.6
Caroline Wozniacki,39,34.1,1844.9,,36,1805.1,50,1727.8,23,1737.0,,2255.1,2011-04,,138,-1.26,
Anna Kalinskaya,40,26.4,1841.8,,42,1794.7,56,1713.6,22,1738.0,,1948.6,2024-04,,30,0.29,1711.9
Liudmila Samsonova,41,26.4,1841.1,,37,1804.9,61,1710.5,24,1736.7,,1984.3,2023-10,,19,0.77,1746.3
Donna Vekic,42,28.8,1838.3,,46,1774.8,34,1762.2,17,1753.8,,1947.0,2019-08,,18,0.85,1696.6
