Player,Rank,Age,Elo,    ,HardRaw,ClayRaw,GrassRaw,    ,hElo,cElo,gElo,    ,Peak Match,Peak Age,Peak Elo,yElo
Iga Swiatek,1,22.9,2289.2,,2138.7,2160.2,1697.1,,2213.9,2224.7,1993.2,,2024 Roland Garros F,22.9,2289.2,2293.7
Elena Rybakina,2,24.9,2130.5,,2035.0,1892.0,1773.9,,2082.8,2011.2,1952.2,,2024 Madrid QF,24.8,2152.1,2146.5
Aryna Sabalenka,3,26.0,2125.5,,1999.4,1966.8,1739.6,,2062.4,2046.1,1932.5,,2024 Australian Open F,25.6,2141.6,2117.1
Coco Gauff,4,20.2,2085.5,,1992.8,1902.5,1643.4,,2039.2,1994.0,1864.4,,2024 Australian Open QF,19.8,2155.1,2036.7
Danielle Collins,5,30.4,2034.7,,1929.3,1817.1,1428.9,,1982.0,1925.9,1731.8,,2024 Rome QF,30.3,2064.4,2085.8
Qinwen Zheng,6,21.6,1970.6,,1894.5,1786.5,1336.6,,1932.6,1878.5,1653.6,,2024 Australian Open SF,21.2,2050.9,1895.1
Mirra Andreeva,7,17.0,1969.4,,1701.4,1836.4,1561.1,,1835.4,1902.9,1765.2,,2024 Roland Garros QF,17.0,1994.9,1971.3
Marketa Vondrousova,8,24.9,1967.8,,1804.6,1765.8,1669.5,,1886.2,1866.8,1818.6,,2019 Roland Garros SF,19.9,2060.3,1926.9
Jelena Ostapenko,9,26.9,1952.0,,1859.0,1729.9,1786.3,,1905.5,1841.0,1869.2,,2022 Doha QF,24.7,2035.3,1907.2
Jasmine Paolini,10,28.3,1945.2,,1811.0,1782.7,1311.0,,1878.1,1864.0,1628.1,,2024 Roland Garros SF,28.3,1948.0,2018.6
Ons Jabeur,11,29.7,1945.2,,1782.1,1832.5,1808.3,,1863.6,1888.8,1876.7,,2022 Wimbledon SF,27.8,2106.9,1846.5
Emma Navarro,12,23.0,1938.1,,1876.3,1718.8,1528.3,,1907.2,1828.5,1733.2,,2024 Miami R32,22.8,1960.2,1952.7
Maria Sakkari,13,28.8,1937.3,,1880.8,1770.4,1551.3,,1909.0,1853.8,1744.3,,2022 Indian Wells SF,26.6,2070.6,1904.8
Jessica Pegula,14,30.1,1934.9,,1846.0,1655.7,1500.0,,1890.4,1795.3,1717.4,,2024 United Cup RR,29.8,2092.9,1892.1
Victoria Azarenka,15,34.8,1930.2,,1860.6,1675.9,1509.3,,1895.4,1803.0,1719.8,,2013 Indian Wells R16,23.5,2331.4,1958.7
Marta Kostyuk,16,21.9,1926.7,,1859.8,1637.8,1496.2,,1893.2,1782.2,1711.4,,2024 Stuttgart SF,21.7,1990.6,1932.7
Madison Keys,17,29.2,1923.8,,1749.7,1760.4,1654.1,,1836.7,1842.1,1789.0,,2016 Olympics QF,21.4,2091.6,1963.2
Paula Badosa,18,26.5,1917.3,,1746.1,1778.3,1542.0,,1831.7,1847.8,1729.6,,2022 Australian Open R32,24.1,2084.4,1907.5
Daria Kasatkina,19,27.0,1905.5,,1793.9,1767.1,1617.9,,1849.7,1836.3,1761.7,,2018 Indian Wells SF,20.8,2047.4,1854.0
Anna Kalinskaya,20,25.4,1901.2,,1868.8,1587.4,1474.2,,1885.0,1744.3,1687.7,,2024 Dubai SF,25.2,1959.6,1880.8
Anastasia Potapova,21,23.1,1882.9,,1747.7,1737.7,1588.9,,1815.3,1810.3,1735.9,,2023 Birmingham QF,22.2,1915.9,1898.4
Elina Svitolina,22,29.7,1878.8,,1779.8,1724.4,1510.1,,1829.3,1801.6,1694.4,,2018 Roland Garros R64,23.7,2114.0,1903.9
Linda Noskova,23,19.5,1868.1,,1848.2,1569.8,1338.2,,1858.2,1719.0,1603.2,,2024 Stuttgart R32,19.4,1933.4,1831.8
Karolina Muchova,24,27.0,1864.2,,1766.4,1672.4,1500.0,,1815.3,1768.3,1682.1,,2023 Us Open QF,27.0,2025.5,
Anastasia Pavlyuchenkova,25,32.9,1862.4,,1802.9,1680.9,1481.3,,1832.7,1771.7,1671.9,,2011 Roland Garros R16,19.8,2063.5,1804.1
Sloane Stephens,26,31.1,1859.8,,1694.2,1763.3,1522.8,,1777.0,1811.5,1691.3,,2017 US Open F,24.4,2022.8,1878.9
Sorana Cirstea,27,34.1,1859.6,,1790.5,1621.9,1558.3,,1825.0,1740.7,1709.0,,2013 US Open R128,23.3,1908.4,1833.2
Beatriz Haddad Maia,28,27.9,1857.4,,1733.9,1736.3,1698.6,,1795.6,1796.9,1778.0,,2023 Montreal R64,27.1,1932.0,1795.2
Emma Raducanu,29,21.4,1856.9,,1727.9,1560.7,1505.2,,1792.4,1708.8,1681.0,,2021 Us Open F,18.7,2005.1,1809.8
Belinda Bencic,30,26.5,1854.3,,1756.4,1597.9,1567.5,,1805.4,1726.1,1710.9,,2016 St. Petersburg SF,18.9,2121.9,
Leylah Fernandez,31,21.7,1853.4,,1800.1,1576.1,1418.7,,1826.8,1714.8,1636.1,,2022 Indian Wells R32,19.4,1974.5,1753.3
Elise Mertens,32,28.5,1851.3,,1753.7,1743.8,1537.1,,1802.5,1797.5,1694.2,,2021 Madrid R16,25.4,2045.8,1836.5
Ekaterina Alexandrova,33,29.5,1850.7,,1805.2,1560.6,1702.6,,1827.9,1705.6,1776.6,,2020 St. Petersburg R16,25.2,1975.0,1735.3
