Player,Rank,Age,Elo,    ,HardRaw,ClayRaw,GrassRaw,    ,hElo,cElo,gElo,    ,Peak Match,Peak Age,Peak Elo,yElo
Iga Swiatek,1,21.7,2184.5,,2079.1,2039.2,1587.2,,2131.8,2111.9,1885.9,,2022 Wimbledon R64,21.0,2264.3,2026.0
Aryna Sabalenka,2,24.7,2061.1,,1972.9,1805.0,1681.7,,2017.0,1933.1,1871.4,,2021 Rome R32,23.0,2128.1,2066.3
Belinda Bencic,3,25.9,2041.6,,1955.1,1740.1,1677.5,,1998.3,1890.8,1859.5,,2016 St. Petersburg SF,18.9,2121.3,2044.2
Ons Jabeur,4,28.3,2035.7,,1879.3,1858.6,1820.1,,1957.5,1947.2,1927.9,,2022 Wimbledon SF,27.8,2106.6,1683.0
Jessica Pegula,5,28.9,2029.0,,1933.1,1719.9,1468.1,,1981.1,1874.4,1748.6,,2023 Doha SF,28.9,2044.0,1979.0
Simona Halep,6,30.9,2028.3,,1908.6,1808.7,1743.9,,1968.4,1918.5,1886.1,,2015 Stuttgart QF,23.5,2177.8,
Elena Rybakina,7,23.6,2001.3,,1912.4,1708.8,1796.8,,1956.8,1855.0,1899.1,,2020 Dubai SF,20.6,2032.1,1991.3
Cori Gauff,8,18.9,1998.3,,1881.9,1867.1,1704.6,,1940.1,1932.7,1851.4,,2022 Us Open R16,18.4,2055.1,1953.7
Petra Kvitova,9,32.9,1967.5,,1871.0,1799.0,1744.6,,1919.3,1883.3,1856.1,,2012 Sydney QF,21.8,2174.8,1820.2
Barbora Krejcikova,10,27.1,1962.4,,1902.8,1676.9,1478.6,,1932.6,1819.6,1720.5,,2021 Us Open R16,25.7,2048.6,2061.0
Caroline Garcia,11,29.3,1960.1,,1839.2,1775.2,1666.4,,1899.7,1867.7,1813.3,,2017 Singapore RR,24.0,2043.8,1842.1
Maria Sakkari,12,27.5,1955.5,,1877.0,1797.9,1554.8,,1916.2,1876.7,1755.1,,2022 Indian Wells SF,26.6,2070.2,1871.3
Paula Badosa,13,25.2,1946.2,,1845.8,1837.7,1540.6,,1896.0,1892.0,1743.4,,2022 Australian Open R32,24.1,2084.1,1766.1
Veronika Kudermetova,14,25.8,1944.2,,1848.2,1752.2,1604.1,,1896.2,1848.2,1774.1,,2021 Roland Garros R128,24.1,1971.8,1873.9
Liudmila Samsonova,15,24.2,1943.9,,1865.5,1488.3,1568.9,,1904.7,1716.1,1756.4,,2022 Guadalajara 2 R32,23.9,1973.7,1844.7
Madison Keys,16,28.0,1941.5,,1857.5,1699.7,1655.4,,1899.5,1820.6,1798.4,,2016 Olympics QF,21.4,2091.1,1915.7
Victoria Azarenka,17,33.5,1930.7,,1842.0,1615.2,1500.0,,1886.3,1773.0,1715.3,,2013 Indian Wells R16,23.5,2327.7,1893.1
Anett Kontaveit,18,27.1,1928.0,,1873.8,1713.2,1506.0,,1900.9,1820.6,1717.0,,2022 Indian Wells R64,26.2,2105.9,
Karolina Pliskova,19,30.9,1923.2,,1845.3,1747.4,1721.0,,1884.3,1835.3,1822.1,,2019 Wimbledon R32,27.2,2087.8,1960.0
Danielle Collins,20,29.1,1911.3,,1851.7,1657.3,1432.3,,1881.5,1784.3,1671.8,,2022 Australian Open SF,28.0,2048.2,1734.1
Qinwen Zheng,21,20.3,1904.3,,1824.4,1716.5,1410.0,,1864.4,1810.4,1657.2,,2023 Abu Dhabi QF,20.3,1927.5,1856.9
Jelena Ostapenko,22,25.7,1902.9,,1819.1,1645.6,1740.6,,1861.0,1774.2,1821.8,,2022 Doha QF,24.7,2034.9,1864.7
Daria Kasatkina,23,25.7,1898.3,,1779.6,1771.2,1620.7,,1839.0,1834.7,1759.5,,2018 Indian Wells SF,20.8,2046.9,1668.7
Beatriz Haddad Maia,24,26.7,1897.2,,1785.9,1640.4,1692.1,,1841.6,1768.8,1794.7,,2022 Toronto SF,26.1,1926.7,1866.4
Marketa Vondrousova,25,23.6,1889.1,,1811.5,1588.2,1314.1,,1850.3,1738.7,1601.6,,2019 Roland Garros SF,19.9,2059.8,1756.7
Bianca Andreescu,26,22.6,1886.8,,1812.9,1666.5,1500.4,,1849.8,1776.7,1693.6,,2019 Beijing R16,19.2,2158.3,1712.4
Camila Giorgi,27,31.1,1863.5,,1765.7,1634.8,1625.1,,1814.6,1749.1,1744.3,,2021 Montreal SF,29.6,1947.9,1849.2
Marie Bouzkova,28,24.5,1860.9,,1754.0,1539.6,1575.4,,1807.5,1700.3,1718.2,,2022 Guadalajara 2 R16,24.2,1941.1,1689.3
Ajla Tomljanovic,29,29.5,1859.2,,1739.5,1617.5,1660.5,,1799.3,1738.4,1759.9,,2022 Us Open R16,29.3,1904.9,
Donna Vekic,30,26.6,1856.3,,1793.0,1589.7,1579.5,,1824.7,1723.0,1717.9,,2019 Us Open R16,23.1,1950.5,1849.2
Karolina Muchova,31,26.4,1854.7,,1767.5,1651.7,1541.4,,1811.1,1753.2,1698.1,,2021 Australian Open QF,24.4,1997.1,1853.3
Lesia Tsurenko,32,33.7,1854.0,,1732.0,1651.3,1629.8,,1793.0,1752.6,1741.9,,2018 Brisbane SF,29.5,1944.0,1837.3
Magda Linette,33,31.0,1844.9,,1772.2,1550.8,1504.5,,1808.6,1697.9,1674.7,,2023 Merida R32,31.0,1859.0,1868.4
Garbine Muguruza,34,29.3,1844.8,,1816.8,1767.3,1584.4,,1830.8,1806.1,1714.6,,2017 US Open R32,23.8,2109.9,
Ekaterina Alexandrova,35,28.2,1841.7,,1719.7,1607.1,1545.6,,1780.7,1724.4,1693.6,,2020 St. Petersburg R16,25.2,1974.7,1680.3
Anhelina Kalinina,36,26.0,1840.4,,1738.8,1716.8,1437.9,,1789.6,1778.6,1639.1,,2022 Eastbourne R16,25.3,1871.5,1787.5
Elise Mertens,37,27.2,1836.1,,1762.1,1760.7,1549.2,,1799.1,1798.4,1692.7,,2021 Madrid R16,25.4,2045.4,1736.2
Marta Kostyuk,38,20.6,1833.4,,1737.8,1612.9,1502.1,,1785.6,1723.1,1667.7,,2021 Chicago 1 R16,19.1,1861.2,1799.5
Shelby Rogers,39,30.3,1830.7,,1755.4,1555.4,1499.5,,1793.1,1693.1,1665.1,,2021 Charleston 2 R16,28.4,1874.2,1769.6
Amanda Anisimova,40,21.4,1830.7,,1686.2,1687.5,1526.7,,1758.4,1759.1,1678.7,,2022 San Jose R16,20.9,2009.8,1658.6
Emma Raducanu,41,20.1,1830.1,,1725.4,1540.1,1505.3,,1777.7,1685.1,1667.7,,2021 Us Open F,18.7,2004.9,
Irina Camelia Begu,42,32.4,1829.6,,1691.5,1735.1,1459.0,,1760.6,1782.4,1644.3,,2016 Roland Garros R32,25.7,1942.4,1659.5
Anastasia Potapova,43,21.8,1825.3,,1720.6,1686.9,1455.8,,1772.9,1756.1,1640.5,,2022 Prague SF,21.3,1828.0,1867.8
Naomi Osaka,44,24.8,1824.3,,1778.8,1500.0,1500.0,,1801.6,1662.2,1662.2,,2021 Miami R16,23.4,2199.7,
Katerina Siniakova,45,26.7,1824.3,,1720.2,1689.2,1509.2,,1772.3,1756.7,1666.8,,2017 Shenzhen F,20.6,1934.9,1706.3
Petra Martic,46,32.0,1812.4,,1686.3,1763.5,1531.7,,1749.3,1787.9,1672.0,,2019 Wuhan R16,28.6,1978.1,1747.8
Linda Noskova,47,18.2,1808.4,,1712.3,1620.4,-,,1760.3,1714.4,1579.2,,2023 Lyon R16,18.2,1863.0,1825.4
Sara Sorribes Tormo,48,25.9,1807.5,,1685.9,1709.6,1492.5,,1746.7,1758.5,1650.0,,2021 Us Open R64,24.8,1908.9,
Clara Tauson,49,20.1,1805.9,,1695.9,1500.0,1342.1,,1750.9,1653.0,1574.0,,2022 Australian Open R64,19.0,1964.4,1740.3
Yulia Putintseva,50,28.1,1793.6,,1689.9,1706.6,1434.6,,1741.8,1750.1,1614.1,,2020 Roland Garros R128,25.7,1912.9,1738.6
Leylah Fernandez,51,20.4,1793.1,,1692.4,1551.7,1397.5,,1742.7,1672.4,1595.3,,2022 Indian Wells R32,19.4,1974.1,1767.4
Lauren Davis,52,29.3,1790.3,,1707.7,1571.1,1488.4,,1749.0,1680.7,1639.3,,2017 Indian Wells R32,23.4,1901.8,1856.5
Kaia Kanepi,53,37.6,1789.1,,1714.7,1658.9,1437.5,,1751.9,1724.0,1613.3,,2010 Beijing R64,25.3,1993.1,1567.7
Anna Kalinskaya,54,24.2,1788.4,,1733.1,1410.1,1474.3,,1760.7,1599.2,1631.3,,2023 Adelaide 2 R32,24.1,1857.3,1587.4
Angelique Kerber,55,34.4,1785.1,,1685.8,1581.8,1666.6,,1735.5,1683.4,1725.8,,2016 Singapore SF,28.7,2144.7,
Elisabetta Cocciaretto,56,22.0,1784.3,,1714.7,1582.4,1446.0,,1749.5,1683.3,1615.2,,2020 Prague SF,19.5,1802.1,1752.5
Camila Osorio,57,21.1,1781.0,,1694.3,1615.9,1451.5,,1737.6,1698.5,1616.3,,2022 Monterrey SF,20.1,1837.7,1738.5
Sloane Stephens,58,29.9,1779.7,,1684.0,1710.6,1528.7,,1731.8,1745.1,1654.2,,2017 US Open F,24.4,2022.3,
Alycia Parks,59,22.1,1775.4,,1722.7,1315.2,1391.8,,1749.1,1545.3,1583.6,,2023 Lyon F,22.0,1810.2,1747.8
Ana Bogdan,60,30.2,1775.0,,1647.7,1704.7,1486.6,,1711.3,1739.8,1630.8,,2022 Parma QF,29.8,1809.8,1705.5
Sorana Cirstea,61,32.8,1774.5,,1698.1,1602.4,1526.6,,1736.3,1688.4,1650.5,,2013 US Open R128,23.3,1907.7,1672.1
