Player,Rank,Age,Elo,    ,HardRaw,ClayRaw,GrassRaw,    ,hElo,cElo,gElo,    ,Peak Match,Peak Age,Peak Elo,yElo
Novak Djokovic,1,35.6,2179.2,,2078.4,1917.8,1871.7,,2128.8,2048.5,2025.5,,2016 Miami F,28.8,2470.1,2131.9
Daniil Medvedev,2,27.0,2076.9,,1997.9,1693.9,1731.9,,2037.4,1885.4,1904.4,,2022 Australian Open SF,25.9,2191.8,2102.9
Stefanos Tsitsipas,3,24.5,2071.2,,1956.6,2038.2,1711.1,,2013.9,2054.7,1891.1,,2021 Roland Garros SF,22.8,2133.3,2009.8
Jannik Sinner,4,21.4,2054.4,,1940.6,1957.6,1543.4,,1997.5,2006.0,1798.9,,2022 Canada R32,20.9,2104.0,1999.1
Carlos Alcaraz,5,19.7,2052.1,,1912.1,1969.9,1500.0,,1982.1,2011.0,1776.0,,2022 Roland Garros R16,19.0,2224.6,1877.7
Felix Auger Aliassime,6,22.5,2011.9,,1926.8,1785.0,1687.9,,1969.3,1898.4,1849.9,,2022 Paris QF,22.2,2053.0,1836.6
Sebastian Korda,7,22.5,2005.7,,1918.3,1718.3,1580.6,,1962.0,1862.0,1793.1,,2023 Australian Open R16,22.5,2005.7,1983.7
Holger Rune,8,19.7,2002.0,,1940.5,1758.3,1351.8,,1971.2,1880.1,1676.9,,2022 Paris F,19.5,2020.5,1842.2
Matteo Berrettini,9,26.7,1999.5,,1815.9,1885.1,1954.0,,1907.7,1942.3,1976.7,,2022 Gstaad SF,26.2,2072.6,1705.8
Cameron Norrie,10,27.4,1997.7,,1860.7,1930.6,1660.8,,1929.2,1964.2,1829.3,,2022 Cincinnati QF,26.9,2018.3,2012.1
Taylor Fritz,11,25.2,1995.5,,1909.0,1686.7,1663.7,,1952.2,1841.1,1829.6,,2023 Australian Open R128,25.2,2001.0,1941.3
Andrey Rublev,12,25.3,1974.9,,1894.4,1843.1,1611.9,,1934.7,1909.0,1793.4,,2021 Monte Carlo SF,23.4,2106.1,1784.9
Hubert Hurkacz,13,26.0,1974.2,,1882.0,1743.0,1753.4,,1928.1,1858.6,1863.8,,2022 Canada SF,25.4,1998.0,1945.8
Casper Ruud,14,24.0,1962.4,,1819.7,1966.4,1426.6,,1891.0,1964.4,1694.5,,2022 Roland Garros SF,23.4,2063.9,
Rafael Nadal,15,36.6,1948.8,,1781.1,1878.1,1530.2,,1865.0,1913.5,1739.5,,2009 Madrid SF,22.9,2370.2,
Alex De Minaur,16,24.0,1944.7,,1848.1,1600.2,1652.0,,1896.4,1772.4,1798.3,,2020 Atp Cup RR,20.8,1993.4,1799.5
Karen Khachanov,17,26.6,1937.9,,1826.6,1802.3,1689.2,,1882.3,1870.1,1813.6,,2018 Paris F,22.4,2015.2,1888.9
Nick Kyrgios,18,27.4,1932.9,,1787.1,1500.0,1656.1,,1860.0,1716.4,1794.5,,2017 Cincinnati SF,22.2,2089.3,
Borna Coric,19,26.2,1921.7,,1850.5,1731.0,1620.4,,1886.1,1826.3,1771.0,,2019 Australian Open R32,22.1,1999.2,1760.2
Frances Tiafoe,20,25.0,1919.2,,1833.8,1696.3,1604.1,,1876.5,1807.8,1761.7,,2022 Tokyo SF,24.7,1944.1,1758.2
Alexander Zverev,21,25.8,1916.8,,1783.1,1918.8,1546.4,,1849.9,1917.8,1731.6,,2022 Atp Cup RR,24.7,2161.7,1602.0
Tommy Paul,22,25.7,1913.2,,1833.7,1590.6,1629.2,,1873.4,1751.9,1771.2,,2023 Australian Open QF,25.6,1933.5,1838.0
