Player,Rank,Age,Elo,    ,HardRaw,ClayRaw,GrassRaw,    ,hElo,cElo,gElo,    ,Peak Match,Peak Age,Peak Elo,yElo
Novak Djokovic,1,34.8,2173.4,,2054.9,2016.3,1942.4,,2114.1,2094.9,2057.9,,2016 Miami F,28.8,2470.0,
Daniil Medvedev,2,26.1,2146.9,,2066.6,1714.1,1723.4,,2106.8,1930.5,1935.1,,2022 Australian Open SF,25.9,2189.2,1962.7
Alexander Zverev,3,24.9,2110.3,,2017.1,2005.0,1671.4,,2063.7,2057.7,1890.9,,2022 Atp Cup RR,24.7,2158.4,1878.9
Rafael Nadal,4,35.8,2093.8,,1959.9,1951.2,1500.0,,2026.8,2022.5,1796.9,,2009 Madrid SF,22.9,2370.0,2187.0
Carlos Alcaraz,5,18.8,2086.6,,1937.5,1927.0,1441.4,,2012.1,2006.8,1764.0,,2022 Indian Wells QF,18.8,2105.0,2026.3
Roger Federer,6,39.9,2043.0,,1936.7,1749.6,1813.4,,1989.9,1896.3,1928.2,,2007 Dubai F,25.6,2382.0,
Andrey Rublev,7,24.4,2025.0,,1944.7,1827.4,1652.8,,1984.8,1926.2,1838.9,,2021 Monte Carlo SF,23.5,2105.7,2069.7
Jannik Sinner,8,20.6,2022.9,,1942.0,1807.0,1312.8,,1982.4,1914.9,1667.9,,2022 Australian Open R16,20.4,2026.9,1946.5
Stefanos Tsitsipas,9,23.6,2021.5,,1895.5,2005.5,1543.4,,1958.5,2013.5,1782.4,,2021 Roland Garros SF,22.8,2133.0,1909.1
Matteo Berrettini,10,25.9,2003.7,,1833.4,1894.7,1853.0,,1918.6,1949.2,1928.3,,2021 Wimbledon SF,25.2,2045.7,1876.4
Felix Auger Aliassime,11,21.6,2001.5,,1910.0,1681.9,1784.0,,1955.8,1841.7,1892.8,,2022 Marseille SF,21.5,2035.7,2016.3
Casper Ruud,12,23.2,1999.3,,1816.5,1981.1,1465.9,,1907.9,1990.2,1732.6,,2022 Davis Cup QLS R1,23.2,2032.5,1814.9
