Player,Rank,Age,Elo,    ,HardRaw,ClayRaw,GrassRaw,    ,hElo,cElo,gElo,    ,Peak Match,Peak Age,Peak Elo,yElo
Novak Djokovic,1,36.3,2212.5,,2116.5,1960.1,1898.1,,2164.5,2086.3,2055.3,,2016 Miami F,28.8,2470.3,2290.9
Carlos Alcaraz,2,20.3,2198.9,,2033.6,2039.0,1909.3,,2116.3,2118.9,2054.1,,2023 Canada R16,20.2,2239.7,2209.1
Daniil Medvedev,3,27.6,2124.7,,2062.8,1850.0,1751.2,,2093.7,1987.3,1937.9,,2022 Australian Open SF,25.9,2191.9,2145.6
Jannik Sinner,4,22.1,2120.2,,2046.3,1913.5,1733.0,,2083.3,2016.9,1926.6,,2023 Beijing F,22.1,2120.2,2151.4
Alexander Zverev,5,26.4,2036.2,,1903.3,1917.9,1619.4,,1969.7,1977.0,1827.8,,2022 Atp Cup RR,24.7,2161.7,2108.6
Andrey Rublev,6,25.9,2005.1,,1889.5,1918.9,1757.6,,1947.3,1962.0,1881.3,,2021 Monte Carlo SF,23.4,2106.2,1982.1
Taylor Fritz,7,25.8,1977.0,,1944.4,1757.6,1598.7,,1960.7,1867.3,1787.8,,2023 Monte Carlo QF,25.4,2041.3,1972.2
Holger Rune,8,20.4,1975.8,,1802.7,1897.3,1631.9,,1889.3,1936.5,1803.9,,2023 Roland Garros R16,20.0,2070.1,1928.7
Stefanos Tsitsipas,9,25.1,1963.8,,1865.2,2005.1,1650.8,,1914.5,1984.5,1807.3,,2021 Roland Garros SF,22.8,2133.4,1866.7
Alex De Minaur,10,24.6,1956.3,,1892.0,1622.5,1679.5,,1924.1,1789.4,1817.9,,2020 Atp Cup RR,20.8,1993.5,1969.9
Grigor Dimitrov,11,32.3,1953.2,,1813.5,1802.7,1611.6,,1883.4,1878.0,1782.4,,2014 Canada QF,23.2,2090.6,1980.6
Hubert Hurkacz,12,26.5,1935.2,,1866.9,1717.5,1723.7,,1901.1,1826.4,1829.5,,2022 Canada SF,25.4,1998.1,1930.4
Casper Ruud,13,24.7,1929.3,,1756.2,1940.5,1412.8,,1842.8,1934.9,1671.1,,2022 Roland Garros SF,23.4,2064.0,1896.5
Matteo Berrettini,14,27.3,1899.7,,1693.2,1801.9,1822.2,,1796.4,1850.8,1860.9,,2022 Gstaad SF,26.2,2072.6,1876.1
Frances Tiafoe,15,25.6,1895.8,,1794.7,1747.7,1667.7,,1845.3,1821.8,1781.8,,2023 Queen's Club R32,25.4,1960.6,1835.9
Tommy Paul,16,26.3,1888.4,,1845.4,1598.1,1618.1,,1866.9,1743.2,1753.2,,2023 Miami R32,25.8,1953.3,1869.5
Pablo Carreno Busta,17,31.5,1875.6,,1763.2,1821.7,1480.5,,1819.4,1848.7,1678.0,,2021 Winston-Salem R16,30.1,2002.0,
Andy Murray,18,36.3,1875.2,,1746.3,1752.5,1740.6,,1810.7,1813.9,1807.9,,2017 Doha SF,29.6,2347.2,1864.9
Francisco Cerundolo,19,25.0,1869.6,,1648.7,1824.7,1593.2,,1759.2,1847.1,1731.4,,2023 Wimbledon R128,24.8,1938.5,1864.6
Alejandro Davidovich Fokina,20,24.3,1869.4,,1773.7,1753.5,1502.0,,1821.6,1811.5,1685.7,,2021 Roland Garros R16,21.9,1928.4,1875.4
Nicolas Jarry,21,27.9,1869.2,,1644.7,1800.3,1555.1,,1757.0,1834.8,1712.2,,2023 Beijing R16,27.9,1875.4,1928.5
Jiri Lehecka,22,21.8,1868.8,,1757.8,1661.6,1622.1,,1813.3,1765.2,1745.4,,2023 Doha QF,21.2,1901.1,1875.4
Ugo Humbert,23,25.2,1864.4,,1775.0,1656.7,1582.4,,1819.7,1760.5,1723.4,,2021 Tokyo Olympics R16,23.0,1915.6,1913.4
Karen Khachanov,24,27.3,1863.2,,1748.4,1715.5,1579.1,,1805.8,1789.3,1721.1,,2018 Paris F,22.4,2015.3,1949.9
Sebastian Korda,25,23.2,1861.8,,1779.2,1541.8,1590.4,,1820.5,1701.8,1726.1,,2023 Australian Open R16,22.5,2005.7,1884.5
Jack Draper,26,21.7,1860.8,,1802.1,1500.0,1500.0,,1831.4,1680.4,1680.4,,2023 Lyon R16,21.4,1924.1,1908.7
Felix Auger Aliassime,27,23.1,1859.6,,1809.2,1729.0,1639.1,,1834.4,1794.3,1749.3,,2022 Paris QF,22.2,2053.1,1651.6
Gael Monfils,28,36.9,1858.1,,1826.8,1527.1,1419.8,,1842.4,1692.6,1639.0,,2015 Monte Carlo QF,28.6,2068.0,1827.4
Lorenzo Musetti,29,21.5,1856.4,,1692.4,1846.0,1479.4,,1774.4,1851.2,1667.9,,2022 Paris R16,20.6,1925.4,1843.2
Matteo Arnaldi,30,22.5,1852.9,,1649.8,1784.3,1482.1,,1751.4,1818.6,1667.5,,2023 Beijing R32,22.5,1870.0,1875.6
Tallon Griekspoor,31,27.2,1845.7,,1733.5,1707.1,1703.0,,1789.6,1776.4,1774.4,,2022 Australian Open R128,25.5,1924.9,1834.8
Adrian Mannarino,32,35.2,1844.2,,1769.7,1401.4,1709.7,,1806.9,1622.8,1776.9,,2018 Australian Open R64,29.5,1884.7,1950.6
Jan Lennard Struff,33,33.4,1844.0,,1694.6,1761.3,1576.5,,1769.3,1802.6,1710.2,,2019 Wimbledon R64,29.1,1898.5,1876.3
Sebastian Baez,34,22.7,1843.3,,1614.7,1782.2,1413.5,,1729.0,1812.7,1628.4,,2022 Bastad SF,21.5,1934.6,1887.8
Emil Ruusuvuori,35,24.4,1835.7,,1768.1,1600.6,1499.5,,1801.9,1718.2,1667.6,,2023 s Hertogenbosch QF,24.1,1881.1,1844.0
Cameron Norrie,36,28.0,1834.5,,1744.3,1851.6,1658.2,,1789.4,1843.1,1746.4,,2022 Cincinnati QF,26.9,2018.4,1721.0
Stan Wawrinka,37,38.4,1832.9,,1749.0,1683.8,1500.6,,1791.0,1758.4,1666.8,,2016 Australian Open R32,30.8,2144.3,1851.9
Borna Coric,38,26.7,1832.4,,1766.1,1789.5,1520.2,,1799.2,1811.0,1676.3,,2019 Australian Open R32,22.1,1999.2,1757.0
Denis Shapovalov,39,24.2,1827.8,,1752.6,1731.8,1581.8,,1790.2,1779.8,1704.8,,2020 Auckland R16,20.7,1970.2,1780.1
Laslo Djere,40,28.2,1826.9,,1660.1,1744.2,1449.9,,1743.5,1785.6,1638.4,,2023 Davis Cup Finals RR,28.2,1836.7,1865.3
Roberto Bautista Agut,41,35.2,1826.9,,1749.3,1662.3,1699.9,,1788.1,1744.6,1763.4,,2016 Rotterdam R16,27.8,2014.5,1741.1
Jordan Thompson,42,29.4,1820.0,,1735.0,1385.5,1670.1,,1777.5,1602.7,1745.0,,2023 Chengdu R16,29.4,1820.0,1896.5
Roman Safiullin,43,26.1,1815.6,,1641.1,1631.6,1642.7,,1728.3,1723.6,1729.1,,2023 Chengdu SF,26.1,1822.1,1849.0
Yoshihito Nishioka,44,27.9,1811.5,,1746.6,1608.8,1348.1,,1779.1,1710.1,1579.8,,2023 Australian Open R32,27.3,1892.0,1786.5
Daniel Evans,45,33.3,1799.0,,1746.0,1602.8,1607.0,,1772.5,1700.9,1703.0,,2021 Monte Carlo QF,30.8,1887.5,1808.9
Lorenzo Sonego,46,28.3,1794.9,,1692.4,1696.5,1558.6,,1743.6,1745.7,1676.7,,2021 Rome QF,25.9,1888.0,1759.1
Ben Shelton,47,20.8,1794.3,,1736.2,1393.9,1375.9,,1765.3,1594.1,1585.1,,2023 Australian Open R16,20.2,1844.2,1808.6
Mackenzie Mcdonald,48,28.4,1791.8,,1735.5,1453.6,1579.6,,1763.7,1622.7,1685.7,,2023 Miami R64,27.9,1832.9,1797.9
Marton Fucsovics,49,31.6,1791.8,,1641.7,1657.9,1693.3,,1716.8,1724.9,1742.6,,2021 Miami R64,29.1,1924.6,1767.3
Christopher Eubanks,50,27.3,1789.9,,1649.5,1378.6,1706.6,,1719.7,1584.2,1748.2,,2023 Atlanta R16,27.2,1848.0,1803.7
John Isner,51,38.3,1788.0,,1686.2,1699.5,1669.8,,1737.1,1743.7,1728.9,,2012 US Open R64,27.3,2039.9,1626.6
Arthur Fils,52,19.2,1787.6,,1636.9,1693.9,1522.7,,1712.2,1740.8,1655.1,,2023 Cincinnati Qual,19.1,1851.7,1790.7
Aslan Karatsev,53,30.0,1785.6,,1638.4,1751.2,1394.0,,1712.0,1768.4,1589.8,,2021 Rome R32,27.6,1958.8,1831.7
Thanasi Kokkinakis,54,27.4,1781.3,,1728.2,1683.3,1341.2,,1754.8,1732.3,1561.3,,2015 Queen's Club R32,19.1,1867.8,1769.8
Yibing Wu,55,23.8,1780.0,,1761.4,1490.1,1371.0,,1770.7,1635.1,1575.5,,2023 Indian Wells R128,23.3,1874.5,1759.4
Sebastian Ofner,56,27.3,1778.3,,1580.6,1732.7,1571.4,,1679.5,1755.5,1674.9,,2023 Bastad R16,27.1,1805.9,1804.1
Mikael Ymer,57,24.8,1778.0,,1700.2,1558.6,1526.2,,1739.1,1668.3,1652.1,,2019 Stockholm R32,21.0,1875.5,1746.7
Hamad Medjedovic,58,20.1,1777.5,,1592.6,1676.6,1503.9,,1685.1,1727.0,1640.7,,2023 Astana QF,20.1,1793.8,1796.4
Tomas Machac,59,22.9,1777.1,,1720.5,1572.8,1491.1,,1748.8,1674.9,1634.1,,2022 Cassis CH QF,21.8,1795.9,1824.1
Yannick Hanfmann,60,31.8,1770.6,,1547.5,1716.8,1487.2,,1659.0,1743.7,1628.9,,2023 Roland Garros Qual,31.5,1829.9,1778.2
