Player,Rank,Age,Elo,    ,HardRaw,ClayRaw,GrassRaw,    ,hElo,cElo,gElo,    ,Peak Match,Peak Age,Peak Elo,yElo
Ashleigh Barty,1,25.3,2196.9,,2057.8,1991.6,1873.1,,2127.3,2094.2,2035.0,,2021 Us Open R64,25.3,2219.6,2194.8
Naomi Osaka,2,23.9,2094.4,,2057.2,1670.3,1552.5,,2075.8,1882.4,1823.5,,2021 Miami R16,23.4,2199.4,1929.6
Anett Kontaveit,3,25.9,2072.5,,2002.1,1720.5,1517.7,,2037.3,1896.5,1795.1,,2021 Guadalajara Finals RR,25.9,2072.5,2142.9
Garbine Muguruza,4,28.1,2042.5,,1968.9,1861.3,1671.5,,2005.7,1951.9,1857.0,,2017 US Open R32,23.9,2109.7,2057.7
Aryna Sabalenka,5,23.5,2034.7,,1924.5,1807.1,1699.8,,1979.6,1920.9,1867.3,,2021 Rome R32,23.0,2127.5,1998.7
Paula Badosa,6,24.0,2032.6,,1871.6,1844.8,1505.5,,1952.1,1938.7,1769.1,,2021 Guadalajara Finals RR,24.0,2032.6,2096.3
Victoria Azarenka,7,32.2,2017.3,,1932.2,1678.5,1563.2,,1974.8,1847.9,1790.3,,2013 Indian Wells R16,23.6,2325.9,2060.2
Maria Sakkari,8,26.3,2016.9,,1922.6,1787.7,1500.8,,1969.8,1902.3,1758.9,,2021 Us Open QF,26.1,2019.7,2039.9
Ons Jabeur,9,27.1,2011.3,,1888.7,1710.0,1745.5,,1950.0,1860.7,1878.4,,2021 Indian Wells QF,27.1,2040.4,2029.4
Simona Halep,10,30.1,2009.2,,1900.5,1868.7,1702.6,,1954.9,1938.9,1855.9,,2015 Stuttgart QF,23.6,2177.8,2011.1
Karolina Pliskova,11,29.6,2009.1,,1895.3,1851.9,1772.0,,1952.2,1930.5,1890.6,,2019 Wimbledon R32,27.3,2087.5,2031.4
Petra Kvitova,12,31.6,1993.2,,1902.7,1858.5,1699.3,,1947.9,1925.8,1846.2,,2012 Sydney QF,21.8,2174.6,1930.9
Iga Swiatek,13,20.4,1991.4,,1826.2,1960.4,1583.6,,1908.8,1975.9,1787.5,,2021 Roland Garros R16,20.0,2092.5,1971.0
Danielle Rose Collins,14,27.9,1991.1,,1891.2,1715.2,1476.5,,1941.2,1853.2,1733.8,,2021 Linz QF,27.9,1991.1,2047.8
