Player,Rank,Age,Elo,    ,HardRaw,ClayRaw,GrassRaw,    ,hElo,cElo,gElo,    ,Peak Match,Peak Age,Peak Elo,yElo
Iga Swiatek,1,21.9,2225.2,,2072.7,2098.5,1587.2,,2149.0,2161.8,1906.2,,2022 Wimbledon R64,21.0,2264.3,2211.4
Aryna Sabalenka,2,25.0,2105.6,,1991.0,1921.3,1681.7,,2048.3,2013.5,1893.6,,2021 Rome R32,23.0,2128.0,2137.6
Elena Rybakina,3,23.9,2093.7,,2005.5,1778.1,1796.8,,2049.6,1935.9,1945.3,,2023 Miami SF,23.7,2098.9,2162.0
Ons Jabeur,4,28.7,2030.2,,1850.6,1891.3,1820.1,,1940.4,1960.7,1925.1,,2022 Wimbledon SF,27.8,2106.5,1938.0
Simona Halep,5,30.9,2028.3,,1908.6,1808.6,1743.9,,1968.4,1918.4,1886.1,,2015 Stuttgart QF,23.5,2177.8,
Jessica Pegula,6,29.2,2012.3,,1946.4,1740.4,1468.1,,1979.3,1876.4,1740.2,,2023 Madrid R16,29.1,2054.3,1962.3
Paula Badosa,7,25.4,1987.6,,1839.5,1870.4,1540.6,,1913.5,1929.0,1764.1,,2022 Australian Open R32,24.1,2084.0,1998.3
Petra Kvitova,8,33.2,1986.5,,1929.1,1755.9,1744.6,,1957.8,1871.2,1865.6,,2012 Sydney QF,21.8,2174.8,1956.9
Karolina Muchova,9,26.7,1978.5,,1830.6,1822.5,1541.4,,1904.5,1900.5,1759.9,,2021 Australian Open QF,24.4,1997.1,2052.7
Cori Gauff,10,19.2,1976.6,,1881.3,1846.1,1704.6,,1929.0,1911.3,1840.6,,2022 Us Open R16,18.4,2055.1,1950.9
Maria Sakkari,11,27.8,1959.0,,1892.8,1781.4,1554.8,,1925.9,1870.2,1756.9,,2022 Indian Wells SF,26.6,2070.2,1921.9
Marketa Vondrousova,12,23.9,1946.9,,1850.9,1681.4,1314.1,,1898.9,1814.1,1630.5,,2019 Roland Garros SF,19.9,2059.8,1950.8
Veronika Kudermetova,13,26.0,1936.2,,1826.6,1782.0,1604.1,,1881.4,1859.1,1770.1,,2023 Rome QF,26.0,1973.4,1912.9
Jelena Ostapenko,14,25.9,1924.9,,1812.5,1695.1,1740.6,,1868.7,1810.0,1832.8,,2022 Doha QF,24.7,2034.9,1938.4
Barbora Krejcikova,15,27.4,1924.3,,1909.8,1646.5,1478.6,,1917.1,1785.4,1701.4,,2021 Us Open R16,25.7,2048.6,1900.0
Caroline Garcia,16,29.6,1920.9,,1835.7,1745.6,1666.4,,1878.3,1833.2,1793.7,,2017 Singapore RR,24.0,2043.8,1822.1
Beatriz Haddad Maia,17,26.9,1916.5,,1776.2,1738.7,1692.1,,1846.3,1827.6,1804.3,,2022 Toronto SF,26.1,1926.6,1950.7
Lesia Tsurenko,18,33.9,1913.6,,1776.4,1734.0,1629.8,,1845.0,1823.8,1771.7,,2018 Brisbane SF,29.5,1944.0,1989.5
Karolina Pliskova,19,31.1,1912.5,,1848.6,1729.3,1721.0,,1880.5,1820.9,1816.7,,2019 Wimbledon R32,27.2,2087.8,1890.6
Madison Keys,20,28.2,1911.6,,1850.4,1692.2,1655.4,,1881.0,1801.9,1783.5,,2016 Olympics QF,21.4,2091.1,1837.9
Belinda Bencic,21,26.2,1910.2,,1820.8,1648.1,1577.5,,1865.5,1779.1,1743.9,,2016 St. Petersburg SF,18.9,2121.3,1956.8
Daria Kasatkina,22,26.0,1900.9,,1754.9,1790.4,1620.7,,1827.9,1845.6,1760.8,,2018 Indian Wells SF,20.8,2046.9,1865.9
Bianca Andreescu,23,22.9,1900.7,,1859.2,1633.3,1500.4,,1880.0,1767.0,1700.6,,2019 Beijing R16,19.2,2158.2,1841.1
Qinwen Zheng,24,20.6,1895.2,,1832.3,1715.9,1410.0,,1863.7,1805.5,1652.6,,2023 Miami R32,20.4,1939.2,1867.7
Victoria Azarenka,25,33.8,1893.6,,1825.3,1593.2,1500.0,,1859.4,1743.4,1696.8,,2013 Indian Wells R16,23.5,2327.7,1794.7
Liudmila Samsonova,26,24.5,1889.9,,1829.7,1550.2,1568.9,,1859.8,1720.0,1729.4,,2022 Guadalajara 2 R32,23.9,1973.6,1807.9
Anastasia Potapova,27,22.1,1888.8,,1763.9,1755.2,1455.8,,1826.4,1822.0,1672.3,,2023 Roland Garros R64,22.1,1905.5,1931.6
Mirra Andreeva,28,16.0,1886.7,,1521.9,1752.0,-,,1704.3,1819.3,1618.3,,2023 Roland Garros Qual,16.0,1911.9,1905.9
Elina Svitolina,29,28.7,1877.0,,1783.5,1787.4,1535.0,,1830.2,1832.2,1706.0,,2018 Roland Garros R64,23.7,2113.5,1884.1
Anna Kalinskaya,30,24.4,1870.5,,1741.7,1614.3,1474.3,,1806.1,1742.4,1672.4,,2023 Rome R64,24.4,1870.5,1905.5
Donna Vekic,31,26.9,1869.9,,1806.9,1623.3,1579.5,,1838.4,1746.6,1724.7,,2019 Us Open R16,23.1,1950.5,1872.3
Danielle Collins,32,29.4,1867.3,,1824.7,1610.2,1432.3,,1846.0,1738.7,1649.8,,2022 Australian Open SF,28.0,2048.1,1726.5
Ajla Tomljanovic,33,29.5,1859.2,,1739.4,1617.5,1660.5,,1799.3,1738.3,1759.8,,2022 Us Open R16,29.3,1904.9,
Elise Mertens,34,27.5,1854.4,,1784.0,1734.2,1549.2,,1819.2,1794.3,1701.8,,2021 Madrid R16,25.4,2045.3,1851.7
Camila Giorgi,35,31.4,1852.0,,1754.5,1657.2,1625.1,,1803.3,1754.6,1738.5,,2021 Montreal SF,29.6,1947.8,1838.8
Ekaterina Alexandrova,36,28.5,1850.5,,1727.0,1644.5,1545.6,,1788.7,1747.5,1698.0,,2020 St. Petersburg R16,25.2,1974.6,1818.3
Sorana Cirstea,37,33.1,1845.7,,1784.6,1621.3,1526.6,,1815.1,1733.5,1686.1,,2013 US Open R128,23.3,1907.7,1882.4
Garbine Muguruza,38,29.3,1844.7,,1816.8,1767.3,1584.4,,1830.8,1806.0,1714.6,,2017 US Open R32,23.8,2109.9,
Anhelina Kalinina,39,26.3,1843.1,,1721.9,1728.9,1437.9,,1782.5,1786.0,1640.5,,2022 Eastbourne R16,25.3,1871.5,1839.4
Anastasia Pavlyuchenkova,40,31.9,1843.1,,1730.2,1726.0,1481.4,,1786.7,1784.6,1662.3,,2011 Roland Garros R16,19.8,2062.7,1797.7
Emma Raducanu,41,20.4,1842.9,,1760.7,1511.0,1505.3,,1801.8,1676.9,1674.1,,2021 Us Open F,18.7,2004.8,1755.5
Marta Kostyuk,42,20.9,1840.1,,1772.4,1605.0,1502.1,,1806.2,1722.5,1671.1,,2023 Austin F,20.6,1880.9,1822.1
Irina Camelia Begu,43,32.7,1839.6,,1677.5,1733.5,1459.0,,1758.5,1786.6,1649.3,,2016 Roland Garros R32,25.7,1942.4,1810.8
Camila Osorio,44,21.4,1834.4,,1694.2,1689.9,1451.5,,1764.3,1762.1,1642.9,,2023 Roland Garros Qual,21.4,1867.3,1845.7
Shelby Rogers,45,30.6,1822.3,,1758.8,1564.4,1499.5,,1790.6,1693.3,1660.9,,2021 Charleston 2 R16,28.4,1874.2,1772.1
Petra Martic,46,32.3,1818.4,,1675.2,1746.1,1531.7,,1746.8,1782.3,1675.0,,2019 Wuhan R16,28.6,1978.0,1812.1
Sloane Stephens,47,30.1,1813.3,,1663.6,1736.9,1528.7,,1738.5,1775.1,1671.0,,2017 US Open F,24.4,2022.3,1852.8
Marie Bouzkova,48,24.8,1811.8,,1728.8,1559.4,1575.4,,1770.3,1685.6,1693.6,,2022 Guadalajara 2 R16,24.2,1941.1,1711.2
Magda Linette,49,31.2,1809.6,,1754.8,1540.2,1504.5,,1782.2,1674.9,1657.0,,2023 Merida R32,31.0,1859.0,1764.0
Mayar Sherif,50,27.0,1808.9,,1414.6,1802.9,1471.0,,1611.8,1805.9,1640.0,,2023 Adelaide 1 Qual,26.6,1824.7,1821.8
Sara Sorribes Tormo,51,26.6,1807.6,,1685.9,1703.4,1492.5,,1746.8,1755.5,1650.1,,2021 Us Open R64,24.8,1908.9,1765.8
Clara Tauson,52,20.4,1802.8,,1671.1,1618.1,1342.1,,1737.0,1710.5,1572.5,,2022 Australian Open R64,19.0,1964.4,1784.9
Elisabetta Cocciaretto,53,22.3,1802.1,,1641.6,1694.7,1446.0,,1721.8,1748.4,1624.0,,2023 Roland Garros R64,22.3,1819.7,1809.0
Bernarda Pera,54,28.4,1797.8,,1608.4,1761.3,1337.2,,1703.1,1779.5,1567.5,,2022 Cleveland QF,27.7,1842.9,1813.5
Katerina Siniakova,55,27.0,1796.2,,1700.2,1667.3,1509.2,,1748.2,1731.7,1652.7,,2017 Shenzhen F,20.6,1934.9,1653.7
Yulia Putintseva,56,28.3,1795.7,,1668.0,1718.8,1434.6,,1731.9,1757.3,1615.2,,2020 Roland Garros R128,25.7,1912.9,1787.8
Lauren Davis,57,29.6,1792.7,,1707.7,1598.7,1488.4,,1750.2,1695.7,1640.5,,2017 Indian Wells R32,23.4,1901.8,1828.3
Linda Noskova,58,18.5,1785.5,,1736.5,1585.6,-,,1761.0,1685.6,1567.7,,2023 Lyon R16,18.2,1863.0,1774.5
Amanda Anisimova,59,21.6,1783.8,,1666.7,1647.2,1526.7,,1725.3,1715.5,1655.3,,2022 San Jose R16,20.9,2009.7,1593.1
Taylor Townsend,60,27.1,1780.0,,1613.8,1705.4,1334.9,,1696.9,1742.7,1557.4,,2014 Cincinnati Qual,18.3,1811.7,1782.0
Anett Kontaveit,61,27.4,1775.7,,1773.8,1530.3,1500.0,,1774.8,1653.0,1637.9,,2022 Indian Wells R64,26.2,2105.9,1579.7
Leylah Fernandez,62,20.7,1765.2,,1726.0,1526.9,1397.5,,1745.6,1646.0,1581.3,,2022 Indian Wells R32,19.4,1974.1,1733.5
Jaqueline Adina Cristian,63,,1764.5,,1645.3,1584.3,-,,1704.9,1674.4,1557.3,,2023 W100 Madrid R16,,1795.0,1787.8
Peyton Stearns,64,21.6,1763.1,,1626.4,1612.9,-,,1694.8,1688.0,1556.6,,2023 Roland Garros R64,21.6,1817.7,1786.7
Rebeka Masarova,65,23.8,1760.0,,1666.2,1601.8,1284.4,,1713.1,1680.9,1522.2,,2023 Madrid R64,23.7,1799.5,1770.4
Anna Blinkova,66,24.7,1759.8,,1651.0,1609.8,1467.5,,1705.4,1684.8,1613.6,,2020 Shenzhen R32,21.3,1804.3,1796.3
