Player,Elo Rank,Age,Elo,    ,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,    ,Peak Elo,Peak Month,    ,ATP Rank,Log diff,yElo
Fabian Marozsan,48,25.8,1807.3,,53,1745.4,45,1743.7,97,1604.8,,1867.2,2024-04,,51,-0.06,1806.6
Learner Tien,49,19.6,1804.2,,39,1791.6,167,1554.4,66,1644.4,,1888.2,2025-02,,55,-0.12,1808.1
Filip Misolic,50,23.9,1802.2,,95,1651.9,37,1771.4,71,1638.8,,1829.4,2025-07,,96,-0.65,1849.6
Mariano Navone,51,24.3,1797.7,,137,1600.3,32,1780.2,122,1563.7,,1875.9,2024-04,,78,-0.42,1823.2
Jenson Brooksby,52,24.7,1794.8,,54,1742.8,58,1723.6,42,1704.8,,2005.3,2022-03,,101,-0.66,1762.0
Nuno Borges,53,28.4,1792.9,,48,1756.1,41,1747.6,79,1630.8,,1843.6,2025-03,,38,0.33,1768.7
Roberto Bautista Agut,54,37.2,1792.2,,61,1723.3,51,1731.4,30,1730.1,,2033.8,2016-02,,53,0.02,1754.5
Jacob Fearnley,55,24.0,1784.7,,55,1732.7,50,1731.8,57,1661.4,,1910.0,2024-10,,57,-0.04,1765.1
Marton Fucsovics,56,33.4,1783.9,,56,1731.7,61,1721.7,33,1723.7,,1924.2,2021-03,,91,-0.49,1764.4
Reilly Opelka,57,27.9,1782.4,,47,1759.7,73,1698.3,59,1651.3,,1927.5,2022-04,,73,-0.25,1782.6
Kei Nishikori,58,35.3,1782.1,,52,1746.5,101,1655.0,81,1625.2,,2194.2,2016-08,,65,-0.11,1771.2
Borna Coric,59,28.7,1776.4,,58,1726.2,44,1744.1,60,1651.3,,2011.6,2019-01,,90,-0.42,1804.4
Laslo Djere,60,30.1,1775.9,,81,1687.4,35,1772.5,94,1610.5,,1854.6,2023-09,,69,-0.14,1763.1
Jaume Munar,61,28.2,1775.5,,73,1697.7,59,1722.6,82,1622.6,,1819.0,2021-04,,48,0.24,1799.6
Yibing Wu,62,25.7,1773.6,,50,1752.6,116,1631.7,115,1573.4,,1882.9,2023-03,,186,-1.10,1791.0
Arthur Cazaux,63,22.9,1772.3,,76,1694.3,76,1692.5,63,1648.4,,1806.5,2024-02,,76,-0.19,1822.0
Hamad Medjedovic,64,21.9,1771.3,,49,1752.6,60,1722.2,85,1618.4,,1844.3,2025-04,,72,-0.12,1740.9
Ethan Quinn,65,21.3,1770.0,,65,1715.2,84,1681.5,76,1633.1,,1804.0,2025-05,,82,-0.23,1780.5
Lorenzo Sonego,66,30.2,1764.7,,57,1726.7,83,1684.4,52,1673.3,,1895.3,2021-05,,36,0.61,1746.8
Alexandre Muller,67,28.4,1764.0,,77,1693.3,46,1737.8,120,1566.1,,1801.7,2025-05,,41,0.49,1762.8
Giovanni Mpetshi Perricard,68,22.0,1760.1,,62,1723.3,82,1685.5,56,1662.4,,1862.8,2024-12,,42,0.48,1710.1
Lucas Pouille,69,30.9,1758.9,,67,1711.4,85,1680.8,49,1683.7,,1987.7,2017-06,,175,-0.93,1651.6
Juncheng Shang,70,20.4,1758.8,,69,1709.7,106,1646.7,58,1657.3,,1895.7,2024-09,,110,-0.45,1596.7
Miomir Kecmanovic,71,25.9,1755.6,,66,1713.4,72,1698.8,70,1639.5,,1900.6,2022-04,,49,0.37,1704.7
Alejandro Tabilo,72,27.9,1755.6,,78,1692.2,62,1717.3,50,1676.2,,1895.7,2024-07,,103,-0.36,1695.0
Nicolas Jarry,73,29.7,1753.9,,75,1695.6,69,1703.0,47,1688.0,,1903.0,2023-10,,100,-0.31,1757.1
Dino Prizmic,74,19.9,1748.4,,101,1643.8,57,1724.3,118,1570.3,,1764.5,2025-07,,129,-0.56,1785.5
Juan Manuel Cerundolo,75,23.6,1746.9,,165,1560.6,55,1727.9,198,1490.8,,1774.8,2021-10,,86,-0.14,1815.5
David Goffin,76,34.6,1746.8,,68,1711.3,67,1704.2,46,1690.1,,2048.7,2017-04,,64,0.17,1605.4
Zizou Bergs,77,26.1,1746.1,,63,1721.7,96,1663.8,72,1636.4,,1859.2,2025-03,,54,0.35,1666.0
Jason Kubler,78,32.0,1742.6,,74,1696.2,110,1642.3,41,1708.4,,1790.0,2022-07,,197,-0.93,1754.9
Sebastian Ofner,79,29.2,1742.1,,88,1663.4,64,1709.5,61,1649.7,,1812.7,2024-01,,141,-0.58,1745.3
