Player,Elo Rank,Age,Elo,    ,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,    ,Peak Elo,Peak Month,    ,ATP Rank,Log diff,yElo
Jannik Sinner,1,23.4,2214.6,,1,2180.7,3,2041.3,3,1969.0,,2329.6,2025-01,,1,0,2012.2
Carlos Alcaraz,2,21.9,2165.9,,3,2088.7,1,2126.0,1,2075.0,,2243.6,2023-08,,3,-0.41,2110.5
Novak Djokovic,3,37.8,2159.9,,2,2113.9,2,2075.8,2,2036.4,,2463.2,2016-05,,5,-0.51,1908.0
Alexander Zverev,4,27.9,2074.4,,4,2028.1,4,2015.2,5,1885.9,,2176.5,2022-01,,2,0.69,1994.8
Jack Draper,5,23.2,2057.7,,5,2014.7,27,1815.9,6,1878.6,,2095.2,2025-03,,6,-0.18,2036.0
Taylor Fritz,6,27.3,2022.2,,6,1970.0,11,1928.2,7,1878.4,,2054.0,2025-01,,4,0.41,1930.5
Daniil Medvedev,7,29.1,2005.5,,7,1962.3,12,1921.1,4,1898.7,,2201.2,2022-01,,10,-0.36,1903.9
Alex De Minaur,8,26.1,1998.7,,9,1934.8,14,1895.5,11,1834.3,,2053.1,2024-06,,7,0.13,2015.1
Grigor Dimitrov,9,33.8,1994.1,,8,1945.0,13,1911.2,15,1817.9,,2111.5,2014-08,,16,-0.58,1919.6
Holger Rune,10,21.9,1985.6,,11,1923.5,8,1944.5,14,1822.7,,2082.0,2023-05,,9,0.11,2005.4
Arthur Fils,11,20.8,1978.1,,16,1899.6,9,1942.3,13,1825.1,,1985.4,2025-04,,14,-0.24,2013.8
Lorenzo Musetti,12,23.0,1973.3,,28,1854.8,7,1951.2,8,1878.0,,1980.1,2024-08,,11,0.09,2024.1
Joao Fonseca,13,18.5,1971.8,,10,1932.7,21,1841.5,56,1666.4,,1992.5,2025-03,,65,-1.61,1995.0
Tommy Paul,14,27.8,1969.4,,13,1915.0,18,1868.5,10,1872.8,,2008.2,2024-08,,12,0.15,1903.9
Stefanos Tsitsipas,15,26.6,1961.4,,17,1894.1,5,1974.8,18,1784.7,,2145.1,2021-05,,18,-0.18,1940.5
Tomas Machac,16,24.4,1960.5,,12,1921.0,25,1828.9,24,1744.8,,1972.7,2025-04,,20,-0.22,1957.5
Matteo Berrettini,17,28.9,1956.2,,20,1875.0,6,1954.7,9,1874.2,,2065.7,2022-07,,31,-0.60,1935.1
Ben Shelton,18,22.5,1932.7,,19,1878.1,24,1834.0,26,1736.9,,1975.5,2024-10,,13,0.33,1903.5
Jakub Mensik,19,19.6,1931.9,,15,1907.5,34,1781.1,54,1667.8,,1961.0,2025-03,,23,-0.19,1984.7
Hubert Hurkacz,20,28.0,1930.6,,21,1870.3,16,1881.5,12,1833.0,,2022.5,2024-06,,28,-0.34,1790.1
Ugo Humbert,21,26.8,1928.6,,14,1912.4,35,1780.9,20,1774.2,,2017.7,2024-03,,22,-0.05,1825.0
Casper Ruud,22,26.3,1928.4,,23,1866.4,10,1933.2,47,1687.4,,2071.9,2022-05,,15,0.38,1880.7
Gael Monfils,23,38.5,1927.7,,18,1892.5,50,1744.4,32,1722.6,,2087.1,2016-10,,42,-0.60,1933.3
Francisco Cerundolo,24,26.6,1922.3,,25,1863.0,15,1884.0,34,1719.8,,1948.1,2023-07,,21,0.13,1959.6
Tallon Griekspoor,25,28.7,1914.1,,22,1867.6,26,1817.2,17,1787.8,,1936.3,2025-03,,34,-0.31,1923.5
Jiri Lehecka,26,23.4,1912.4,,26,1862.0,37,1776.3,39,1706.2,,1966.5,2025-02,,27,-0.04,1890.8
Alejandro Davidovich Fokina,27,25.8,1909.2,,30,1843.8,20,1843.6,55,1667.0,,1931.2,2021-05,,29,-0.07,1967.9
Andrey Rublev,28,27.4,1906.9,,24,1866.3,17,1878.8,16,1792.3,,2122.1,2021-04,,8,1.25,1831.6
Sebastian Korda,29,24.7,1894.2,,29,1847.9,44,1754.1,19,1779.3,,2020.7,2023-01,,24,0.19,1789.4
Karen Khachanov,30,28.8,1892.4,,32,1841.8,19,1844.5,37,1709.3,,2029.5,2018-10,,25,0.18,1803.6
Felix Auger Aliassime,31,24.6,1883.9,,31,1843.2,23,1834.2,31,1725.4,,2062.7,2022-10,,19,0.49,1797.6
Denis Shapovalov,32,25.9,1883.2,,27,1856.1,40,1765.4,30,1726.0,,1983.2,2020-01,,30,0.06,1836.6
Thanasi Kokkinakis,33,28.7,1872.6,,34,1822.4,38,1771.4,65,1643.4,,1890.3,2015-06,,106,-1.17,1739.8
Rafael Nadal,34,38.4,1868.6,,45,1775.2,22,1835.9,50,1684.3,,2361.9,2009-05,,,,
